term_id	sign_score	annotation_gene	start_time	end_time	gene_size	time_size
88001	0.3111	AT1G14345,AT1G80380,AT2G18790,AT2G29180,AT4G33010,AT5G42270	68	82	6	15
11823	0.3056	AT3G56040,AT2G26550,AT1G79040,AT1G71500,AT1G44575,AT1G65230	54	63	6	10
87603	0.2823	AT1G03160,AT1G14345,AT1G80380,AT2G18790,AT2G29180,AT4G33010,AT5G42270	68	81	7	14
69153	0.2444	AT2G18790,AT1G80380,AT1G14345,AT4G33010,AT1G03160,AT2G29180	65	74	6	10
106653	0.2381	AT1G80380,AT1G03160,AT1G67700,AT2G29180,AT4G33010,AT5G42270,AT1G14345	71	80	7	10
3813	0.2323	AT1G44575,AT1G65230,AT1G71500,AT1G79040,AT2G26550,AT3G56040	51	61	6	11
93116	0.2292	AT1G03160,AT1G67700,AT1G80380,AT1G14345,AT5G42270,AT4G33010,AT2G18790,AT2G29180	69	78	8	10
3796	0.2208	AT4G33010,AT3G08920,AT1G32500,AT3G14420,AT2G18790,AT1G16880,AT5G53170,AT2G29180	51	60	8	10
5583	0.219	AT3G56040,AT5G08540,AT1G71500,AT1G79040,AT2G26550,AT1G44575,AT1G65230	52	61	7	10
106652	0.219	AT1G80380,AT1G03160,AT1G67700,AT2G30695,AT4G33010,AT5G42270,AT1G14345	71	80	7	10
93115	0.1667	AT1G03160,AT1G67700,AT1G80380,AT1G14345,AT5G42270,AT2G30695	69	78	6	10
1998	0.1616	AT1G32500,AT2G29180,AT3G08920,AT3G14420,AT4G33010,AT5G53170	50	60	6	11
