term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
101377	0.3048	1	816394,839566,817467,844378,829438,834232,837996	73	82	7	10
82160	0.2619	1	839566,844378,834232,837996,829438,816394,817467	69	78	7	10
161514	0.2611	1	816394,820041,844378,838259,829438,817467	98	107	6	10
160994	0.2545	2	844378,816394,817467,820041,829438	97	107	5	11
160995	0.2545	2	838259,844378,816394,817467,820041	97	107	5	11
60614	0.2374	1	839566,837996,844378,816394,817467,829438	65	75	6	11
160874	0.2278	1	816394,820041,844378,834232,817467,829438	97	106	6	10
4740	0.219	1	824770,830754,843491,844245,817196,841033,842830	52	61	7	10
92378	0.219	1	839566,817620,843095,844378,829438,834232,837996	71	80	7	10
65679	0.2125	1	816394,839566,843095,844378,829438,837996,834232,817467	66	75	8	10
158835	0.1857	1	817499,837996,844378,816394,817467,829438,834232	95	104	7	10
65678	0.1815	1	816394,839566,843095,844378,829438,837996,834232,817620,818343	66	75	9	10
7812	0.1759	2	844378,817467,820041,820665,828884,3770591	53	64	6	12
82158	0.1722	1	839566,844378,834232,818343,843095,817620	69	78	6	10
82159	0.1667	1	839566,844378,834232,837996,843095,817620	69	78	6	10
158834	0.1611	1	817499,837996,844378,816394,817467,820041	95	104	6	10
4759	0.1602	2	843596,816545,817467,820041,820665,828884,829438	52	62	7	11
65694	0.1593	1	829438,839566,843095,820041,837996,844378,817620,818343,834232	66	75	9	10
158837	0.1571	1	817499,837996,839566,838259,834232,816394,817467	95	104	7	10
160873	0.1519	1	816394,820041,844378,834232,817467,838259,816545,839566,837996	97	106	9	10
7776	0.1444	1	829438,820665,816545,828884,820041,843596,3770591,844378,817467	53	62	9	10
119858	0.1424	1	841467,843110,843827,816692,827727,829966	78	93	6	16
55974	0.1389	2	839566,837996,843095,844378,817620,818343,820041,834232	64	75	8	12
56256	0.1368	3	839566,837996,843095,844378,817620,834232	64	76	6	13
7811	0.1343	2	843095,844378,817467,820041,820665,3770591	53	64	6	12
82157	0.1333	1	839566,844378,820041,843095,817620,818343	69	78	6	10
82298	0.1273	2	839566,843095,817620,818343,820041	69	79	5	11
158836	0.1259	1	817499,837996,839566,838259,816545,839433,816394,820041,817467	95	104	9	10
13791	0.12	1	828884,820665,816545,839566,820041,843095,3770591,844378,837996,817467	55	64	10	10
50925	0.1172	1	839566,837996,843095,844378,817620,818343,820041	63	75	7	13
65736	0.1167	1	837996,839433,839566,834232,817620,820041,843095,818343,838362,844378	66	75	10	10
65939	0.1162	2	838362,839566,843095,817620,818343,834232	66	76	6	11
160878	0.1125	1	839566,816545,837996,838259,817499,817467,820041,834232	97	106	8	10
3193	0.1111	3	843596,816545,820041,820665,829438	51	62	5	12
45346	0.1111	1	843110,842833,843827,841467,816692,829966	62	71	6	10
51207	0.1095	2	839566,837996,843095,844378,817620	63	76	5	14
161005	0.1082	2	839566,837996,838259,844378,816545,820041,834232	97	107	7	11
37209	0.1059	4	839566,843095,817620,818343,834232	60	76	5	17
37210	0.1059	5	839566,837996,843095,817620,834232	60	76	5	17
61050	0.1056	2	838362,843095,817620,818343,834232	65	76	5	12
161520	0.1042	1	839566,839433,838259,820041,834232,844378,816545,837996	98	107	8	10
140059	0.101	2	839433,839566,838259,843095,816545,817499,817620,819107,820041	85	95	9	11
73006	0.0987	4	838851,841558,843903,820827,822517,827307,828884,836043	67	85	8	19
101483	0.0976	1	838807,838851,841558,843903,820827,822517,827307,835398,836043	73	83	9	11
119583	0.0972	4	838807,838851,841558,843903,818069,820827,822132,822517,827307,828884,835398,836043	78	91	12	14
134285	0.0952	1	839566,838259,838362,817499,817620,819107,839433	83	92	7	10
26328	0.0952	2	843095,821143,820041,828884,3770591	58	71	5	14
153556	0.0938	2	839566,838259,843095,816545,817499,820041	91	106	6	16
137231	0.0926	1	843110,838779,841467,827727,842833,843827,814643,816692,829966	84	93	9	10
156944	0.0926	3	839433,839566,837996,838259,816545,820041	93	107	6	15
104035	0.0913	3	841558,820827,822517,827307,835398,836043	73	100	6	28
108019	0.0905	4	841558,822517,823831,827307,835398	74	101	5	28
140166	0.0903	2	839433,838362,838259,816545,817499,817620,819107,820041	85	96	8	12
21653	0.0897	4	838362,841467,841892,842833,843110,843827,816692,829966	57	69	8	13
131253	0.0889	1	817499,820041,838362,817620,843095,839566	82	91	6	10
141789	0.0884	5	839433,838259,843095,816545,817499,820041	85	106	6	22
37057	0.0854	4	839566,837996,843095,816545,817620,818343,821143,820041,820741,834232	60	75	10	16
4793	0.0842	3	839566,837996,843095,816545,817467,821143,820665	52	64	7	13
114908	0.0842	10	841468,841558,818069,822517,823831,827307,835398	76	101	7	26
113891	0.0819	5	838807,838851,841558,841892,818069,820827,822132,822517,823831,827307,835398,836043	76	94	12	19
114909	0.0812	10	841468,816768,818069,823831,827307,835398	76	101	6	26
25965	0.0812	1	837996,843095,821143,820041,828884,3770591	58	70	6	13
141038	0.081	3	839433,838259,816270,816545,817499,817620,819107,820041	85	102	8	18
141039	0.081	3	839433,838259,843095,816545,817499,817620,819107,820041	85	102	8	18
41794	0.0808	4	839433,839566,837996,843095,816545,817620,818343,821143,820041,820741,834232	61	75	11	15
103749	0.0806	2	838807,841558,820827,822517,827307,835398,836043	73	98	7	26
