term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	windowSize
TPO:163843	0.4211	5	AT1G10170,AT1G67280,AT2G27290,AT3G10130,AT3G26580,AT3G55330,AT4G01050,AT4G01900,AT4G24750,AT4G35770,AT4G39960,AT5G13120,AT5G42765	84	102	13	19
TPO:163844	0.4211	4	AT1G10170,AT1G29920,AT1G67280,AT2G27290,AT3G10130,AT3G26580,AT3G55330,AT4G01050,AT4G01900,AT4G24750,AT4G35770,AT5G13120,AT5G42765	84	102	13	19
TPO:163845	0.5146	2	AT1G06690,AT1G10170,AT1G17850,AT1G31180,AT1G54050,AT1G67280,AT1G72640,AT2G27290,AT3G10130,AT3G22690,AT3G26580,AT3G55330,AT4G01050,AT4G01900,AT4G24750,AT4G35770,AT4G39960,AT5G13120	84	102	18	19
TPO:163846	0.4901	3	AT1G06690,AT1G10170,AT1G17850,AT1G31180,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT3G22690,AT3G26580,AT3G55330,AT4G01050,AT4G01900,AT4G24750,AT4G35770,AT5G13120	84	102	16	19
TPO:163847	0.7105	6	AT1G17850,AT1G27510,AT1G31180,AT1G54050,AT3G15110,AT4G39960	84	102	6	19
TPO:163848	0.4342	4	AT1G10170,AT1G17850,AT1G31180,AT1G54050,AT1G54580,AT1G66670,AT1G67280,AT1G72640,AT2G27290,AT3G10130,AT3G26580,AT4G01050,AT4G01900,AT4G24750,AT4G39960,AT5G13120	84	102	16	19
TPO:163849	0.5053	4	AT1G06690,AT1G10170,AT1G29920,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT3G22690,AT3G26580,AT3G55330,AT4G01050,AT4G01900,AT4G24750,AT4G35770,AT5G13120	84	102	15	19
TPO:98372	0.975	8	AT1G07510,AT1G15820,AT1G50250,AT1G79230,AT2G22360,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G20820,AT4G24930,AT5G12470,AT5G21430	69	100	15	32
TPO:98373	0.9866	10	AT2G22360,AT3G15360,AT3G57680,AT4G13670,AT5G21430,AT5G23890,AT5G52970	69	100	7	32
TPO:98376	0.9926	11	AT1G07510,AT1G15820,AT1G23740,AT1G50250,AT1G79230,AT2G22360,AT2G24020,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G57680,AT4G20820,AT4G24930,AT5G12470,AT5G21430,AT5G52970	69	100	17	32
TPO:49164	0.9288	6	AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G42960,AT2G24020,AT3G15360,AT3G55330,AT5G12470	61	99	9	39
TPO:163914	0.4	3	AT1G14590,AT1G18730,AT1G54050,AT1G54580,AT1G66670,AT1G72640,AT3G10470,AT3G26580,AT4G31560,AT5G03455,AT5G39830,AT5G42070	84	103	12	20
TPO:163915	0.4	2	AT1G14590,AT1G18730,AT1G54580,AT1G66670,AT3G10470,AT4G18370,AT4G31560,AT5G03455,AT5G15250,AT5G20140,AT5G39830,AT5G42070	84	103	12	20
TPO:163919	0.4	4	AT1G14590,AT1G18730,AT1G54050,AT1G54580,AT1G66670,AT3G10470,AT4G31560,AT5G03455,AT5G15250,AT5G39830,AT5G42070	84	103	11	20
TPO:137485	0.4	1	AT4G01900,AT1G31180,AT2G27290,AT4G24750,AT1G17850,AT1G67280,AT1G18730,AT5G39830,AT3G10470,AT5G08540,AT4G31560,AT4G01050,AT5G03455,AT1G54580,AT1G54050,AT1G14590	77	86	16	10
TPO:163936	0.4	5	AT1G14590,AT1G18730,AT1G54580,AT1G66670,AT3G10470,AT3G15110,AT4G18370,AT4G31560,AT4G39960,AT5G03455,AT5G15250,AT5G39830,AT5G52780	84	103	13	20
TPO:163939	0.4929	4	AT1G06690,AT1G10170,AT1G17850,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT3G22690,AT3G26580,AT3G55330,AT4G01050,AT4G24750,AT4G35770,AT5G13120	84	103	14	20
TPO:163941	0.4	2	AT1G14590,AT1G18730,AT1G54050,AT1G54580,AT1G66670,AT3G10470,AT3G15110,AT4G31560,AT4G39960,AT5G03455,AT5G15250,AT5G39830,AT5G52780	84	103	13	20
TPO:163942	0.4	2	AT1G14590,AT1G17850,AT1G18730,AT1G54050,AT1G54580,AT1G66670,AT1G67280,AT1G72640,AT2G27290,AT3G10130,AT3G10470,AT3G15110,AT3G26580,AT4G01050,AT4G24750,AT4G31560,AT4G39960,AT5G03455,AT5G13120,AT5G39830	84	103	20	20
TPO:163949	0.4	3	AT1G14590,AT1G54580,AT1G66670,AT2G30950,AT3G10470,AT3G15110,AT4G18370,AT4G31560,AT5G03455,AT5G15250,AT5G20140,AT5G39830,AT5G52780	84	103	13	20
TPO:163953	0.4	4	AT1G14590,AT1G18730,AT1G54580,AT1G66670,AT3G10470,AT3G15110,AT4G18370,AT4G31560,AT5G03455,AT5G15250,AT5G20140,AT5G39830,AT5G52780	84	103	13	20
TPO:163955	0.525	5	AT1G06690,AT1G10170,AT1G29920,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT3G22690,AT3G26580,AT3G55330,AT4G01050,AT4G24750,AT4G35770,AT5G13120	84	103	14	20
TPO:163961	0.4	6	AT1G10170,AT1G17850,AT1G54050,AT1G54580,AT1G66670,AT1G67280,AT1G72640,AT2G27290,AT3G10130,AT3G26580,AT4G01050,AT4G24750,AT4G31560,AT4G39960,AT5G03455,AT5G13120	84	103	16	20
TPO:24009	0.4437	6	AT1G12250,AT1G67280,AT2G27290,AT3G10470,AT3G26580,AT4G18370,AT4G24750,AT5G03455,AT5G20140,AT5G42765	57	72	10	16
TPO:175017	0.8356	4	AT1G22020,AT1G50460,AT1G51350,AT3G28850,AT3G46780,AT4G13010,AT4G16155,AT5G16150,AT5G19500	87	111	9	25
TPO:158407	0.5	4	AT1G17850,AT1G54050,AT1G67280,AT1G72640,AT2G27290,AT3G10130,AT3G22690,AT4G01050,AT4G24750,AT5G13120	82	107	10	26
TPO:131252	0.6494	5	AT1G06690,AT1G10170,AT1G23740,AT1G29920,AT1G42960,AT1G55370,AT1G67280,AT1G72640,AT1G74710,AT1G79450,AT2G27290,AT2G40760,AT3G10130,AT3G22690,AT3G55330,AT3G57680,AT4G20820,AT4G24750,AT4G35770,AT5G23890,AT5G42765	75	96	21	22
TPO:131255	0.675	4	AT1G06690,AT1G10170,AT1G23740,AT1G29920,AT1G42960,AT1G55370,AT1G72640,AT1G74710,AT1G79450,AT2G40760,AT3G10130,AT3G22690,AT3G55330,AT3G57680,AT4G20820,AT4G24750,AT4G24930,AT4G35770,AT5G23890,AT5G42765	75	96	20	22
TPO:184	0.6506	1	AT2G17630,AT3G10470,AT4G13670,AT1G07510,AT1G75690,AT1G14150,AT2G43010,AT4G16155,AT1G03160,AT4G35770,AT2G27290,AT5G20140,AT3G46780,AT2G40100,AT1G15140,AT5G13120,AT4G31560,AT5G52970,AT4G20820,AT1G42960,AT5G42070,AT2G20260,AT2G35040,AT2G26800,AT1G54580,AT1G02560,AT5G39830,AT4G04020,AT2G29500,AT5G59250,AT1G67280,AT1G74710,AT2G20270,AT1G66670,AT3G60370,AT3G58010,AT5G16660,AT4G38380,AT1G51350,AT4G13010,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT5G42270,AT5G12470,AT1G14345,AT1G80030,AT1G56500,AT1G50460,AT1G72640,AT1G17850,AT1G29920,AT5G19500,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT4G18370,AT5G19370,AT1G67700,AT1G18730,AT1G12250,AT5G03455,AT3G26580,AT5G01500,AT1G06690,AT2G30950,AT1G55370,AT5G08540,AT3G55330,AT2G24020,AT1G79230,AT1G52220,AT3G47060,AT1G51110,AT5G16150,AT5G15250,AT2G44990,AT3G57680,AT2G41330,AT5G53170,AT2G18790,AT3G08920,AT4G33010	49	58	85	10
TPO:185	0.6615	1	AT2G17630,AT3G10470,AT4G13670,AT1G07510,AT1G75690,AT1G14150,AT2G43010,AT4G16155,AT1G03160,AT4G35770,AT2G27290,AT5G20140,AT3G46780,AT2G40100,AT1G15140,AT5G13120,AT4G31560,AT5G52970,AT4G20820,AT1G42960,AT5G42070,AT2G20260,AT2G35040,AT2G26800,AT1G54580,AT1G02560,AT5G39830,AT4G04020,AT2G29500,AT5G59250,AT1G67280,AT1G74710,AT2G20270,AT1G66670,AT3G60370,AT3G58010,AT5G16660,AT4G38380,AT1G51350,AT4G13010,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT5G42270,AT5G12470,AT1G14345,AT1G80030,AT1G56500,AT1G50460,AT1G72640,AT1G17850,AT1G29920,AT5G19500,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT4G18370,AT5G19370,AT1G67700,AT1G18730,AT1G12250,AT5G03455,AT3G26580,AT5G01500,AT1G06690,AT2G30950,AT1G55370,AT5G08540,AT3G55330,AT2G24020,AT1G79230,AT1G52220,AT3G47060,AT1G51110,AT5G16150,AT5G15250,AT2G44990,AT3G57680,AT2G41330,AT5G53170,AT3G15110,AT3G21055,AT1G22020,AT1G54500,AT2G22360,AT5G21430,AT5G52440,AT4G28025,AT1G54780	49	58	91	10
