parent	child
0	172033
0	172035
0	172038
0	172052
0	172053
0	172054
0	172064
0	172071
0	172072
0	172073
0	172074
0	172075
0	172077
0	172078
0	172079
0	172083
0	172085
0	172086
0	172087
0	172088
0	172090
0	172095
0	172096
0	172097
0	172100
0	172103
0	172105
0	172121
0	172127
0	172131
0	172134
0	172135
0	106617
0	106618
0	106619
0	106620
0	106621
0	106622
0	106623
0	106624
0	106630
0	106631
0	188553
0	106634
0	106636
0	106637
0	106638
0	106639
0	106640
0	106641
0	188562
0	188563
0	106644
0	106645
0	106646
0	106647
0	188568
0	106653
0	106655
0	188576
0	106657
0	106658
0	188579
0	188580
0	106661
0	106662
0	106663
0	106664
0	188585
0	106666
0	188587
0	188588
0	188589
0	188590
0	188591
0	188592
0	188593
0	188594
0	188595
0	188596
0	188597
0	188598
0	188599
0	184
0	172217
0	186
0	188
0	189
0	188610
0	188611
0	188627
0	172358
0	172377
0	124305
0	124306
0	124307
0	124308
0	165269
0	124310
0	124311
0	172430
0	124312
0	106900
0	172450
0	124315
0	172457
0	165277
0	165278
0	188858
0	188861
0	124322
0	124323
0	165284
0	8668
0	8669
0	8671
0	8672
0	8673
0	8674
0	188899
0	124326
0	8683
0	124329
0	165290
0	165291
0	124332
0	124333
0	124334
0	33307
0	33308
0	33309
0	33310
0	33311
0	33312
0	33313
0	33314
0	33315
0	33316
0	33317
0	33318
0	33319
0	33320
0	33321
0	33322
0	33324
0	33331
0	33332
0	33334
0	33335
0	33337
0	33338
0	33340
0	33341
0	33342
0	33343
0	33346
0	33347
0	33348
0	33349
0	33350
0	33352
0	33353
0	33354
0	33355
0	33356
0	33378
0	74373
0	74374
0	74375
0	74376
0	74377
0	74378
0	74379
0	74380
0	74381
0	74382
0	74383
0	74385
0	74386
0	74387
0	74388
0	74389
0	74390
0	74391
0	74393
0	74394
0	74395
0	74399
0	74401
0	74403
0	74404
0	74408
0	74409
0	5578
0	87499
0	148294
0	148296
0	148297
0	148298
0	148301
0	188557
0	148305
0	148307
0	148308
0	188558
0	148311
0	188559
0	148320
0	148321
0	148324
0	148329
0	148332
0	106642
0	148336
0	106643
0	188564
0	188565
0	188566
0	188567
0	188575
0	188577
0	188578
0	106660
0	188581
0	188582
0	188583
0	188584
0	133971
0	148472
0	148476
0	188586
0	183131
0	50226
0	50228
0	50229
0	50230
0	50231
0	50232
0	118964
0	50234
0	50235
0	50236
0	50237
0	50238
0	50239
0	50242
0	50244
0	118966
0	50246
0	50248
0	50255
0	106680
0	50258
0	185
0	50264
0	50265
0	50266
0	50267
0	50270
0	50271
0	50273
0	50277
0	50278
0	50281
0	50283
0	148617
0	183151
0	183152
0	181470
0	181473
0	181475
0	181476
0	181478
0	181479
0	181483
0	181484
0	181485
0	181486
0	181487
0	181491
0	181498
0	181500
0	181501
0	181502
0	50433
0	50434
0	181507
0	181508
0	181510
0	181512
0	181513
0	181520
0	181578
0	181579
0	181581
0	181583
0	181585
0	181589
0	101269
0	124302
0	124303
0	93080
0	165266
0	165267
0	165268
0	124309
0	165270
0	165271
0	165272
0	165275
0	124316
0	124317
0	124318
0	165280
0	165281
0	165282
0	165283
0	124324
0	124325
0	165286
0	124327
0	124328
0	165289
0	124330
0	124331
0	165292
0	165293
0	165294
0	124335
0	124336
0	124337
0	165298
0	124339
0	165300
0	124341
0	165303
0	124344
0	124345
0	124346
0	124347
0	124348
0	124350
0	124351
0	124354
0	124355
0	124356
0	124357
0	124358
0	124359
0	124360
0	124364
0	124365
0	124366
0	124367
0	124368
0	124369
0	124370
0	124371
0	124374
0	124375
0	124376
0	124378
0	124380
0	124382
0	124383
0	124385
0	124387
0	124388
0	124389
0	124390
0	124392
0	124393
0	124394
0	124395
0	124396
0	124397
0	124398
0	124399
0	124400
0	124401
0	144993
0	99928
0	99929
0	99932
0	99933
0	99934
0	99935
0	99936
0	99937
0	99939
0	99949
0	99950
0	99952
0	99955
0	99958
0	99959
0	99960
0	99961
0	99962
0	99977
0	99986
0	99988
0	99991
0	99992
0	99993
0	99995
0	99996
0	99997
0	99998
0	99999
0	100000
0	100001
0	100005
0	100006
0	100007
0	100008
0	100009
0	100010
0	100011
0	100012
0	100013
0	100014
0	100015
0	100016
0	100020
0	141002
0	141007
0	141009
0	141010
0	141012
0	141013
0	141014
0	141016
0	141017
0	141019
0	141020
0	141021
0	141022
0	141023
0	141024
0	141025
0	141026
0	141027
0	141030
0	141031
0	141032
0	100135
0	100153
0	79714
0	51012
0	100172
0	100200
0	100201
0	100205
0	1964
0	1965
0	1966
0	1967
0	1968
0	1969
0	1970
0	1971
0	1972
0	1976
0	120636
0	124971
0	124988
0	125021
0	44055
0	125143
0	11814
0	172463
0	19005
0	19007
0	19010
0	19013
0	19014
0	19018
0	19020
0	19022
0	101091
0	101092
0	133952
0	133954
0	133955
0	133956
0	133959
0	133966
0	183120
0	133970
0	183123
0	133972
0	133973
0	133974
0	133975
0	133976
0	133977
0	133978
0	133979
0	183136
0	183137
0	183141
0	183142
0	183143
0	183144
0	183145
0	183146
0	183147
0	183148
0	183149
0	93039
0	93040
0	183153
0	93042
0	93043
0	93046
0	93047
0	93048
0	93052
0	93054
0	93056
0	93057
0	93058
0	93060
0	93061
0	93062
0	93063
0	93064
0	93065
0	93066
0	93067
0	93068
0	93069
0	93070
0	93071
0	93072
0	93073
0	93074
0	93076
0	93077
0	93078
0	183192
0	93082
0	93084
0	93085
0	93086
0	93088
0	93089
0	93090
0	93093
0	93096
0	93097
0	93099
0	93100
0	93101
0	93102
0	93103
0	93104
0	93105
0	93106
0	93108
0	93109
0	93110
0	93111
0	93112
0	93113
0	93114
0	93115
0	93117
0	93119
0	93121
0	93122
0	93123
0	93127
0	93129
0	93130
0	93133
0	175060
0	175062
0	175064
0	175065
0	175067
0	175068
0	175069
0	175070
0	175071
0	175074
0	175076
0	175077
0	175078
0	175079
0	175080
0	175081
0	175088
0	175089
0	175090
0	175091
0	175094
0	175095
0	175096
0	44050
0	44051
0	44052
0	44054
0	52247
0	44057
0	44059
0	44060
0	44061
0	44063
0	44064
0	44065
0	44066
0	44067
0	44068
0	44069
0	44070
0	44071
0	44072
0	44073
0	44074
0	44076
0	44077
0	44078
0	44079
0	44080
0	44082
0	44083
0	44085
0	44086
0	44088
0	44091
0	44093
0	44094
0	44096
0	44101
0	44102
0	44103
0	44104
0	44105
0	44107
0	44108
0	44109
0	44111
0	44112
0	44117
0	44118
0	44119
0	175215
0	38763
0	38764
0	44173
0	38769
0	158905
0	158907
0	158910
0	158911
0	158914
0	158915
0	158917
0	158920
0	158921
0	158923
0	158924
0	158925
0	158926
0	158928
0	158929
0	158930
0	93441
0	38785
0	175466
0	175566
0	175568
0	69099
0	69100
0	69101
0	69103
0	69104
0	69105
0	69106
0	69107
0	69108
0	28149
0	69110
0	28151
0	28153
0	69114
0	28155
0	69116
0	69118
0	69119
0	28160
0	28161
0	28162
0	28163
0	69124
0	28166
0	28167
0	28168
0	69129
0	28170
0	69132
0	28173
0	28174
0	28175
0	28176
0	28177
0	28178
0	28179
0	28180
0	28181
0	28182
0	28183
0	28184
0	28185
0	28186
0	69150
0	69151
0	69152
0	69153
0	69154
0	69155
0	11812
0	11813
0	69158
0	11815
0	69160
0	11817
0	11818
0	11819
0	11820
0	11821
0	11822
0	69171
0	69172
0	69174
0	69175
0	69176
0	69177
0	69179
0	69195
0	69200
0	69221
0	28263
0	69229
0	5579
0	69303
0	69313
0	69319
0	3785
0	3786
0	3788
0	69325
0	3791
0	3792
0	3793
0	3794
0	69331
0	3796
0	118754
0	118755
0	118757
0	118759
0	118760
0	118761
0	118762
0	118763
0	118765
0	118768
0	118772
0	118773
0	118774
0	118776
0	118777
0	118778
0	118779
0	118780
0	118781
0	118782
0	118783
0	118784
0	118785
0	118786
0	118787
0	118789
0	118790
0	118791
0	118792
0	118793
0	118795
0	118797
0	118798
0	118801
0	118802
0	118804
0	118805
0	118806
0	118807
0	118808
0	118810
0	118811
0	118812
0	118814
0	118815
0	118816
0	118817
0	118818
0	118820
0	118821
0	118824
0	118826
0	118829
0	118831
0	118833
0	118834
0	118835
0	118836
0	118837
0	118838
0	118839
0	118840
0	118841
0	118842
0	118843
0	118844
0	118845
0	118846
0	118847
0	118848
0	118849
0	118850
0	118851
0	118852
0	118853
0	118854
0	118855
0	118856
0	118857
0	118858
0	118860
0	118861
0	118862
0	118863
0	118864
0	118865
0	118866
0	118867
0	118868
0	184444
0	184445
0	184446
0	184447
0	184448
0	184450
0	184451
0	184452
0	184455
0	184456
0	184457
0	184458
0	184459
0	184460
0	184462
0	184463
0	184465
0	184468
0	118955
0	184496
0	184497
0	184498
0	184499
0	184500
0	184501
0	184502
0	184583
0	184606
0	184607
0	184766
0	184773
0	184786
0	152039
0	152044
0	152045
0	152047
0	152052
0	152056
0	152058
0	152059
0	152060
0	152062
0	152063
0	152064
0	152065
0	152066
0	152068
0	152069
0	152070
0	152076
0	152079
0	152081
0	152126
0	86607
0	86609
0	86610
0	86612
0	86613
0	86614
0	86615
0	86616
0	86617
0	86618
0	86620
0	86621
0	86622
0	86623
0	86624
0	86632
0	86633
0	86634
0	86636
0	86637
0	86640
0	86641
0	86642
0	86646
0	86648
0	86652
0	86657
0	86663
0	86665
0	86666
0	86668
0	86669
0	86675
0	86676
0	86677
0	86679
0	86682
0	86685
0	86693
0	168637
0	168639
0	168640
0	168641
0	168643
0	168646
0	168647
0	168648
0	168649
0	168650
0	168651
0	168653
0	168655
0	168657
0	168658
0	168659
0	168660
0	168661
0	168662
0	168664
0	168665
0	168667
0	168668
0	168669
0	168670
0	168671
0	168672
0	86828
0	168758
0	86843
0	86915
0	86922
0	86925
0	86952
0	28150
0	69111
0	28154
0	28159
0	69121
0	28164
0	69127
0	69128
0	69130
0	69133
0	69137
0	69138
0	69139
0	69141
0	69142
0	148333
0	112912
0	144613
0	144614
0	144620
0	144621
0	144623
0	144624
0	144625
0	144627
0	144628
0	144629
0	144630
0	144631
0	144636
0	144637
0	144638
0	144640
0	144641
0	144642
0	87318
0	177444
0	177446
0	177451
0	177452
0	177453
0	177454
0	177455
0	177457
0	177459
0	177460
0	177463
0	177464
0	177465
0	177466
0	177467
0	177468
0	177469
0	177470
0	177471
0	177472
0	177473
0	177474
0	177475
0	112866
0	112871
0	185712
0	185713
0	185718
0	185722
0	185724
0	185727
0	185728
0	185729
0	185730
0	185732
0	185733
0	185734
0	185735
0	185737
0	185739
0	185740
0	185741
0	62865
0	62866
0	62867
0	62868
0	62869
0	62871
0	62894
0	87487
0	62919
0	62921
0	62922
0	62923
0	5580
0	5581
0	5582
0	5583
0	120272
0	5585
0	87506
0	62937
0	137466
0	62947
0	62948
0	62949
0	62963
0	137470
0	112896
0	112898
0	112905
0	137483
0	137484
0	137485
0	186638
0	137488
0	144994
0	112913
0	79640
0	79643
0	79644
0	79646
0	79648
0	79649
0	79651
0	79652
0	79653
0	79654
0	79655
0	79656
0	79657
0	79658
0	79659
0	79660
0	79662
0	79663
0	79664
0	79666
0	79667
0	79668
0	79669
0	79671
0	79673
0	79674
0	79676
