term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
261	1.0	4	AT1G06690,AT1G42960,AT1G50460,AT2G24020,AT2G40100,AT2G43010,AT2G44990,AT3G26080,AT3G47060,AT4G18370	49	61	10	13
65885	1.0	5	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G50250,AT2G24020,AT2G42975,AT3G22690,AT3G24590,AT4G13010,AT4G20820,AT4G24930,AT5G21430	65	98	14	34
65891	1.0	3	AT1G07510,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G24020,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT4G13010,AT5G12470,AT5G16660,AT5G21430	65	98	15	34
66024	1.0	6	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT1G50250,AT2G24020,AT2G42975,AT3G22690,AT3G24590,AT4G13010,AT4G20820,AT4G24930,AT5G21430	65	99	13	35
66375	1.0	8	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT2G24020,AT2G42975,AT3G15360,AT3G24590,AT3G57680,AT5G12470,AT5G21430	65	101	11	37
66378	1.0	8	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT2G24020,AT3G15360,AT3G22690,AT3G24590,AT3G57680,AT5G12470	65	101	10	37
99237	1.0	3	AT1G15140,AT1G20810,AT3G53560,AT5G19500,AT5G53490	71	94	5	24
66521	1.0	6	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT4G20820,AT4G24930	65	103	10	39
66533	1.0	9	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT2G24020,AT2G42975,AT3G24590,AT3G57680,AT4G20820,AT5G12470	65	103	10	39
66539	1.0	8	AT1G07510,AT1G15820,AT1G50250,AT2G24020,AT2G42975,AT3G24590,AT4G13010,AT4G20820,AT4G24930,AT5G21430	65	103	10	39
66549	1.0	8	AT1G07510,AT1G15820,AT1G29920,AT2G24020,AT2G42975,AT3G24590,AT4G20820,AT4G24930,AT5G21430	65	103	9	39
66746	1.0	7	AT1G07510,AT1G15820,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G20820,AT4G24930	65	105	10	41
66906	1.0	8	AT1G07510,AT1G15820,AT1G29920,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT4G20820	65	108	8	44
66907	1.0	9	AT1G07510,AT1G15820,AT1G29920,AT2G24020,AT3G22690,AT3G24590,AT3G57680,AT4G20820,AT5G12470	65	108	9	44
132509	1.0	1	AT3G46780,AT1G50460,AT1G20810,AT3G58010,AT4G38380,AT5G19500,AT4G13010,AT2G22360,AT5G21430,AT1G15140,AT5G16150,AT1G54500,AT1G51110,AT1G74070,AT3G53560,AT5G53490	79	88	16	10
67017	1.0	9	AT1G07510,AT1G15820,AT2G24020,AT3G58010,AT4G13010,AT5G12470,AT5G16660,AT5G21430	65	111	8	47
67018	1.0	10	AT1G07510,AT1G15820,AT1G29920,AT2G24020,AT3G22690,AT3G57680,AT4G20820,AT5G12470	65	111	8	47
67034	1.0	11	AT1G07510,AT1G15820,AT2G24020,AT3G57680,AT4G13010,AT4G20820,AT5G12470,AT5G21430	65	111	8	47
67038	1.0	10	AT1G07510,AT1G15820,AT2G24020,AT2G43010,AT4G13010,AT4G20820	65	111	6	47
132579	1.0	1	AT1G15140,AT1G20810,AT1G22020,AT1G50460,AT1G51110,AT1G54500,AT2G22360,AT3G15840,AT3G25480,AT3G46780,AT3G53560,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500,AT5G21430,AT5G53490	79	89	18	11
67044	1.0	10	AT1G07510,AT1G15820,AT2G22360,AT2G24020,AT4G13010,AT5G16660,AT5G21430	65	111	7	47
