term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
44742	1.0	4	838984,839869,816936,818822,818903,824970,829995,831472,832070	61	73	9	13
225	1.0	3	837179,840894,841468,816936,818599,818903,819107,822205,823859,827564	49	61	10	13
44744	1.0	3	838984,839869,841447,816936,818899,820775,824970,826914,829995,830101,831122,831472,831528,832070,835398	61	73	15	13
98542	1.0	10	837265,838151,839869,841447,844264,816936,818899,818903,820775,822055,824937,826914,827830,828595,831122,832247,835375	69	100	17	32
98543	1.0	10	837265,838151,838984,839869,841447,844264,816936,818903,820775,822055,824937,827001,827830,831122,832247,835375	69	100	16	32
98548	1.0	10	837265,838151,838984,839869,844264,816936,818672,818903,820775,821840,822055,824937,827830,828595,835375	69	100	15	32
131331	1.0	6	838807,841468,820827,822132,823831,832070,835398	75	97	7	23
33029	1.0	15	837265,838151,816936,822055,824937,827001,831122,832247,835375	58	106	9	49
98592	1.0	10	837265,838151,839869,840894,818903,820775,821840,822055,824699,824937,827001,827830,831122,835375	69	101	14	33
98610	1.0	9	838151,839869,840894,820176,820775,821840,824699,824937,827830,828595,831122,835375	69	101	12	33
98616	1.0	9	838151,838984,839869,816936,820176,820775,821840,824699,824937,827830,828595,831122,835375	69	101	13	33
50203	1.0	4	818903,824970,826914,829995,831122,831472,831528,832070	61	111	8	51
33118	1.0	11	837265,838151,839869,841447,816936,818899,822055,831122,835375	58	107	9	50
33121	1.0	14	837265,838151,816936,821840,822055,824937,827001,831122,835375	58	107	9	50
33125	1.0	12	837179,837265,838151,839869,816936,821840,822055,835375	58	107	8	50
33130	1.0	9	837265,838151,839869,841447,816936,818899,822055,826914,831122,831528	58	107	10	50
98676	1.0	11	837265,838151,839869,841447,816936,818899,818903,820775,822055,824937,826914,827830,828595,831122,832247,835375	69	101	16	33
98682	1.0	12	837265,838151,838984,839869,841447,816936,818899,818903,820775,822055,824937,827830,828595,831122,832247,835375	69	101	16	33
33157	1.0	10	837265,838151,841447,816936,818899,822055,826914,831122,831528	58	108	9	51
33159	1.0	12	837265,838151,841447,816936,818899,822055,831122,835375	58	108	8	51
33161	1.0	9	837265,838151,816936,822055,824937,831122,835375	58	108	7	51
33163	1.0	11	837265,838151,841447,816936,818899,822055,832247,835375	58	108	8	51
33229	1.0	11	837265,838151,841447,816936,818899,826914,831528,832247	58	109	8	52
33271	1.0	11	837265,838151,839869,841447,816936,826914,831122,831528	58	110	8	53
33289	1.0	13	837179,837265,838151,839869,816936,821840,835375	58	111	7	54
33291	1.0	12	837265,838151,839869,816936,826914,831122,831528	58	111	7	54
33293	1.0	9	837265,838151,816936,821840,824937,827830,831122,835375	58	111	8	54
120238	1.0	3	838079,838672,843747,832070,835431	73	88	5	16
33303	1.0	14	837265,838151,816936,832247,835375	58	111	5	54
98843	1.0	11	837265,838151,839869,816936,818672,818903,820775,821840,822055,824937,827830,828595,835375	69	102	13	34
98844	1.0	12	837265,838151,839869,841447,816936,818903,820775,822055,824937,827001,827830,831122,835375	69	102	13	34
98856	1.0	11	837179,837265,838151,839869,816936,818672,820775,821840,822055,824937,827001,827830,835375	69	102	13	34
98862	1.0	10	838151,839869,816936,820176,820775,821840,824937,827001,827830,831122,835375	69	102	11	34
120251	1.0	2	838079,838672,843747,844264,816651,818903,827830,828595	73	88	8	16
888	1.0	12	837265,838151,839869,824699,826914,830101,831122	49	73	7	25
889	1.0	13	838151,839869,824699,826914,830101,831122,835398	49	73	7	25
50198	1.0	7	838151,839869,816936,818903,826914,831122,831528	61	111	7	51
99351	1.0	3	837265,838151,839869,841447,816936,818899,818903,822055,826914,827830,828595,831122,831528	69	105	13	37
99353	1.0	11	838151,839869,816936,820176,821840,824937,827830,828595,831122,835375	69	105	10	37
99355	1.0	12	837265,838151,839869,816936,818672,818903,821840,822055,824937,827830,828595,835375	69	105	12	37
99484	1.0	7	837265,838151,843810,816936,822055,824937,832247,835375	69	106	8	38
99616	1.0	10	837265,838151,841447,816936,818899,818903,822055,826914,827830,831528,832247	69	107	11	39
99617	1.0	14	837265,838151,841447,816936,818899,818903,822055,826914,827830,832247,835375	69	107	11	39
99632	1.0	12	837265,838151,839869,816936,818903,821840,822055,824937,827001,827830,831122,835375	69	107	12	39
99639	1.0	4	837265,838151,839869,841447,816936,818899,818903,822055,826914,827830,831122,831528	69	107	12	39
