threshold	term	GeneSize	WindowSize	key	value
1.0	183	11	3	AT1G23740,AT1G50450,AT1G79450,AT1G16790,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT2G42975,AT1G03850,AT4G01900	0,1,2
1.0	184	6	18	AT4G35770,AT4G20820,AT3G22690,AT2G40760,AT5G42070,AT3G57680	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1.0	185	5	8	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT2G37230	0,1,2,3,4,5,6,7
1.0	186	10	3	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT3G15840,AT3G15360	0,1,2
0.95	187	8	4	AT2G26340,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	0,1,2,3
0.95	188	5	3	AT2G18790,AT2G29500,AT5G53170,AT2G20260,AT1G03160	0,1,2
0.95	189	15	17	AT4G13670,AT3G55330,AT1G79230,AT4G20820,AT3G60370,AT1G07510,AT1G15820,AT3G22690,AT5G52970,AT2G40760,AT5G42070,AT3G57680,AT5G21430,AT4G35770,AT5G12470	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.9	190	5	14	AT4G39960,AT3G10130,AT1G76760,AT3G24590,AT2G37230	0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9	191	10	4	AT2G26340,AT1G23740,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	0,1,2,3
0.9	192	19	17	AT4G13670,AT3G55330,AT1G66670,AT1G07510,AT4G20820,AT3G60370,AT1G52220,AT1G15820,AT1G79230,AT5G52970,AT2G40760,AT5G42070,AT3G57680,AT1G67280,AT3G26580,AT5G21430,AT4G35770,AT3G22690,AT1G17850	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.9	193	11	3	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT5G08050,AT3G15840,AT3G15360	0,1,2
0.9	194	5	2	AT4G01050,AT1G80380,AT4G27700,AT3G24590,AT1G14590	0,1
0.9	195	6	7	AT3G14420,AT2G29500,AT2G20260,AT1G03160,AT3G08920,AT2G29180	0,1,2,3,4,5,6
0.9	196	5	3	AT1G74070,AT2G40400,AT1G31180,AT1G27510,AT1G30510	0,1,2
0.85	197	5	7	AT4G24930,AT4G01900,AT5G02160,AT4G24750,AT1G79450	0,1,2,3,4,5,6
0.85	198	5	3	AT3G46610,AT1G79040,AT1G44575,AT3G56040,AT1G71500	0,1,2
0.85	199	26	17	AT4G13670,AT5G53170,AT1G07510,AT4G20820,AT5G42070,AT4G35770,AT3G60370,AT5G52970,AT3G58010,AT4G38380,AT3G22690,AT2G40760,AT4G39460,AT5G21430,AT1G56500,AT1G29920,AT5G19500,AT4G13010,AT1G22020,AT1G15820,AT5G12470,AT3G55330,AT1G52220,AT1G79230,AT5G59250,AT3G57680	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.8	200	5	3	AT2G41680,AT3G17830,AT3G47450,AT4G25910,AT4G36810	0,1,2
0.8	201	5	3	AT4G24930,AT4G01050,AT1G80380,AT3G24590,AT1G14590	0,1,2
0.8	202	5	7	AT4G24930,AT5G53490,AT4G01900,AT1G05385,AT1G79450	0,1,2,3,4,5,6
0.8	203	7	4	AT3G21055,AT5G07020,AT1G22020,AT1G54500,AT1G54780,AT5G21430,AT5G52440	0,1,2,3
0.8	204	5	6	AT2G26550,AT1G79040,AT1G44575,AT3G56040,AT1G71500	0,1,2,3,4,5
0.8	205	5	8	AT4G01900,AT5G02160,AT1G30510,AT4G24750,AT1G79450	0,1,2,3,4,5,6,7
