threshold	term	GeneSize	WindowSize	key	value
1.0	183	6	11	AT5G39830,AT5G20140,AT4G18370,AT4G04020,AT5G15250,AT1G72640	14,15,16,17,18,19,20,21,22,23,24
1.0	184	5	17	AT5G21430,AT1G15820,AT3G24590,AT2G22360,AT1G07510	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1.0	185	6	7	AT2G42975,AT4G13010,AT1G50250,AT5G16660,AT3G15360,AT5G12470	14,15,16,17,18,19,20
1.0	186	5	30	AT2G24020,AT1G15820,AT3G15360,AT3G24590,AT1G07510	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1.0	187	5	4	AT1G75690,AT1G22020,AT3G25480,AT1G51350,AT3G28850	14,15,16,17
1.0	188	6	11	AT3G01440,AT3G15110,AT5G35170,AT4G23890,AT2G41330,AT2G26800	14,15,16,17,18,19,20,21,22,23,24
1.0	189	6	9	AT2G20260,AT5G13120,AT3G01440,AT3G15110,AT5G35170,AT4G37925	14,15,16,17,18,19,20,21,22
1.0	190	6	10	AT2G17630,AT1G14150,AT5G35170,AT4G23890,AT2G41330,AT2G26800	14,15,16,17,18,19,20,21,22,23
1.0	191	5	4	AT3G15840,AT1G75690,AT1G51350,AT3G25480,AT3G28850	14,15,16,17
1.0	192	7	2	AT1G29920,AT1G23740,AT4G13010,AT2G24020,AT1G50250,AT2G42975,AT2G43010	14,15
1.0	193	7	10	AT2G29500,AT2G20260,AT1G14150,AT2G44990,AT3G15110,AT2G26800,AT3G01440	14,15,16,17,18,19,20,21,22,23
1.0	194	5	9	AT5G16150,AT5G19500,AT4G39460,AT3G58010,AT4G38380	14,15,16,17,18,19,20,21,22
1.0	195	5	10	AT2G17630,AT5G35170,AT2G30950,AT5G03455,AT2G26800	14,15,16,17,18,19,20,21,22,23
1.0	196	6	10	AT2G17630,AT2G30950,AT5G35170,AT4G23890,AT2G41330,AT2G26800	14,15,16,17,18,19,20,21,22,23
1.0	197	5	2	AT3G15840,AT1G75690,AT1G51350,AT3G46780,AT3G28850	14,15
1.0	198	5	4	AT4G20820,AT1G79230,AT1G10170,AT2G37230,AT1G31180	14,15,16,17
1.0	199	6	2	AT2G42975,AT4G13010,AT3G58010,AT4G38380,AT4G39460,AT1G23740	14,15
1.0	200	6	2	AT2G42975,AT4G13010,AT5G16660,AT3G58010,AT4G38380,AT4G39460	14,15
1.0	201	5	35	AT2G42975,AT1G50250,AT5G12470,AT3G24590,AT1G07510	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1.0	202	6	2	AT5G53170,AT1G50250,AT1G42960,AT5G16660,AT3G15360,AT5G12470	14,15
1.0	203	5	2	AT4G27700,AT3G60370,AT5G52970,AT4G13670,AT1G52220	14,15
1.0	204	5	4	AT2G24020,AT1G79230,AT1G10170,AT2G37230,AT1G31180	14,15,16,17
0.95	205	5	16	AT3G10470,AT5G20140,AT4G39960,AT4G18370,AT4G04020	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.95	206	6	34	AT2G42220,AT5G19500,AT3G58010,AT4G38380,AT5G16150,AT1G50460	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	207	5	5	AT4G38100,AT1G67840,AT1G74880,AT1G50450,AT2G21530	14,15,16,17,18
0.95	208	10	34	AT2G42220,AT5G19500,AT2G42975,AT4G13010,AT1G50250,AT4G38380,AT5G16150,AT5G16660,AT2G43010,AT5G12470	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	209	6	34	AT3G10130,AT4G35770,AT1G66670,AT3G22690,AT1G67280,AT3G26580	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	210	11	34	AT1G29920,AT4G13010,AT2G24020,AT1G15820,AT1G07510,AT1G50250,AT5G52970,AT3G57680,AT5G12470,AT4G20820,AT3G24590	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
