threshold	term	GeneSize	WindowSize	key	value
1.0	183	6	4	AT2G29500,AT2G20260,AT1G03160,AT3G08920,AT1G67700,AT1G16880	43,44,45,46
1.0	184	6	4	AT1G76760,AT1G14150,AT2G40100,AT5G42070,AT3G01440,AT4G37925	43,44,45,46
1.0	185	5	3	AT1G51350,AT1G50460,AT3G46780,AT2G22360,AT3G28850	43,44,45
1.0	186	5	6	AT1G72640,AT1G66670,AT5G03455,AT1G54050,AT1G14590	43,44,45,46,47,48
1.0	187	5	3	AT2G01140,AT4G38100,AT1G05385,AT1G03850,AT1G54790	43,44,45
1.0	188	11	11	AT4G13670,AT1G74710,AT2G20270,AT4G20820,AT1G15820,AT3G22690,AT2G40760,AT3G57680,AT2G43010,AT5G12470,AT1G06690	43,44,45,46,47,48,49,50,51,52,53
1.0	189	5	3	AT2G01140,AT1G74070,AT4G38100,AT1G05385,AT1G54790	43,44,45
1.0	190	5	4	AT1G67700,AT2G44990,AT2G29500,AT1G02560,AT2G20260	43,44,45,46
1.0	191	6	3	AT2G30695,AT2G37660,AT5G19370,AT2G40100,AT4G37925,AT1G80030	43,44,45
1.0	192	6	4	AT1G76760,AT4G04020,AT5G42070,AT3G01440,AT4G37925,AT1G14150	43,44,45,46
1.0	193	5	11	AT5G16150,AT5G19500,AT5G16660,AT4G38380,AT4G13010	43,44,45,46,47,48,49,50,51,52,53
1.0	194	5	6	AT5G21430,AT2G42220,AT5G19500,AT1G50460,AT4G13010	43,44,45,46,47,48
1.0	195	5	11	AT5G16660,AT5G19500,AT1G15140,AT4G38380,AT2G24020	43,44,45,46,47,48,49,50,51,52,53
1.0	196	6	2	AT1G50450,AT4G19830,AT1G74880,AT1G54500,AT1G67840,AT2G21530	43,44
1.0	197	5	3	AT4G37925,AT2G40100,AT2G30695,AT2G37660,AT1G14150	43,44,45
1.0	198	5	5	AT2G17630,AT1G80030,AT1G12250,AT5G19370,AT2G37660	43,44,45,46,47
1.0	199	5	11	AT5G20140,AT5G03455,AT5G39830,AT1G54050,AT5G15250	43,44,45,46,47,48,49,50,51,52,53
1.0	200	5	11	AT5G16150,AT5G19500,AT2G35040,AT4G13010,AT1G52220	43,44,45,46,47,48,49,50,51,52,53
1.0	201	10	11	AT4G13670,AT1G74710,AT2G20270,AT1G07510,AT5G52970,AT1G15820,AT2G40760,AT3G57680,AT2G43010,AT5G12470	43,44,45,46,47,48,49,50,51,52,53
1.0	202	5	11	AT5G16150,AT5G19500,AT2G35040,AT5G16660,AT4G13010	43,44,45,46,47,48,49,50,51,52,53
1.0	203	5	8	AT5G21430,AT2G42220,AT1G50460,AT3G46780,AT4G13010	43,44,45,46,47,48,49,50
1.0	204	5	11	AT1G75690,AT1G51350,AT3G46780,AT4G16155,AT3G28850	43,44,45,46,47,48,49,50,51,52,53
0.95	205	21	11	AT4G38380,AT1G29920,AT1G15140,AT1G55370,AT2G20270,AT1G07510,AT4G20820,AT3G60370,AT2G24020,AT1G15820,AT4G13670,AT2G35040,AT3G22690,AT5G52970,AT2G40760,AT1G74710,AT3G57680,AT5G16660,AT2G43010,AT5G12470,AT1G06690	43,44,45,46,47,48,49,50,51,52,53
0.95	206	7	11	AT4G31560,AT3G47060,AT4G18370,AT4G04020,AT1G18730,AT1G14150,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.95	207	6	3	AT1G50450,AT4G19830,AT1G74880,AT1G03090,AT1G67840,AT2G21530	43,44,45
0.95	208	5	7	AT1G74070,AT4G38100,AT1G54790,AT1G03850,AT2G01140	43,44,45,46,47,48,49
0.95	209	15	11	AT5G39830,AT2G30950,AT5G20140,AT4G31560,AT1G66670,AT3G47060,AT3G10470,AT1G42960,AT1G54050,AT1G18730,AT3G26580,AT2G27290,AT1G72640,AT5G03455,AT5G15250	43,44,45,46,47,48,49,50,51,52,53
0.95	210	15	11	AT5G39830,AT2G30950,AT5G20140,AT5G15250,AT4G31560,AT1G66670,AT3G47060,AT3G10470,AT1G54050,AT1G14150,AT1G18730,AT1G54580,AT4G18370,AT3G26580,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.95	211	7	11	AT2G37660,AT4G04020,AT2G40100,AT5G42070,AT1G80030,AT1G14150,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.95	212	7	11	AT2G17630,AT2G40100,AT2G37660,AT5G19370,AT1G12250,AT1G80030,AT5G01500	43,44,45,46,47,48,49,50,51,52,53
0.95	213	7	11	AT2G37660,AT5G19370,AT1G12250,AT2G44990,AT1G80030,AT5G01500,AT1G02560	43,44,45,46,47,48,49,50,51,52,53
0.95	214	8	11	AT2G17630,AT2G40100,AT4G04020,AT5G19370,AT1G12250,AT5G42070,AT1G80030,AT1G14150	43,44,45,46,47,48,49,50,51,52,53
0.95	215	25	11	AT4G13670,AT1G07510,AT4G20820,AT1G42960,AT2G43010,AT1G74710,AT2G20270,AT4G35770,AT3G60370,AT5G52970,AT3G22690,AT2G40760,AT4G39460,AT2G27290,AT1G17850,AT1G29920,AT1G15820,AT1G67280,AT5G12470,AT1G06690,AT1G55370,AT3G55330,AT5G13120,AT3G57680,AT3G15110	43,44,45,46,47,48,49,50,51,52,53
0.95	216	20	11	AT1G15140,AT1G55370,AT4G13010,AT2G20270,AT1G52220,AT2G24020,AT3G60370,AT1G07510,AT1G15820,AT4G38380,AT2G35040,AT5G52970,AT5G16150,AT5G19500,AT1G74710,AT3G57680,AT5G16660,AT3G58010,AT2G43010,AT5G12470	43,44,45,46,47,48,49,50,51,52,53
0.95	217	12	11	AT1G15140,AT4G13010,AT2G24020,AT1G52220,AT4G38380,AT2G35040,AT5G16150,AT5G19500,AT3G46780,AT5G21430,AT5G16660,AT1G50460	43,44,45,46,47,48,49,50,51,52,53
0.95	218	7	11	AT2G29500,AT2G20260,AT1G03160,AT1G67700,AT1G02560,AT1G14345,AT2G44990	43,44,45,46,47,48,49,50,51,52,53
0.95	219	23	11	AT4G13670,AT1G07510,AT4G20820,AT2G35040,AT2G43010,AT1G74710,AT2G20270,AT3G60370,AT5G52970,AT4G38380,AT3G22690,AT2G40760,AT1G29920,AT5G19500,AT4G13010,AT1G15820,AT5G12470,AT1G15140,AT1G55370,AT2G24020,AT5G16150,AT5G16660,AT3G57680	43,44,45,46,47,48,49,50,51,52,53
0.95	220	12	11	AT1G15140,AT4G13010,AT2G24020,AT1G52220,AT3G58010,AT4G38380,AT5G16150,AT5G19500,AT2G35040,AT5G21430,AT5G16660,AT1G50460	43,44,45,46,47,48,49,50,51,52,53
0.95	221	7	11	AT2G29500,AT2G20260,AT1G03160,AT1G67700,AT2G44990,AT5G01500,AT1G02560	43,44,45,46,47,48,49,50,51,52,53
0.95	222	17	11	AT5G20140,AT2G30950,AT5G13120,AT4G39460,AT5G15250,AT1G66670,AT5G39830,AT3G10470,AT1G42960,AT1G54050,AT1G18730,AT1G67280,AT3G26580,AT2G27290,AT1G72640,AT5G03455,AT1G17850	43,44,45,46,47,48,49,50,51,52,53
0.95	223	19	11	AT5G20140,AT1G29920,AT1G72640,AT5G15250,AT3G55330,AT4G35770,AT5G39830,AT5G13120,AT1G42960,AT1G54050,AT2G30950,AT4G39460,AT3G22690,AT1G67280,AT3G15110,AT2G27290,AT1G06690,AT5G03455,AT1G17850	43,44,45,46,47,48,49,50,51,52,53
0.95	224	14	11	AT5G59250,AT2G35040,AT4G16155,AT4G13010,AT1G52220,AT1G75690,AT1G22020,AT3G28850,AT5G19500,AT5G16150,AT1G51350,AT3G46780,AT5G21430,AT1G50460	43,44,45,46,47,48,49,50,51,52,53
0.95	225	13	11	AT3G46780,AT4G13010,AT3G28850,AT1G52220,AT3G58010,AT4G38380,AT5G19500,AT5G16150,AT1G51350,AT2G35040,AT5G21430,AT5G16660,AT1G50460	43,44,45,46,47,48,49,50,51,52,53
0.95	226	6	11	AT5G19370,AT1G67700,AT1G12250,AT1G02560,AT5G01500,AT2G44990	43,44,45,46,47,48,49,50,51,52,53
0.9	227	5	8	AT1G74070,AT4G39730,AT1G54790,AT1G03850,AT2G01140	43,44,45,46,47,48,49,50
0.9	228	11	11	AT2G17630,AT5G19370,AT2G29500,AT2G20260,AT1G03160,AT1G67700,AT1G12250,AT1G02560,AT1G14345,AT5G01500,AT2G44990	43,44,45,46,47,48,49,50,51,52,53
0.9	229	34	11	AT4G13670,AT5G13120,AT1G07510,AT4G20820,AT1G42960,AT2G43010,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT1G15820,AT5G03455,AT1G67280,AT5G12470,AT1G06690,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT2G24020,AT4G35770,AT5G15250,AT3G57680,AT3G15110	43,44,45,46,47,48,49,50,51,52,53
0.9	230	13	11	AT2G17630,AT5G19370,AT2G29500,AT2G20260,AT2G37660,AT1G14150,AT1G67700,AT2G40100,AT1G12250,AT1G02560,AT1G80030,AT5G01500,AT2G44990	43,44,45,46,47,48,49,50,51,52,53
0.9	231	28	11	AT3G10470,AT5G13120,AT4G31560,AT1G42960,AT1G14150,AT1G54580,AT5G39830,AT1G66670,AT1G54050,AT3G22690,AT4G39460,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT5G15250,AT4G18370,AT1G18730,AT1G67280,AT3G26580,AT1G06690,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT4G35770,AT5G03455,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.9	232	5	6	AT2G18790,AT1G80380,AT4G33010,AT5G42270,AT2G29180	43,44,45,46,47,48
0.9	233	20	11	AT5G39830,AT2G30950,AT5G20140,AT4G04020,AT5G15250,AT4G31560,AT1G66670,AT3G47060,AT5G42070,AT3G10470,AT1G54050,AT1G14150,AT2G40100,AT1G18730,AT1G54580,AT4G18370,AT3G26580,AT1G72640,AT5G03455,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.9	234	13	11	AT2G17630,AT5G19370,AT2G29500,AT2G20260,AT1G03160,AT2G37660,AT1G67700,AT2G40100,AT1G12250,AT1G02560,AT1G80030,AT5G01500,AT2G44990	43,44,45,46,47,48,49,50,51,52,53
0.9	235	7	10	AT1G21750,AT1G50450,AT1G74880,AT1G03090,AT1G67840,AT2G21530,AT1G65260	43,44,45,46,47,48,49,50,51,52
0.9	236	30	11	AT4G13670,AT1G07510,AT4G20820,AT5G19500,AT2G43010,AT1G74710,AT2G20270,AT4G35770,AT3G60370,AT5G52970,AT4G38380,AT3G22690,AT2G40760,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT1G15820,AT1G67280,AT5G12470,AT1G06690,AT1G15140,AT1G55370,AT3G55330,AT2G24020,AT1G52220,AT5G16150,AT5G16660,AT3G57680,AT3G15110	43,44,45,46,47,48,49,50,51,52,53
0.9	237	12	11	AT2G17630,AT2G40100,AT2G37660,AT1G14150,AT5G19370,AT1G12250,AT5G42070,AT2G44990,AT1G80030,AT4G04020,AT5G01500,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.9	238	13	11	AT2G40100,AT4G31560,AT3G47060,AT2G37660,AT4G18370,AT1G14150,AT5G19370,AT1G12250,AT1G18730,AT5G42070,AT1G80030,AT4G04020,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.9	239	13	11	AT2G17630,AT5G19370,AT2G40100,AT2G20260,AT2G37660,AT1G14150,AT1G67700,AT1G12250,AT5G42070,AT1G02560,AT1G80030,AT5G01500,AT2G44990	43,44,45,46,47,48,49,50,51,52,53
0.9	240	36	11	AT4G13670,AT3G46780,AT1G07510,AT1G75690,AT4G38380,AT5G19500,AT2G43010,AT1G74710,AT4G16155,AT2G20270,AT3G60370,AT5G52970,AT3G58010,AT1G51350,AT3G22690,AT2G40760,AT5G59250,AT4G20820,AT5G21430,AT1G50460,AT1G29920,AT2G35040,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G22360,AT5G12470,AT1G06690,AT1G15140,AT1G55370,AT2G24020,AT1G52220,AT5G16150,AT5G16660,AT3G57680	43,44,45,46,47,48,49,50,51,52,53
0.85	241	26	11	AT2G17630,AT3G10470,AT4G31560,AT1G14150,AT1G12250,AT5G42070,AT1G54580,AT5G39830,AT1G66670,AT1G54050,AT2G40100,AT1G80030,AT1G72640,AT2G37660,AT4G18370,AT5G19370,AT5G03455,AT3G26580,AT1G18730,AT5G01500,AT2G30950,AT5G20140,AT3G47060,AT4G04020,AT5G15250,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.85	242	16	11	AT2G17630,AT2G40100,AT2G20260,AT4G31560,AT3G47060,AT2G37660,AT4G18370,AT1G14150,AT5G19370,AT1G12250,AT5G42070,AT2G44990,AT1G80030,AT4G04020,AT5G01500,AT2G26800	43,44,45,46,47,48,49,50,51,52,53
0.85	243	5	11	AT3G08920,AT1G16880,AT2G20260,AT1G03160,AT1G14345	43,44,45,46,47,48,49,50,51,52,53
0.85	244	6	10	AT1G20810,AT2G37400,AT1G21750,AT1G16790,AT1G78915,AT1G65260	43,44,45,46,47,48,49,50,51,52
0.85	245	5	11	AT3G53560,AT2G01140,AT1G05385,AT1G03850,AT1G54790	43,44,45,46,47,48,49,50,51,52,53
0.85	246	48	11	AT5G20140,AT3G10470,AT5G13120,AT4G31560,AT1G07510,AT4G20820,AT1G42960,AT5G19500,AT1G54580,AT2G43010,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT3G60370,AT5G16660,AT3G58010,AT4G38380,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT1G15820,AT1G18730,AT1G67280,AT4G13670,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT2G24020,AT3G47060,AT1G52220,AT5G52970,AT5G16150,AT5G03455,AT3G57680,AT3G15110,AT4G35770	43,44,45,46,47,48,49,50,51,52,53
0.85	247	5	9	AT2G18790,AT1G80380,AT4G33010,AT5G42270,AT2G29180	43,44,45,46,47,48,49,50,51
0.85	248	15	11	AT2G17630,AT5G19370,AT2G29500,AT2G20260,AT1G03160,AT2G37660,AT1G14150,AT1G67700,AT2G40100,AT1G12250,AT1G02560,AT1G14345,AT1G80030,AT5G01500,AT2G44990	43,44,45,46,47,48,49,50,51,52,53
