parent	child
183	232
183	353
183	219
183	228
184	227
184	326
184	231
184	208
184	213
184	218
185	224
185	229
185	207
185	212
185	217
186	233
186	210
186	220
186	215
188	192
188	201
188	195
188	204
188	198
189	193
189	202
189	196
189	199
191	192
191	193
194	195
194	196
196	257
196	276
196	267
197	198
197	199
198	262
198	272
198	247
198	252
200	201
200	202
203	204
204	253
204	263
206	208
206	353
206	210
206	207
207	329
207	309
207	376
207	348
208	344
208	324
208	317
208	373
210	337
210	356
211	219
211	212
211	213
211	215
212	313
212	333
213	320
213	340
213	303
215	352
215	323
215	343
216	217
216	218
216	220
218	355
218	339
218	308
218	375
218	319
220	328
220	347
221	224
221	227
224	291
224	350
225	228
225	229
227	336
228	354
228	335
228	315
229	331
229	372
229	316
229	349
230	232
230	233
230	231
231	341
231	314
231	334
232	346
232	287
233	332
233	292
233	351
234	326
239	247
247	390
248	257
248	252
248	253
252	380
252	530
258	262
258	263
258	267
262	405
262	509
267	399
268	272
268	276
272	412
276	495
279	352
279	354
279	291
279	292
279	355
279	341
279	348
279	349
279	287
287	429
287	478
291	514
291	465
298	303
298	308
298	309
298	313
298	314
298	315
298	316
298	317
303	451
303	423
303	1710
308	604
313	1723
315	388
315	1713
315	1720
318	320
318	323
318	324
318	328
318	329
318	331
318	332
318	333
318	334
318	335
318	336
318	337
318	319
319	445
320	468
320	517
328	513
328	452
329	523
329	474
332	464
335	459
335	508
335	413
337	470
338	356
338	339
338	340
338	343
338	344
338	346
338	347
338	350
338	351
339	466
341	524
341	475
343	497
343	438
343	425
344	458
346	512
346	463
347	433
349	482
349	430
351	467
351	516
352	448
353	461
353	510
358	372
358	373
358	375
358	376
372	449
372	498
373	434
373	483
375	473
375	522
376	520
376	471
377	530
379	388
379	390
379	399
379	405
379	412
379	413
379	423
379	425
379	380
427	1713
427	429
427	430
427	433
427	434
427	438
427	1723
427	445
427	448
427	449
427	451
427	452
427	458
427	459
427	461
427	463
427	464
427	465
427	466
427	467
427	468
427	470
427	471
427	473
427	474
427	475
427	604
427	495
427	509
429	809
430	1738
430	797
433	590
433	1935
433	661
438	608
438	664
438	655
451	600
451	688
452	609
459	1747
459	799
461	814
463	779
463	1743
463	1886
465	1721
465	795
467	766
468	676
468	630
471	1393
471	1752
473	1734
473	810
474	1728
474	791
476	512
476	513
476	514
476	516
476	517
476	520
476	522
476	523
476	524
476	1710
476	1720
476	478
476	482
476	483
476	497
476	498
476	508
476	510
478	780
482	811
482	1727
483	1717
483	1405
497	787
497	1732
498	1715
498	804
508	763
509	35188
512	1712
512	792
514	1729
514	292039
514	788
516	812
517	773
517	1733
534	292039
539	661
539	664
539	1732
539	1733
539	1712
539	547
539	676
539	552
539	555
539	557
539	688
539	1715
539	1717
539	1721
539	573
539	1727
539	1728
539	1729
539	1734
539	1738
539	1743
539	1747
539	1752
585	773
585	779
585	780
585	787
585	788
585	791
585	792
585	795
585	797
585	799
585	804
585	809
585	810
585	811
585	812
585	814
585	590
585	600
585	608
585	609
585	1393
585	35188
585	630
585	763
585	1405
585	766
590	693
600	689
604	681
604	1735
608	709
609	695
630	686
632	655
632	1886
632	1935
658	659
658	666
658	668
658	669
658	671
658	672
658	677
658	679
658	681
658	682
658	686
658	687
658	689
658	690
658	691
658	693
658	694
658	695
658	696
658	700
658	704
658	705
658	706
658	707
658	708
658	709
659	1332
659	1620
659	1178
661	1677
661	34454
661	1947
661	1189
661	3945
661	1390
661	1083
666	1664
666	3551
668	1674
668	1387
671	1216
671	27373
671	1646
671	3988
671	1358
672	3465
672	1706
677	1207
677	1693
677	1406
681	3540
681	1175
681	76569
681	1634
681	4199
681	1900
681	3389
682	1683
682	1396
687	1394
687	1681
688	1642
688	3302
688	3914
688	3606
688	1148
688	75325
689	1187
689	76966
689	4054
689	1625
689	3451
691	1705
691	1418
695	1221
695	1350
695	1945
695	1114
695	4006
695	1638
695	27639
704	1704
704	1417
705	4141
705	1108
705	27831
705	1213
706	1352
706	3948
706	27863
706	1640
707	3907
707	27271
707	1660
707	1373
709	1217
709	1671
709	1384
710	739
710	740
710	711
710	745
710	743
710	752
710	721
710	722
710	757
710	756
710	747
710	758
710	759
710	760
710	761
710	735
711	3182
711	1362
711	27187
721	1669
721	1382
721	26827
721	3288
735	1411
739	1415
740	1376
740	1663
743	1383
745	1407
747	1697
747	1410
752	27119
752	3280
752	1107
752	1214
756	3113
756	26644
756	1336
758	1345
758	1633
758	3152
758	27873
758	1200
759	1385
760	1183
761	1409
763	1736
763	1239
763	1628
763	28001
763	1000
763	27243
763	1650
763	1340
766	28612
766	1670
766	1269
766	1658
766	1371
766	1724
773	1302
773	1689
773	1402
773	1726
779	961
779	1218
779	27205
779	1227
779	1616
779	1624
779	1744
779	1959
779	1328
780	1349
780	1737
780	28120
780	1248
780	1637
780	1446
780	1194
780	1722
787	1229
787	1103
787	1618
787	27855
787	991
787	1698
787	1330
787	1210
787	1951
787	1725
788	1440
788	1730
788	1093
788	27655
788	1943
788	985
788	1242
788	1631
788	1184
788	1719
788	1343
791	1702
791	1268
791	1749
791	1657
791	1370
791	989
791	26942
792	1665
792	1378
792	1276
262937	293473
262937	293605
262937	339050
262937	575115
262937	293522
262937	301082
795	1745
795	1299
795	1493
795	1686
795	1399
797	1404
797	1739
797	1304
797	1691
797	1694
799	1313
799	1700
799	1413
799	1754
804	1751
809	1292
809	1741
809	1679
809	1392
809	1487
810	1750
811	1263
811	1746
811	1652
811	1365
812	1672
812	1264
812	1653
812	1366
814	1696
814	1300
814	1687
814	1400
814	1753
815	1314
815	1315
815	823
815	1724
815	1725
815	830
815	1730
815	1735
815	1736
815	1737
815	1739
815	846
815	1744
815	1746
815	1749
815	1750
815	1751
815	1753
815	1754
815	1726
823	4224
823	75536
823	1651
823	3547
830	4043
830	3597
830	1647
830	77427
846	3609
846	1675
873	28001
873	28612
873	950
873	28120
899	3288
899	3113
899	4141
899	3907
899	3152
899	4199
899	3945
899	3948
899	3182
899	4224
899	3988
899	926
899	930
899	4006
899	956
899	3914
899	961
899	4043
899	3280
899	4054
899	983
899	984
899	985
899	989
899	991
899	992
899	999
899	1000
899	1002
899	1003
899	1005
899	1009
961	4433
961	2323
961	3130
983	2581
984	4219
984	2989
985	2824
985	2260
985	3089
985	2680
985	4042
985	4451
989	2311
989	4136
989	2985
989	3214
989	4501
991	4214
991	3287
999	2676
999	3946
999	2731
1000	4000
1000	3086
1000	2879
1003	2546
1005	2753
1005	2675
1005	3967
1009	2827
1009	4045
1010	1093
1010	1096
1010	1103
1010	1107
1010	1108
1010	1112
1010	1113
1010	1050
1010	1114
1010	3302
1010	1063
1010	1083
1010	3389
1050	3523
1050	2591
1063	4194
1063	3434
1063	34928
1063	35031
1063	2495
1083	2548
1083	34617
1083	3487
263230	292169
263230	313642
1093	34672
1093	2454
1093	3391
1096	3587
1096	2654
1103	34785
1103	34888
1103	2389
1103	4188
1103	3326
1107	2416
1107	3954
1108	2412
1108	3348
1112	3581
1112	2647
1114	3374
1114	2439
1115	1126
1115	1142
1115	1148
1115	1151
1115	1154
1115	1156
1115	1167
1115	1169
1115	1173
1115	1175
1115	1178
1115	1183
1115	1184
1115	1187
1115	1189
1115	1194
1115	1196
1115	1200
1115	1201
1115	1202
1115	1203
1115	1207
1115	1210
1115	1213
1115	1214
1115	1216
1115	1217
1115	1218
1115	1219
1115	1220
1115	1221
1126	3488
1142	2625
1142	3848
1142	34892
1142	4185
1142	21343
1142	34275
1142	3312
1148	3936
1148	3334
1148	2674
1148	34962
1148	35255
1151	35241
1151	2576
1151	3314
1151	3860
1151	34842
1151	4095
1154	3605
1156	3579
1167	3492
1169	34858
1169	2640
1169	4212
1169	3317
1169	34618
1173	2656
1173	3495
1175	4098
1175	3332
1175	35308
1175	3894
1175	35012
1175	2681
1178	3376
1178	34324
1178	4059
1178	34653
1183	34666
1183	2522
1183	4221
1184	3330
1184	35251
1184	2393
1184	4092
1184	35166
1187	3613
1189	3446
1189	2582
1194	34419
1194	3331
1194	2394
1196	34616
1196	3454
1200	2545
1200	3485
1202	3365
1202	2441
1202	34473
1202	4201
1202	34501
1203	2673
1203	34551
1203	3384
1207	4195
1207	2533
1207	3472
1207	34486
1207	34846
1210	3588
1210	2655
1213	2682
1213	3614
1216	3594
1217	34880
1217	2568
1217	3504
1218	2465
1218	3403
1219	3489
1219	2551
1220	34690
1220	3589
1220	34267
1220	4220
1221	3457
1221	2661
1222	3597
1222	3606
1222	3609
1222	1223
1222	1227
1222	1228
1222	1229
1222	1239
1222	1242
1222	1248
1222	3451
1222	1263
1222	1264
1222	1268
1222	1269
1222	1276
1222	1292
1222	1293
1222	1299
1222	1300
1222	1302
1222	1304
1222	1305
1222	1308
1222	1313
1222	1327
1222	1332
1222	1333
1222	1334
1222	3465
1222	1336
1222	1345
1222	1347
1222	1348
1222	1350
1222	1351
1222	1352
1222	1353
1222	1355
1222	1356
1222	1357
1222	1358
1222	1360
1222	1361
1222	1362
1222	1367
1222	1372
1222	1373
1222	1374
1222	1376
1222	1379
1222	1381
1222	1382
1222	1383
1222	1384
1222	1385
1222	1386
1222	1387
1222	1390
1222	1391
1222	1394
1222	1396
1222	1397
1222	1398
1222	1401
1222	1403
1222	1406
1222	1407
1222	1409
1222	1410
1222	1411
1222	1412
1222	1415
1222	1416
1222	1417
1222	1418
1222	1420
1222	3540
1222	3547
1222	3551
1229	35275
1229	5457
1229	4505
1229	2978
1229	3369
1229	2346
1229	4211
1229	3063
1229	2558
1239	2624
1239	3413
1239	35272
1239	5322
1239	2963
1239	2202
1239	3103
1239	4070
1239	4393
1242	3197
1242	3583
1264	2343
1264	4533
1264	3263
1268	2245
1268	4436
1268	5421
1268	4177
1268	3571
1268	3252
1276	4454
1292	3202
1292	3522
1292	4526
1293	5395
1293	3433
1293	3123
1293	4340
1299	3139
1299	5451
1299	3602
1299	2336
1299	4326
1299	2669
1299	4209
1302	3217
1302	3533
1304	4536
1304	3107
1304	3417
1305	4144
1305	3222
1314	27436
1323	1392
1323	1378
1323	1349
1323	1413
1323	1404
1323	1328
1323	1330
1323	1365
1323	1366
1323	1399
1323	1400
1323	1370
1323	1371
1323	1340
1323	1402
1323	1343
1328	3206
1330	4539
1330	2349
1333	4225
1333	3618
1333	2372
1333	34444
1333	3891
1333	35066
1334	35208
1334	2677
1334	35033
1334	4149
1336	4453
1336	2630
1336	3213
1347	2664
1348	2530
1349	3595
1349	3275
1352	2440
1352	2867
1352	3486
1353	3564
1353	3246
1353	4529
1353	2943
1357	2663
1358	35072
1358	4161
1358	5409
1358	2645
1358	3353
1358	2297
1358	3870
1358	2741
1360	2604
1361	2400
1361	34563
1361	3885
1361	3567
1362	3266
1362	3586
1365	2672
1365	3284
1365	2981
1365	3604
1365	4346
1371	4513
1371	3282
1372	3574
1372	2601
1373	3591
1373	2615
1373	2968
1376	3205
1378	3192
1379	34609
1379	35029
1379	4187
1384	2980
1384	3603
1384	2492
1385	4516
1385	2665
1385	2326
1385	3166
1386	2662
1387	3555
1387	2678
1387	2935
1390	2473
1390	3514
1393	1680
1393	4469
1394	2489
1396	2619
1397	2562
1399	4445
1400	2993
1400	3575
1400	3256
1400	2651
1403	3573
1405	27729
1405	1692
1406	2344
1406	3882
1406	2859
1406	34383
1406	4210
1406	3477
1406	4411
1406	2364
1407	4408
1407	2531
1409	3616
1409	3295
1410	4193
1410	4517
1410	3570
1410	3251
1410	2327
1410	5437
1412	2637
1412	2959
1412	2322
1412	4189
1412	4512
1412	34338
1412	3262
1412	5432
1412	3582
1413	3153
1413	2948
1413	4342
1413	2151
1413	3467
1415	2353
1415	4543
1417	2587
1418	2608
1420	4226
1420	4551
1420	5469
1420	3298
1420	3619
1420	34695
1420	2996
1420	2361
1421	1615
1421	1620
1421	1621
1421	1622
1421	1624
1421	1625
1421	1633
1421	1634
1421	1635
1421	1636
1421	1638
1421	1639
1421	1640
1421	1641
1421	1642
1421	1643
1421	1644
1421	1645
1421	1646
1421	1647
1421	1648
1421	1649
1421	1650
1421	1651
1421	1654
1421	1659
1421	1660
1421	1661
1421	1663
1421	1664
1421	1666
1421	1668
1421	1669
1421	1670
1421	1671
1421	1672
1421	1673
1421	1674
1421	1675
1421	1677
1421	1678
1421	1681
1421	1683
1421	1684
1421	1685
1421	1688
1421	1690
1421	1693
1421	1694
1421	1696
1421	1697
1421	1698
1421	1699
1421	1702
1421	1703
1421	1704
1421	1705
1421	1706
1421	1707
1421	1709
1421	1711
1421	1748
1421	1440
1421	1446
1421	1487
1421	1493
262381	291972
262381	292106
262381	292649
262381	263062
262381	262937
262381	264985
262381	264991
262381	264486
262381	291881
262381	264877
262381	265009
262381	264762
262381	264959
262381	265021
262381	265031
262381	264910
262381	292434
262381	264918
262381	312155
262381	265052
262381	264670
262381	264677
262381	265068
262381	265075
262381	265077
262381	264567
262381	291964
262381	264957
262381	265045
1440	2976
1440	3880
1440	2666
1440	3279
1440	3599
1487	2612
1487	3545
1487	3228
1487	2925
1493	3585
1493	5448
1493	4429
1493	2643
1493	4206
1493	35103
1493	2979
1493	2287
1493	3185
1514	1665
1514	1679
1514	1680
1514	1686
1514	1687
1514	1689
1514	1691
1514	1692
1514	1695
1514	1700
1514	1612
1514	1616
1514	1617
1514	1618
1514	1628
1514	1631
1514	1637
1514	1652
1514	1653
1514	1657
1514	1658
1618	4548
1620	2987
1620	4217
1620	3610
1620	2623
1633	3576
1633	3257
1634	2510
1636	3557
1637	2340
1637	4405
1638	3580
1638	2957
1640	2547
1644	2945
1644	3566
1644	3248
1645	35302
1645	4203
1645	3596
1646	2583
1649	2644
1653	4507
1654	3278
1654	3598
1654	2975
1657	35265
1657	4299
1657	5461
1657	3611
1657	3291
1657	2988
1657	4218
1657	2108
1657	2687
1660	2658
1665	2317
1665	4461
1670	3265
1671	2670
1675	34382
1675	3887
1675	2646
1675	4216
1675	34622
1678	4449
1678	3490
1678	3174
1678	2871
1680	2817
1680	5449
1680	3308
1680	35313
1680	4531
1680	3005
1680	2494
1681	3426
1681	2453
1681	2810
1683	3552
1683	2932
1683	2543
1684	3499
1684	2513
1684	3895
1685	3563
1685	3245
1685	2942
1686	4530
1689	2926
1689	2653
1689	3229
1689	3546
1691	3859
1691	4506
1691	3421
1691	3111
1691	2805
1691	2358
1691	2552
1691	5466
1691	4223
1693	2538
1698	3601
1698	4493
1698	3281
1698	3897
1698	2303
1700	4438
1700	2247
1703	3264
