parent	child
184	209
185	200
185	201
186	200
186	197
186	199
188	190
190	204
190	205
190	206
197	216
197	213
197	215
199	216
199	214
200	216
200	207
201	208
201	216
204	218
204	253
205	224
205	220
206	224
206	221
207	219
207	222
208	219
208	222
213	225
213	219
214	226
214	219
215	219
215	223
216	227
222	250
223	241
224	411
225	241
225	237
226	239
227	251
237	252
237	245
239	243
243	276
250	272
250	265
250	270
251	274
252	275
252	266
252	271
265	297
265	290
266	298
266	291
270	286
272	294
272	658
272	286
274	295
275	658
276	658
286	417
286	518
286	419
286	372
286	381
290	324
290	518
290	334
290	339
290	343
290	346
290	349
290	417
290	419
290	381
291	326
291	337
291	340
291	344
291	347
291	351
291	518
291	381
294	368
294	372
294	381
297	317
298	318
317	404
317	396
318	406
318	398
324	392
324	400
326	407
326	399
334	414
337	408
339	429
340	424
343	428
343	423
344	426
346	425
347	427
349	405
351	402
368	1060
372	519
372	1005
381	517
381	519
392	486
392	439
392	520
392	523
392	526
396	520
396	514
396	575
398	513
398	521
399	489
399	525
399	528
399	521
399	443
400	520
400	523
400	526
400	486
400	439
402	444
402	487
404	520
404	514
405	586
405	485
405	490
405	529
405	442
405	522
405	446
406	513
406	521
407	489
407	525
407	528
407	521
407	443
408	483
408	444
408	487
414	482
414	485
414	490
414	529
414	442
414	446
417	448
417	516
417	454
419	451
419	436
423	484
423	462
424	483
424	469
424	487
425	472
425	481
426	473
427	470
428	480
428	471
429	482
429	485
429	490
429	468
429	478
436	652
436	654
436	543
439	837
439	838
442	837
442	838
443	842
443	843
444	842
444	843
446	837
446	668
451	543
462	545
462	551
462	553
462	559
462	561
468	695
468	686
468	689
468	694
478	551
478	553
478	695
478	686
478	689
478	777
478	601
480	545
480	551
480	553
480	559
480	561
480	601
481	551
481	553
481	561
481	594
481	601
482	837
482	695
482	689
482	694
483	842
484	545
484	551
484	553
484	559
484	561
485	837
485	838
486	837
486	838
487	842
487	843
489	842
489	843
490	837
490	668
513	728
513	589
514	587
517	539
517	654
517	535
518	652
518	654
518	543
519	532
521	738
521	843
522	739
522	668
523	837
523	838
525	842
525	843
528	842
528	843
529	668
545	746
545	660
551	692
559	705
559	746
575	850
575	727
586	741
586	742
587	730
589	734
652	715
654	915
654	919
658	1061
660	716
668	740
686	775
689	773
692	776
694	774
694	766
695	765
695	773
705	747
715	785
715	999
716	1082
727	905
727	1009
727	855
728	856
728	861
730	898
730	857
734	897
734	858
734	861
738	846
746	789
747	1088
747	787
765	841
766	844
773	793
774	862
775	795
776	786
776	790
776	791
777	796
786	924
787	924
787	925
789	929
789	923
790	924
793	993
793	946
795	946
795	909
796	961
796	909
796	946
796	885
796	959
837	990
838	883
841	993
841	989
842	867
843	867
843	884
844	995
844	947
844	991
846	882
855	899
856	900
862	995
862	947
862	863
863	960
867	979
882	968
885	922
897	968
898	954
899	955
905	1019
909	1014
915	1000
915	1003
919	1216
922	1568
929	1230
947	992
947	994
954	1011
955	1012
961	1606
961	1590
989	1283
990	1053
990	1047
991	1054
991	1046
992	1059
994	1058
995	1056
995	1043
999	1084
999	1087
1000	1086
1000	1089
1009	1120
1009	1436
1009	1118
1011	1791
1012	1792
1014	1607
1019	1121
1019	1955
1043	1956
1043	1612
1046	1611
1046	1951
1047	1611
1047	1951
1053	1793
1053	1610
1053	1743
1053	1114
1054	1610
1054	1743
1056	1108
1056	1115
1058	1152
1058	1146
1059	1608
1082	1220
1082	1213
1084	1217
1086	1130
1087	1129
1089	1218
1089	1219
1108	1745
1130	1246
1152	1207
1207	1259
1218	1232
1218	1231
1219	1232
1219	1293
1231	1292
1259	1609
1292	1303
1436	1541
1606	1653
1606	1751
1608	1746
1609	1952
1743	1789
1745	1948
1745	1885
1746	1947
1746	1790
1751	1953
1751	1821
1791	1950
1792	1949
1793	1954
1793	1883
