parent	child
0	3789
0	3786
0	1963
0	1964
0	1965
0	1966
0	1967
0	1968
0	1969
0	1970
0	1971
0	1972
0	1973
0	184
0	185
0	186
0	8671
0	188
0	189
0	8672
0	1991
0	3785
0	202
0	5579
0	5580
0	5581
0	1998
0	205
0	3792
0	5585
0	3794
0	1976
0	3796
0	5582
0	3791
0	8668
0	1978
0	8670
0	3813
0	5578
0	8673
0	8674
0	3788
0	5605
0	3793
0	8683
0	3795
0	5583
0	8669
0	5629
6144	6213
1091	1135
6147	6241
8197	8567
6150	6240
6150	6219
6150	6222
8203	8385
8203	8538
344	434
8214	8314
8214	8237
8215	8239
8217	8315
8217	8238
6490	6652
409	525
409	519
6178	6309
6180	6308
6182	6299
6492	6815
6186	6234
8199	8293
6188	6311
8237	8594
8239	8316
6193	6334
6194	6226
6196	6229
6197	6233
6198	6232
351	430
10304	10477
10305	10480
6217	6490
6217	6494
6219	6490
6219	6499
6498	6818
6498	6654
6222	6490
6226	6625
6226	6346
6226	6628
6226	6533
6226	6543
6229	6533
6229	6461
6232	6533
6233	6576
6233	6428
6233	6533
6233	6574
6233	6461
8285	8368
8285	8563
8293	8371
10342	10516
10342	10477
8309	8638
8310	8635
8312	8640
8314	8514
8314	8571
8315	8370
8315	8516
8316	8519
277	291
277	299
277	663
6296	6619
6296	6614
6296	6615
6297	6397
6299	6619
6299	6620
6303	6350
6306	6398
6306	6350
6308	6544
6308	6619
6308	6630
6309	6613
6311	6344
6311	6544
6311	6619
6311	6630
1052	1616
1052	1956
5832	6059
5832	6072
5832	6067
5832	6197
5832	6070
5832	5976
8370	8565
5833	5976
5833	5972
6328	6424
6329	6451
6329	6421
188	191
6334	6544
6334	6344
191	208
191	209
191	207
8385	8450
198	217
198	219
198	220
6344	6570
201	210
201	220
6346	6569
203	211
203	220
6350	6601
207	258
207	222
208	224
208	229
209	226
209	229
210	227
211	227
212	225
217	230
218	231
219	228
220	232
227	255
228	246
229	416
230	243
230	246
231	242
232	256
7207	7368
7207	7337
242	248
243	257
243	250
248	281
255	275
255	277
255	270
256	279
257	280
257	276
257	271
1750	1953
1750	1890
8192	8307
8192	8566
486	558
486	556
486	566
486	606
486	599
270	302
270	295
271	296
271	303
6421	6585
6421	6589
