term_id	annotation_gene	annotation_window	geneSize	window_size
0	root	root	4	4
8192	['AT1G07510', 'AT1G15820', 'AT2G40760', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT4G13670', 'AT4G35770', 'AT5G21430', 'AT5G52970']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	11	39
24578	['AT1G54050', 'AT2G40100', 'AT5G02160', 'AT5G15250', 'AT5G39830']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	5	10
24579	['AT1G12250', 'AT1G54050', 'AT1G55370', 'AT1G72640', 'AT1G74710', 'AT1G80030', 'AT2G30950', 'AT4G04020', 'AT4G39960', 'AT5G02160', 'AT5G15250', 'AT5G23890', 'AT5G39830']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	13	10
24581	['AT1G55370', 'AT1G72640', 'AT1G74710', 'AT2G27290', 'AT2G30950', 'AT4G04020', 'AT4G39960', 'AT5G02160', 'AT5G23890', 'AT5G42765']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	10	10
24582	['AT1G55370', 'AT2G27290', 'AT2G30950', 'AT2G40400', 'AT4G04020', 'AT4G39960', 'AT5G02160', 'AT5G23890', 'AT5G42765']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	9	10
8199	['AT1G07510', 'AT1G15820', 'AT1G29920', 'AT2G42975', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT5G12470', 'AT5G21430', 'AT5G52970']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	11	39
24586	['AT1G55370', 'AT2G27290', 'AT2G30950', 'AT2G40400', 'AT4G04020', 'AT4G24750', 'AT4G39960', 'AT5G42765']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	8	10
24587	['AT1G55370', 'AT2G27290', 'AT2G30950', 'AT4G04020', 'AT4G18370', 'AT4G39960', 'AT5G02160', 'AT5G42765']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	8	10
16396	['AT1G07510', 'AT1G10170', 'AT1G15820', 'AT2G37230', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT4G20820', 'AT5G12470', 'AT5G42070']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	11	13
