term_id	annotation_gene	annotation_window	geneSize	window_size
0	root	root	4	4
123952	['AT1G07510', 'AT1G15820', 'AT1G29920', 'AT1G50250', 'AT1G55370', 'AT2G24020', 'AT2G40760', 'AT2G42975', 'AT2G43010', 'AT3G24590', 'AT3G57680', 'AT3G60370', 'AT4G13670', 'AT4G20820', 'AT5G12470', 'AT5G23890', 'AT5G52970']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]	17	26
184	['AT2G17630', 'AT3G10470', 'AT4G13670', 'AT1G07510', 'AT1G75690', 'AT1G14150', 'AT2G43010', 'AT4G16155', 'AT1G03160', 'AT4G35770', 'AT2G27290', 'AT5G20140', 'AT3G46780', 'AT2G40100', 'AT1G15140', 'AT5G13120', 'AT4G31560', 'AT5G52970', 'AT4G20820', 'AT1G42960', 'AT5G42070', 'AT2G20260', 'AT2G35040', 'AT2G26800', 'AT1G54580', 'AT1G02560', 'AT5G39830', 'AT4G04020', 'AT2G29500', 'AT5G59250', 'AT1G67280', 'AT1G74710', 'AT2G20270', 'AT1G66670', 'AT3G60370', 'AT3G58010', 'AT5G16660', 'AT4G38380', 'AT1G51350', 'AT4G13010', 'AT1G54050', 'AT3G22690', 'AT2G40760', 'AT4G39460', 'AT5G42270', 'AT5G12470', 'AT1G14345', 'AT1G80030', 'AT1G56500', 'AT1G50460', 'AT1G72640', 'AT1G17850', 'AT1G29920', 'AT5G19500', 'AT4G19830', 'AT3G28850', 'AT1G15820', 'AT2G37660', 'AT4G18370', 'AT5G19370', 'AT1G67700', 'AT1G18730', 'AT1G12250', 'AT5G03455', 'AT3G26580', 'AT5G01500', 'AT1G06690', 'AT2G30950', 'AT1G55370', 'AT5G08540', 'AT3G55330', 'AT2G24020', 'AT1G79230', 'AT1G52220', 'AT3G47060', 'AT1G51110', 'AT5G16150', 'AT5G15250', 'AT2G44990', 'AT3G57680', 'AT2G41330', 'AT5G53170', 'AT2G18790', 'AT3G08920', 'AT4G33010']	[0]	85	1
203	['AT1G02560', 'AT1G03160', 'AT1G06690', 'AT1G07510', 'AT1G12250', 'AT1G14150', 'AT1G14345', 'AT1G15140', 'AT1G15820', 'AT1G17850', 'AT1G18730', 'AT1G22020', 'AT1G29920', 'AT1G42960', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G52220', 'AT1G54050', 'AT1G54500', 'AT1G54780', 'AT1G55370', 'AT1G56500', 'AT1G66670', 'AT1G67280', 'AT1G67700', 'AT1G72640', 'AT1G74710', 'AT1G75690', 'AT1G79230', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G20270', 'AT2G24020', 'AT2G26800', 'AT2G27290', 'AT2G29500', 'AT2G30950', 'AT2G35040', 'AT2G37660', 'AT2G40100', 'AT2G40760', 'AT2G41330', 'AT2G43010', 'AT2G44990', 'AT3G10470', 'AT3G15110', 'AT3G21055', 'AT3G22690', 'AT3G26580', 'AT3G28850', 'AT3G46780', 'AT3G47060', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G16155', 'AT4G18370', 'AT4G19830', 'AT4G20820', 'AT4G31560', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT5G01500', 'AT5G03455', 'AT5G08540', 'AT5G12470', 'AT5G13120', 'AT5G15250', 'AT5G16150', 'AT5G16660', 'AT5G19370', 'AT5G19500', 'AT5G20140', 'AT5G21430', 'AT5G39830', 'AT5G42070', 'AT5G42270', 'AT5G52440', 'AT5G52970', 'AT5G59250']	[0, 1]	87	2
210	['AT1G02560', 'AT1G03160', 'AT1G06690', 'AT1G07510', 'AT1G12250', 'AT1G14150', 'AT1G14345', 'AT1G15140', 'AT1G15820', 'AT1G17850', 'AT1G22020', 'AT1G29920', 'AT1G42960', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G52220', 'AT1G54050', 'AT1G54500', 'AT1G54580', 'AT1G55370', 'AT1G56500', 'AT1G66670', 'AT1G67280', 'AT1G67700', 'AT1G72640', 'AT1G74710', 'AT1G75690', 'AT1G79230', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G20270', 'AT2G24020', 'AT2G26800', 'AT2G27290', 'AT2G29500', 'AT2G30950', 'AT2G35040', 'AT2G37660', 'AT2G40100', 'AT2G40760', 'AT2G41330', 'AT2G43010', 'AT2G44990', 'AT3G10470', 'AT3G21055', 'AT3G22690', 'AT3G26580', 'AT3G28850', 'AT3G46780', 'AT3G47060', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G16155', 'AT4G18370', 'AT4G19830', 'AT4G20820', 'AT4G31560', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT5G01500', 'AT5G03455', 'AT5G08540', 'AT5G12470', 'AT5G13120', 'AT5G15250', 'AT5G16150', 'AT5G16660', 'AT5G19370', 'AT5G19500', 'AT5G20140', 'AT5G21430', 'AT5G39830', 'AT5G42070', 'AT5G42270', 'AT5G52440', 'AT5G52970', 'AT5G59250']	[0, 1, 2]	85	3
211	['AT1G02560', 'AT1G03160', 'AT1G06690', 'AT1G07510', 'AT1G12250', 'AT1G14150', 'AT1G14345', 'AT1G15140', 'AT1G15820', 'AT1G17850', 'AT1G22020', 'AT1G29920', 'AT1G42960', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G52220', 'AT1G54050', 'AT1G54500', 'AT1G54780', 'AT1G55370', 'AT1G56500', 'AT1G66670', 'AT1G67280', 'AT1G67700', 'AT1G72640', 'AT1G74710', 'AT1G75690', 'AT1G79230', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G20270', 'AT2G24020', 'AT2G26800', 'AT2G27290', 'AT2G29500', 'AT2G30950', 'AT2G35040', 'AT2G37660', 'AT2G40100', 'AT2G40760', 'AT2G41330', 'AT2G43010', 'AT2G44990', 'AT3G10470', 'AT3G21055', 'AT3G22690', 'AT3G26580', 'AT3G28850', 'AT3G46780', 'AT3G47060', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G16155', 'AT4G18370', 'AT4G19830', 'AT4G20820', 'AT4G31560', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT5G01500', 'AT5G03455', 'AT5G08540', 'AT5G12470', 'AT5G13120', 'AT5G15250', 'AT5G16150', 'AT5G16660', 'AT5G19370', 'AT5G19500', 'AT5G20140', 'AT5G21430', 'AT5G39830', 'AT5G42070', 'AT5G42270', 'AT5G52440', 'AT5G52970', 'AT5G59250']	[0, 1, 2]	85	3
212	['AT1G02560', 'AT1G03160', 'AT1G06690', 'AT1G07510', 'AT1G12250', 'AT1G14150', 'AT1G14345', 'AT1G15140', 'AT1G15820', 'AT1G17850', 'AT1G22020', 'AT1G29920', 'AT1G42960', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G52220', 'AT1G54050', 'AT1G54580', 'AT1G55370', 'AT1G56500', 'AT1G66670', 'AT1G67280', 'AT1G67700', 'AT1G72640', 'AT1G74710', 'AT1G75690', 'AT1G79230', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G20270', 'AT2G24020', 'AT2G26800', 'AT2G27290', 'AT2G29500', 'AT2G30950', 'AT2G35040', 'AT2G37660', 'AT2G40100', 'AT2G40760', 'AT2G41330', 'AT2G43010', 'AT2G44990', 'AT3G10470', 'AT3G21055', 'AT3G22690', 'AT3G26080', 'AT3G26580', 'AT3G28850', 'AT3G46780', 'AT3G47060', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G16155', 'AT4G18370', 'AT4G19830', 'AT4G20820', 'AT4G31560', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT5G01500', 'AT5G03455', 'AT5G08540', 'AT5G12470', 'AT5G13120', 'AT5G15250', 'AT5G16150', 'AT5G16660', 'AT5G19370', 'AT5G19500', 'AT5G20140', 'AT5G21430', 'AT5G39830', 'AT5G42070', 'AT5G42270', 'AT5G52970', 'AT5G59250']	[0, 1, 2]	84	3
213	['AT1G03160', 'AT2G18790', 'AT3G08920', 'AT4G33010', 'AT5G53170']	[0, 1, 2]	5	3
217	['AT1G02560', 'AT1G03160', 'AT1G06690', 'AT1G07510', 'AT1G12250', 'AT1G14150', 'AT1G14345', 'AT1G15140', 'AT1G15820', 'AT1G17850', 'AT1G29920', 'AT1G42960', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G52220', 'AT1G54050', 'AT1G54500', 'AT1G54580', 'AT1G55370', 'AT1G66670', 'AT1G67280', 'AT1G67700', 'AT1G72640', 'AT1G74710', 'AT1G75690', 'AT1G79230', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G20270', 'AT2G24020', 'AT2G26800', 'AT2G27290', 'AT2G29500', 'AT2G30950', 'AT2G35040', 'AT2G37660', 'AT2G40100', 'AT2G40760', 'AT2G41330', 'AT2G43010', 'AT2G44990', 'AT3G08920', 'AT3G10470', 'AT3G22690', 'AT3G26580', 'AT3G28850', 'AT3G46780', 'AT3G47060', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G16155', 'AT4G18370', 'AT4G19830', 'AT4G20820', 'AT4G31560', 'AT4G33010', 'AT4G38380', 'AT4G39460', 'AT5G01500', 'AT5G03455', 'AT5G08540', 'AT5G12470', 'AT5G13120', 'AT5G15250', 'AT5G16150', 'AT5G16660', 'AT5G19370', 'AT5G19500', 'AT5G20140', 'AT5G39830', 'AT5G42070', 'AT5G42270', 'AT5G52970', 'AT5G53170', 'AT5G59250']	[0, 1, 2]	82	3
218	['AT1G02560', 'AT1G03160', 'AT1G06690', 'AT1G07510', 'AT1G12250', 'AT1G14150', 'AT1G14345', 'AT1G15140', 'AT1G15820', 'AT1G17850', 'AT1G29920', 'AT1G42960', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G52220', 'AT1G54050', 'AT1G54500', 'AT1G54580', 'AT1G55370', 'AT1G56500', 'AT1G66670', 'AT1G67280', 'AT1G67700', 'AT1G72640', 'AT1G74710', 'AT1G75690', 'AT1G79230', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G20270', 'AT2G24020', 'AT2G26800', 'AT2G27290', 'AT2G29500', 'AT2G30950', 'AT2G35040', 'AT2G37660', 'AT2G40100', 'AT2G40760', 'AT2G41330', 'AT2G43010', 'AT2G44990', 'AT3G08920', 'AT3G10470', 'AT3G21055', 'AT3G22690', 'AT3G26580', 'AT3G28850', 'AT3G46780', 'AT3G47060', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G16155', 'AT4G18370', 'AT4G19830', 'AT4G20820', 'AT4G31560', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT5G01500', 'AT5G03455', 'AT5G08540', 'AT5G12470', 'AT5G13120', 'AT5G15250', 'AT5G16150', 'AT5G16660', 'AT5G19370', 'AT5G19500', 'AT5G20140', 'AT5G39830', 'AT5G42070', 'AT5G42270', 'AT5G52440', 'AT5G52970', 'AT5G59250']	[0, 1, 2]	84	3
