term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
106652	0.2857	['AT1G80380', 'AT1G03160', 'AT1G67700', 'AT2G30695', 'AT4G33010', 'AT5G42270', 'AT1G14345']	[22]	7	1
106653	0.2857	['AT1G80380', 'AT1G03160', 'AT1G67700', 'AT2G29180', 'AT4G33010', 'AT5G42270', 'AT1G14345']	[22]	7	1
88001	0.2685	['AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	[19, 20, 21, 22, 23, 24]	6	6
162147	0.2381	['AT1G03160', 'AT2G29500', 'AT1G67700', 'AT3G08920', 'AT1G03090', 'AT1G16880', 'AT2G30695']	[35]	7	1
87603	0.2	['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	[19, 20, 21, 22, 23]	7	5
162232	0.2	['AT1G03090', 'AT1G03160', 'AT1G67700', 'AT2G29500', 'AT2G30695']	[35, 36]	5	2
25523	0.1689	['AT1G14150', 'AT1G18730', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	5	15
122580	0.1667	['AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	5	18
188139	0.1667	['AT1G03160', 'AT1G14345', 'AT1G16880', 'AT1G80380', 'AT3G08920', 'AT5G42270']	[48, 49]	6	2
162178	0.1667	['AT1G02560', 'AT1G03090', 'AT1G16880', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	[35, 36]	8	2
155445	0.1389	['AT1G75690', 'AT3G46780', 'AT5G53170', 'AT4G16155', 'AT5G59250', 'AT3G28850', 'AT4G27700', 'AT3G15840', 'AT1G22020', 'AT1G51350', 'AT3G25480', 'AT1G22450']	[33]	12	1
162873	0.1389	['AT1G02560', 'AT1G16880', 'AT2G30695', 'AT2G44990', 'AT3G08920', 'AT5G08540']	[35, 36, 37, 38, 39, 40]	6	6
28556	0.1364	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G15110', 'AT4G27700', 'AT4G37925']	[9, 10, 11, 12]	11	4
141736	0.1333	['AT1G54500', 'AT3G25480', 'AT3G46780', 'AT3G53560', 'AT5G53170']	[29, 30, 31, 32, 33, 34, 35, 36]	5	8
23695	0.1333	['AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12]	11	5
25815	0.1333	['AT1G14150', 'AT2G20260', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	5	17
126160	0.1333	['AT1G22020', 'AT1G50460', 'AT3G25480', 'AT3G46780', 'AT5G59250']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	5	11
127420	0.1333	['AT1G14150', 'AT2G17630', 'AT2G26800', 'AT3G01440', 'AT4G37925']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	5	17
28378	0.1296	['AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G15110', 'AT4G27700', 'AT4G37925']	[9, 10, 11]	12	3
28158	0.1282	['AT4G27700', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT1G03160', 'AT2G37660', 'AT1G14150', 'AT1G18730', 'AT3G15110', 'AT4G37925', 'AT3G01440', 'AT1G14345']	[9]	13	1
165284	0.125	['AT1G02560', 'AT1G03160', 'AT2G29500', 'AT1G67700', 'AT1G03090', 'AT2G30695', 'AT5G08540', 'AT2G44990']	[36]	8	1
23124	0.125	['AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9]	12	2
118872	0.125	['AT1G27510', 'AT2G01918', 'AT2G40100', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[24, 25]	8	2
93116	0.125	['AT1G03160', 'AT1G67700', 'AT1G80380', 'AT1G14345', 'AT5G42270', 'AT4G33010', 'AT2G18790', 'AT2G29180']	[20]	8	1
163287	0.125	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	[35, 36, 37, 38, 39, 40, 41, 42]	7	8
9889	0.1244	['AT1G18730', 'AT1G67700', 'AT2G20260', 'AT3G01440', 'AT4G37925']	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	5	15
61823	0.1226	['AT1G14150', 'AT2G26800', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]	6	29
126928	0.1206	['AT1G14150', 'AT2G17630', 'AT2G26800', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	7	15
127575	0.1176	['AT1G14150', 'AT2G26800', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	7	17
187458	0.1176	['AT3G10470', 'AT4G31560', 'AT5G20140', 'AT1G54580', 'AT5G15250', 'AT5G39830', 'AT3G26580', 'AT3G47060', 'AT2G37660', 'AT1G76760', 'AT4G18370', 'AT1G14150', 'AT5G19370', 'AT5G42070', 'AT2G26800', 'AT3G01440', 'AT4G04020']	[47]	17	1
