parent	child
0	163922
0	163923
0	163924
0	163925
0	163926
0	163927
0	163928
0	163929
0	163930
0	163931
0	163932
0	163933
0	163935
0	163936
0	163937
0	163938
0	163939
0	163940
0	163943
0	163944
0	163945
0	163946
0	163947
0	31920
0	42349
0	42350
0	183
0	184
0	186
0	187
0	188
0	190
0	191
0	192
0	193
0	194
0	195
0	196
0	27344
0	73956
0	27345
0	158418
0	132477
0	90352
0	90354
0	90355
0	90356
0	90358
0	90359
0	90360
0	90361
0	90362
0	90363
0	90364
0	90366
0	90367
0	90369
0	90370
0	90372
0	132481
0	90377
0	90378
0	90379
0	90380
0	90381
0	158424
0	90386
0	90387
0	90388
0	90389
0	90390
0	90393
0	90396
0	90402
0	132486
0	90409
0	90410
0	132487
0	42376
0	132489
0	132490
0	132492
0	90447
0	90448
0	90488
0	147942
0	147944
0	147945
0	147949
0	147950
0	147951
0	147952
0	147953
0	147954
0	147955
0	147958
0	147959
0	147960
0	147961
0	147962
0	79274
0	158464
0	147970
0	147971
0	147972
0	147974
0	147975
0	147977
0	147978
0	147979
0	147981
0	147982
0	147983
0	147986
0	147988
0	147989
0	158468
0	147995
0	147996
0	90717
0	90722
0	90723
0	164483
0	164484
0	164488
0	161236
0	164493
0	164496
0	164497
0	164500
0	164502
0	164505
0	164509
0	164510
0	161221
0	107172
0	107175
0	164523
0	107180
0	164525
0	164526
0	164527
0	107184
0	164530
0	107188
0	107189
0	107192
0	107193
0	107194
0	107195
0	107196
0	107198
0	107203
0	107204
0	107205
0	107207
0	107209
0	107210
0	107211
0	107212
0	107214
0	107220
0	107225
0	107226
0	125733
0	107233
0	107234
0	107235
0	107236
0	107237
0	27431
0	125736
0	107257
0	107258
0	107259
0	107260
0	125740
0	107286
0	107289
0	107290
0	107291
0	164636
0	107295
0	107296
0	125744
0	107300
0	107303
0	107304
0	107309
0	107313
0	107315
0	107320
0	107324
0	132582
0	27452
0	67048
0	95724
0	67057
0	95732
0	107462
0	107466
0	107468
0	135330
0	107473
0	140243
0	140244
0	107477
0	107478
0	107479
0	107480
0	107481
0	107483
