parent	child
0	183
0	184
0	185
0	186
0	224
0	225
0	228
0	231
0	301
0	302
0	303
0	305
0	307
0	332
0	334
0	335
0	336
0	367
0	368
0	370
0	371
0	403
0	405
0	433
0	434
0	435
0	436
0	437
0	438
0	440
0	442
0	463
0	464
0	467
0	469
0	471
0	472
0	473
0	500
0	501
0	504
0	505
0	524
0	525
0	526
0	527
0	530
0	531
0	532
0	534
0	546
0	562
0	565
0	566
0	568
0	570
0	571
0	572
0	573
0	575
0	576
0	601
0	602
0	603
0	606
0	607
0	608
0	609
0	643
0	646
0	649
0	651
0	658
0	684
0	686
0	687
0	688
0	689
0	690
0	711
0	723
0	726
0	727
0	728
0	754
0	755
0	756
0	757
0	758
0	759
0	760
0	761
0	789
0	790
0	793
0	794
0	795
0	796
0	822
0	827
0	829
0	830
0	848
0	853
0	854
0	855
0	873
0	876
0	878
0	879
0	880
0	888
0	892
0	902
0	903
0	905
0	906
0	910
0	912
0	914
0	918
0	929
0	931
0	934
0	958
0	959
0	961
0	962
0	965
0	987
0	989
0	990
0	991
0	992
0	994
0	996
0	997
0	1030
0	1037
0	1038
0	1039
0	1040
0	1045
0	1077
0	1078
0	1079
0	1081
0	1082
0	1083
0	1085
0	1090
0	1130
0	1133
0	1135
0	1136
0	1137
0	1138
0	1140
0	1177
0	1178
0	1179
0	1183
0	1193
0	1214
0	1221
0	1225
0	1226
0	1228
0	1264
0	1267
0	1268
0	1270
0	1300
0	1301
0	1302
0	1303
0	1304
0	1305
0	1309
0	1310
0	1343
0	1345
0	1347
0	1348
0	1379
0	1381
0	1382
0	1384
0	1411
0	1412
0	1415
0	1416
0	1418
0	1422
0	1443
0	1448
0	1450
0	1454
0	1482
0	1489
0	1490
0	1501
0	1504
0	1509
0	1517
0	1519
0	1532
0	1537
0	1552
0	1555
0	1582
0	1584
0	1586
0	1587
0	1588
0	1590
0	1592
0	1628
0	1630
0	1631
0	1632
0	1633
0	1635
0	1637
0	1638
0	1639
0	1641
0	1647
0	1671
0	1672
0	1674
0	1681
0	1682
0	1710
0	1711
0	1713
0	1714
0	1716
0	1719
0	1721
0	1742
0	1743
0	1744
0	1746
0	1753
0	1759
0	1767
0	1787
0	1790
0	1791
0	1792
0	1793
0	1798
0	1800
0	1802
0	1817
0	1832
0	1833
0	1834
0	1839
0	1841
0	1844
0	1869
0	1871
0	1872
0	1874
0	1877
0	1878
0	1879
0	1880
0	1882
0	1883
0	1884
0	1900
0	1903
0	1907
0	1908
0	1909
0	1911
0	1921
0	1932
0	1935
0	1938
0	1955
0	1957
0	1961
0	1962
0	1963
0	1971
0	1972
0	1973
0	1974
0	1975
0	1976
0	1977
0	1978
0	1979
0	1980
183	187
183	190
184	189
184	191
185	188
187	192
188	196
189	200
190	198
191	202
192	201
201	204
201	207
204	208
204	212
204	205
204	222
205	211
208	210
208	213
211	218
212	221
212	215
213	223
225	232
225	187
228	190
228	238
232	192
232	241
238	198
241	201
241	244
244	249
244	204
249	222
273	238
278	281
301	308
302	306
303	273
306	312
306	315
306	309
307	278
307	311
311	281
312	322
312	316
316	321
316	318
321	331
322	327
332	340
335	338
336	308
336	342
340	350
342	311
350	356
356	365
368	338
370	340
370	380
371	342
371	372
371	374
372	381
374	379
374	383
375	378
379	391
380	350
381	389
383	388
388	399
389	397
403	410
403	412
403	406
403	375
405	420
406	418
406	378
406	421
412	417
412	383
417	388
417	430
421	426
421	391
430	432
430	399
433	450
433	406
435	448
436	409
436	451
438	410
440	412
448	458
450	421
464	476
467	488
471	450
472	451
473	486
476	487
478	492
486	496
487	491
500	488
500	511
501	520
501	492
501	478
506	483
509	486
509	519
511	488
511	517
517	518
518	523
519	496
519	522
524	554
525	506
525	542
526	507
527	544
530	509
530	550
531	548
532	543
532	511
534	535
542	551
543	549
543	517
549	518
550	519
562	535
566	554
570	542
570	582
572	580
572	543
573	544
573	585
580	595
580	549
582	551
601	554
601	635
603	580
603	622
603	623
606	616
606	582
608	612
609	585
612	625
616	637
623	595
635	641
646	612
646	661
649	554
649	635
649	660
651	616
651	675
655	666
657	667
658	623
659	622
660	635
661	625
675	637
684	666
684	701
684	655
686	657
686	700
687	659
688	697
690	635
690	660
697	704
700	667
704	710
710	716
711	675
716	719
723	736
723	696
726	730
727	666
727	731
727	701
728	740
731	738
731	701
738	747
754	768
755	770
755	730
757	763
757	731
758	780
758	740
758	781
760	767
761	736
763	738
763	775
767	788
767	774
774	778
775	779
775	747
780	783
789	770
789	763
789	805
790	740
790	780
790	781
790	813
793	803
793	767
795	802
796	768
803	809
803	774
805	811
805	775
809	778
811	779
813	781
827	802
829	808
829	833
830	836
830	805
833	808
836	840
836	811
853	864
854	840
854	836
854	869
869	871
879	860
893	894
895	870
912	913
912	893
913	921
913	894
914	920
914	895
918	897
920	927
929	913
929	943
934	941
943	953
943	921
945	952
959	941
965	945
965	972
972	952
972	979
979	985
989	1021
992	998
994	977
996	1005
998	1024
1002	1016
1016	1019
1021	1022
1037	1059
1039	1043
1040	1057
1040	1002
1045	1005
1051	1062
1057	1016
1057	1060
1059	1066
1060	1019
1062	1021
1062	1063
1063	1022
1063	1070
1066	1076
1078	1097
1078	1043
1081	1102
1083	1104
1085	1098
1090	1096
1090	1051
1096	1106
1096	1062
1100	1057
1100	1103
1103	1112
1103	1107
1103	1059
1104	1110
1106	1062
1107	1126
1112	1066
1112	1127
1127	1129
1127	1076
1130	1152
1135	1096
1135	1146
1137	1097
1138	1098
1140	1100
1140	1143
1142	1153
1142	1102
1143	1154
1143	1060
1146	1106
1146	1147
1152	1160
1153	1170
1154	1112
1177	1192
1177	1142
1178	1195
1179	1186
1179	1191
1179	1103
1183	1185
1183	1146
1183	1187
1185	1147
1191	1154
1192	1153
1192	1215
1215	1170
1221	1248
1221	1185
1221	1236
1225	1238
1226	1256
1226	1191
1226	1239
1239	1253
1239	1215
1248	1254
1253	1258
1253	1215
1254	1257
1267	1273
1268	1236
1270	1283
1270	1238
1281	1288
1281	1248
1288	1289
1288	1254
1289	1257
1290	1256
1290	1295
1295	1299
1301	1314
1302	1318
1303	1313
1305	1273
1309	1326
1310	1283
1310	1325
1314	1322
1315	1281
1315	1324
1323	1290
1324	1288
1324	1327
1327	1289
1327	1334
1343	1313
1345	1315
1347	1283
1347	1355
1347	1325
1348	1318
1353	1323
1353	1358
1355	1325
1356	1326
1358	1375
1379	1385
1379	1353
1384	1356
1385	1400
1385	1401
1385	1358
1385	1399
1388	1392
1400	1375
1401	1403
1403	1407
1407	1410
1411	1424
1411	1385
1415	1419
1415	1388
1419	1392
1422	1431
1424	1429
1429	1400
1429	1439
1431	1437
