parent	child
0	1024
0	1025
0	1026
0	2051
0	2052
0	1537
0	1538
0	5647
0	5648
0	5649
0	5650
0	3587
0	5652
0	533
0	534
0	1535
0	537
0	538
0	4280
0	2047
0	4141
0	4142
0	4143
0	4145
0	4147
0	4148
0	4149
0	1536
0	5044
0	6072
0	4668
0	5181
0	5182
0	5183
0	5184
0	4673
0	4674
0	6070
0	183
0	3003
0	6225
0	6226
0	6227
0	6228
0	6229
0	6230
0	6231
0	6232
0	6233
0	6234
0	3163
0	3164
0	186
0	3167
0	3168
0	5051
0	3173
0	4796
0	3005
0	3006
0	532
0	6079
0	6268
0	6269
0	6270
0	6271
0	6272
0	6273
0	6274
0	643
0	644
0	646
0	648
0	649
0	650
0	3726
0	655
0	3729
0	3730
0	3731
0	3733
0	5782
0	5783
0	5784
0	5785
0	6298
0	5787
0	6301
0	3001
0	6303
0	6305
0	1186
0	2211
0	1189
0	1190
0	1191
0	1192
0	2217
0	2218
0	1707
0	1708
0	6317
0	6318
0	6319
0	6320
0	6321
0	2226
0	6323
0	4276
0	4277
0	5303
0	5304
0	4281
0	5306
0	4795
0	188
0	189
0	4798
0	4799
0	4800
0	4801
0	5305
0	3300
0	3301
0	3302
0	3304
0	3305
0	2046
0	5307
0	6316
0	5417
0	767
0	768
0	769
0	770
0	771
0	772
0	773
0	774
0	4908
0	4909
0	6275
0	4910
0	185
0	5423
0	2844
0	2845
0	2847
0	2848
0	2850
0	2851
0	4913
0	3881
0	3883
0	3884
0	3885
0	3886
0	4911
0	5419
0	305
0	4914
0	308
0	309
0	4407
0	4408
0	4409
0	4410
0	4411
0	4415
0	1350
0	1351
0	1352
0	1353
0	1354
0	1355
0	1357
0	1358
0	2385
0	1874
0	1875
0	1878
0	1879
0	1880
0	1881
0	3727
0	1886
0	6075
0	3434
0	3435
0	3437
0	3439
0	3440
0	3442
0	886
0	887
0	888
0	889
0	891
0	892
0	893
0	6067
0	6297
0	306
0	1704
0	5049
0	5531
0	5532
0	5533
0	5535
0	6299
0	421
0	424
0	4009
0	4011
0	4012
0	6066
0	5043
0	6302
0	5046
0	5047
0	4282
0	3002
0	4539
0	5530
0	4541
0	4542
0	2214
0	3008
0	6304
