term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
238	1.0	2	AT1G06690,AT1G42960,AT1G50460,AT2G24020,AT2G40100,AT2G43010,AT2G44990,AT3G26080,AT3G47060,AT4G18370	50	61	10	12
273	1.0	2	AT1G06690,AT1G42960,AT1G50460,AT2G24020,AT2G40100,AT2G43010,AT2G44990,AT3G26080,AT3G47060,AT4G18370,AT4G31560	51	61	11	11
568	1.0	1	AT2G42220,AT1G50460,AT3G25480,AT1G51110,AT3G15840,AT3G46780	60	69	6	10
657	1.0	2	AT1G50250,AT2G42975,AT3G15360,AT4G13010,AT5G16660,AT5G53170	62	72	6	11
686	1.0	1	AT2G24020,AT1G29920,AT2G42975,AT4G13010,AT3G15360,AT1G50250,AT5G12470,AT5G16660,AT5G53170	63	72	9	10
700	1.0	2	AT1G50250,AT2G42975,AT3G15360,AT4G13010,AT5G12470,AT5G16660	63	73	6	11
761	1.0	1	AT3G15840,AT3G28850,AT1G75690,AT1G51350,AT3G25480,AT1G50460	65	74	6	10
855	1.0	1	AT2G24020,AT3G55330,AT5G52970,AT3G57680,AT3G22690,AT1G31180	68	77	6	10
876	1.0	1	AT3G25480,AT1G50460,AT1G54500,AT4G38380,AT5G16150,AT5G19500	69	78	6	10
878	1.0	1	AT2G42975,AT4G13010,AT5G12470,AT2G43010,AT1G29920,AT4G39730	69	78	6	10
894	1.0	3	AT1G30510,AT1G79230,AT2G37230,AT4G20820,AT4G24930	69	80	5	12
913	1.0	2	AT1G29920,AT1G30510,AT1G79230,AT2G37230,AT4G20820,AT4G24930	70	80	6	11
921	1.0	3	AT1G29920,AT1G30510,AT1G79230,AT2G37230,AT4G20820	70	81	5	12
1016	1.0	3	AT1G07510,AT1G15820,AT1G29920,AT2G37230,AT2G43010,AT3G24590,AT4G20820	73	85	7	13
1019	1.0	4	AT1G07510,AT1G15820,AT1G29920,AT2G37230,AT2G43010,AT3G24590	73	86	6	14
1040	1.0	1	AT2G24020,AT3G57680,AT5G52970,AT3G15360,AT1G07510,AT3G24590,AT2G37230,AT1G30510,AT4G20820,AT2G43010,AT1G15820,AT1G29920	74	83	12	10
1057	1.0	2	AT1G07510,AT1G15820,AT1G29920,AT2G37230,AT2G43010,AT3G15360,AT3G24590,AT4G20820,AT5G52970	74	85	9	12
1060	1.0	3	AT1G07510,AT1G15820,AT1G29920,AT2G37230,AT2G43010,AT3G15360,AT3G24590,AT5G52970	74	86	8	13
1126	1.0	4	AT1G15820,AT1G29920,AT1G42960,AT3G15360,AT5G52970	75	91	5	17
1129	1.0	5	AT1G07510,AT1G50250,AT2G43010,AT3G24590,AT4G13670,AT5G12470	75	94	6	20
1248	1.0	2	AT1G15820,AT1G29920,AT1G42960,AT2G20270,AT3G15360,AT3G57680,AT4G20820,AT5G23890,AT5G52970	78	90	9	13
1254	1.0	3	AT1G15820,AT1G29920,AT1G42960,AT2G20270,AT3G15360,AT3G57680,AT5G23890,AT5G52970	78	91	8	14
