term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
2109	1.0	12	AT1G07510,AT1G15820,AT1G29920,AT2G24020,AT2G43010,AT3G58010,AT4G13010,AT4G38380	62	107	8	46
2150	1.0	4	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT4G16155,AT4G27700,AT5G53170,AT5G59250	63	77	9	15
2163	1.0	5	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT4G16155,AT4G27700,AT5G59250	63	78	8	16
274	1.0	7	AT1G50250,AT2G42975,AT4G13010,AT4G38380,AT4G39460,AT5G12470,AT5G19500,AT5G52970	49	76	8	28
377	1.0	3	AT1G54780,AT3G15840,AT3G25480,AT3G46780,AT5G16150	51	62	5	12
2434	1.0	4	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT4G16155,AT4G27700,AT5G53170,AT5G59250	65	77	10	13
526	1.0	6	AT1G50250,AT2G42975,AT4G13010,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G19500,AT5G52970	52	76	9	25
529	1.0	7	AT1G50250,AT2G42975,AT4G13010,AT4G38380,AT5G16150,AT5G19500	52	77	6	26
714	1.0	10	AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G42975,AT3G24590,AT4G13010,AT4G38380,AT5G16150,AT5G19500	54	77	10	24
755	1.0	12	AT1G42960,AT3G15360,AT4G39460,AT5G12470,AT5G52970	54	98	5	45
762	1.0	11	AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G42975,AT3G24590,AT4G13010,AT4G38380	54	104	8	51
765	1.0	13	AT1G07510,AT1G15820,AT1G29920,AT4G13010,AT4G38380	54	107	5	54
2859	1.0	2	AT1G20810,AT1G50460,AT1G51110,AT3G25480,AT3G28850,AT3G46780,AT5G16150,AT5G19500	68	79	8	12
2972	1.0	2	AT1G20810,AT1G22020,AT1G50460,AT1G51110,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G27700,AT5G16150,AT5G19500,AT5G59250	69	79	12	11
3190	1.0	5	AT1G15140,AT1G20810,AT1G79230,AT1G79450,AT4G24930	70	90	5	21
3218	1.0	3	AT1G22450,AT1G51350,AT1G75690,AT4G16155,AT5G53170	70	97	5	28
3406	1.0	4	AT1G15140,AT1G20810,AT1G51110,AT1G74070,AT1G79230,AT1G79450,AT2G21160,AT3G26080,AT3G46780,AT3G53560,AT4G24930,AT4G28025,AT5G53490	72	84	13	13
3410	1.0	5	AT1G15140,AT1G20810,AT1G51110,AT1G74070,AT1G79230,AT1G79450,AT2G21160,AT3G26080,AT3G46780,AT3G53560,AT4G24930,AT5G53490	72	85	12	14
3433	1.0	6	AT1G15140,AT1G20810,AT1G51110,AT1G79230,AT1G79450,AT3G46780,AT3G53560,AT4G24930	72	87	8	16
3464	1.0	7	AT1G15140,AT1G20810,AT1G79230,AT1G79450,AT3G46780,AT3G53560,AT4G24930	72	90	7	19
2967	1.0	1	AT1G51350,AT1G20810,AT4G16155,AT1G22450,AT1G50460,AT5G59250,AT1G75690,AT1G22020,AT5G16150,AT3G46780,AT3G28850,AT3G15840,AT4G27700,AT5G19500,AT1G51110,AT3G25480	69	78	16	10
1759	1.0	9	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G38380	60	90	11	31
1785	1.0	10	AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G38380	60	104	10	45
