parent	child
165282	168542
165281	168542
165281	165311
116195	117063
131597	132116
127470	127902
82999	84147
28997	29062
99999	100187
99998	100188
57295	57597
57295	57601
99991	100215
99995	100186
99995	100375
99997	100180
99997	100375
99996	100375
270	302
270	295
270	291
277	291
277	663
277	299
100015	100104
100015	100110
100015	100116
121529	122154
121528	122176
121528	122154
168883	169458
168883	169456
168884	169140
124359	125013
124359	124659
124359	125015
134346	134562
125408	125839
125408	129557
125409	125838
70666	71038
172943	173736
106620	109490
118804	119369
118806	119208
118806	118947
118801	119372
118802	118898
118808	119213
118809	119371
106720	107156
106720	107096
61205	61784
129455	129536
29767	30398
56574	59700
56574	57412
23051	23362
109992	110939
109995	110989
129981	130334
129981	130270
129981	130057
129230	129396
129985	130389
129235	129504
129234	129467
129234	129408
82058	82711
82059	82711
82059	82632
173305	174970
173307	174278
107097	108099
107096	107987
107094	107989
110632	110942
181488	181655
181489	182263
181489	181658
181489	181657
117063	117455
117061	117440
162042	162098
181487	181655
187981	188025
184449	184511
184449	184529
184448	184513
180282	180644
50670	50869
50670	50927
50670	51066
50670	51060
184445	184515
184444	184513
184444	184515
184447	184520
184446	184528
126463	126585
110942	111407
110942	111422
141333	141437
141333	142912
159091	159587
159093	159225
16064	16109
5846	6044
5846	6350
5846	6178
5846	6180
16067	16112
166835	167246
44527	48261
44527	44659
44527	44662
44527	44664
44527	48347
44524	44614
44524	45842
44524	45595
44524	44600
185712	186573
185712	186574
130251	130534
130250	130554
93358	95983
93358	94689
122608	122714
141596	142985
57291	57602
122606	122712
124728	125076
45656	46226
45656	46231
45658	46222
63147	63195
176475	176637
179629	179749
179628	179747
179625	179718
179627	179748
179627	179744
179626	179743
179621	179758
179621	181367
179621	179755
179621	181235
179621	181423
70348	70609
179622	179758
179622	181367
179622	179755
179622	181235
179622	181423
9752	9889
26812	28146
26812	27542
108106	108793
108106	108266
168526	168589
24559	24848
162930	163342
691	780
691	778
28428	28756
699	779
699	771
28351	28542
175747	176300
144640	144664
144640	148284
79706	80429
79707	80429
183144	183552
183144	183559
183144	183555
183144	183558
183144	183560
183144	183566
183148	183552
183148	183555
183148	183558
183148	183559
183148	183570
183148	183566
23263	23723
23263	23767
23263	23945
109270	111552
109270	112807
155655	155738
177480	177650
97133	98167
97134	98141
97134	98158
107287	108748
107289	108856
96623	96796
255	270
255	277
98592	99913
81191	81666
81192	81664
120410	123828
121541	122284
121541	122179
121541	122606
121544	122181
125646	126195
125645	126197
141100	141131
134368	134571
1094	1224
152190	152574
152190	152570
152190	153961
141129	141357
69171	69356
69171	69298
