term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
8258	0.9455	['AT2G26360', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	96	106	5	11
7970	0.8933	['AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G33520', 'AT4G36810']	89	103	5	15
2508	0.8833	['AT2G26360', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G36810']	58	69	5	12
8140	0.877	['AT2G26360', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G33520', 'AT4G36810']	92	103	7	12
7026	0.8722	['AT2G26360', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	81	92	5	12
1148	0.8564	['AT1G16880', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G36810']	53	65	5	13
858	0.8556	['AT1G16880', 'AT2G26360', 'AT2G41680', 'AT3G47450', 'AT4G36810']	52	63	5	12
8254	0.8524	['AT4G25910', 'AT3G47450', 'AT3G01480', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	96	105	7	10
3528	0.8352	['AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	62	74	7	13
2760	0.8333	['AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G36810']	59	69	6	11
2497	0.8292	['AT4G25910', 'AT2G41680', 'AT3G47450', 'AT3G01480', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	58	67	8	10
8177	0.8258	['AT2G26360', 'AT3G01480', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G33520', 'AT4G36810']	93	103	8	11
1421	0.8241	['AT1G16880', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G33520', 'AT4G36810']	54	65	6	12
7951	0.8148	['AT3G01480', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G33520', 'AT4G36810']	89	100	6	12
3288	0.8143	['AT2G26360', 'AT2G41680', 'AT3G14420', 'AT4G25910', 'AT4G36810']	61	74	5	14
7738	0.8129	['AT2G04030', 'AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT4G25910', 'AT4G36810']	86	99	7	14
3940	0.8067	['AT4G25910', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G01480', 'AT1G73530', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	64	73	10	10
4532	0.8056	['AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT4G25910', 'AT4G36810']	67	80	6	14
6543	0.7992	['AT2G04030', 'AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	78	88	8	11
4536	0.7956	['AT2G26360', 'AT2G41680', 'AT3G17830', 'AT4G25910', 'AT4G36810']	67	81	5	15
6389	0.7937	['AT2G04030', 'AT2G26360', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	77	88	7	12
5472	0.7917	['AT4G25910', 'AT2G41680', 'AT3G01480', 'AT1G73530', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	72	81	8	10
1135	0.7879	['AT1G16880', 'AT2G04030', 'AT2G26360', 'AT2G41680', 'AT3G17830', 'AT3G19490', 'AT3G47450', 'AT4G25910', 'AT4G36810']	53	63	9	11
7944	0.7851	['AT2G04030', 'AT2G26360', 'AT2G41680', 'AT3G01480', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G31390', 'AT4G33520', 'AT4G36810']	89	99	11	11
5851	0.7841	['AT2G04030', 'AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	74	84	8	11
4891	0.781	['AT4G25910', 'AT2G41680', 'AT3G14420', 'AT3G01480', 'AT3G17830', 'AT2G26360', 'AT4G36810']	69	78	7	10
