parent	child
0	185
0	186
0	189
0	191
0	211
0	212
0	219
0	224
0	231
0	277
0	301
0	302
0	305
0	307
0	332
0	334
0	335
0	336
0	368
0	370
0	371
0	405
0	406
0	409
0	433
0	434
0	435
0	436
0	437
0	442
0	464
0	469
0	471
0	483
0	490
0	492
0	506
0	507
0	524
0	525
0	526
0	527
0	530
0	531
0	534
0	546
0	562
0	566
0	571
0	572
0	573
0	579
0	582
0	601
0	602
0	606
0	609
0	612
0	643
0	649
0	655
0	657
0	684
0	686
0	689
0	690
0	696
0	711
0	723
0	728
0	732
0	747
0	754
0	757
0	758
0	761
0	767
0	790
0	796
0	805
0	808
0	829
0	830
0	848
0	852
0	854
0	880
0	888
0	892
0	900
0	906
0	920
0	946
0	958
0	968
0	990
0	991
0	994
0	998
0	1030
0	1037
0	1038
0	1039
0	1040
0	1078
0	1079
0	1081
0	1083
0	1085
0	1092
0	1100
0	1130
0	1133
0	1136
0	1137
0	1138
0	1140
0	1142
0	1147
0	1177
0	1178
0	1179
0	1193
0	1221
0	1225
0	1226
0	1228
0	1264
0	1267
0	1268
0	1281
0	1283
0	1301
0	1303
0	1305
0	1310
0	1315
0	1342
0	1343
0	1345
0	1347
0	1382
0	1393
0	1399
0	1411
0	1412
0	1443
0	1448
0	1450
0	1454
0	1467
0	1504
0	1505
0	1509
0	1514
0	1517
0	1526
0	1540
0	1556
0	1576
0	1584
0	1590
0	1597
0	1628
0	1631
0	1633
0	1637
0	1671
0	1684
0	1711
0	1716
0	1719
0	1743
0	1759
0	1765
0	1768
0	1775
0	1776
0	1792
0	1793
0	1798
0	1810
0	1833
0	1839
0	1844
0	1869
0	1871
0	1878
0	1879
0	1882
0	1897
0	1900
0	1903
0	1909
0	1926
0	1944
0	1957
0	1961
0	1963
0	1970
0	1972
0	1974
0	1980
185	188
188	196
189	200
211	218
212	221
212	215
219	222
301	308
302	312
312	317
312	318
332	340
335	338
340	350
350	356
356	365
370	380
371	379
371	381
379	391
381	389
389	397
405	413
406	418
406	421
413	420
433	450
435	448
448	458
464	476
476	487
487	491
524	554
525	542
527	544
531	548
534	535
542	551
562	593
566	588
573	585
588	596
601	614
612	625
614	624
624	635
635	641
649	660
660	669
690	702
723	736
728	733
732	739
733	740
739	744
744	750
754	768
757	763
758	765
763	775
765	771
771	780
775	779
780	783
805	811
829	833
830	836
836	840
854	859
880	886
900	902
968	977
998	1024
1037	1059
1038	1044
1039	1043
1040	1057
1044	1052
1057	1060
1078	1097
1079	1091
1081	1102
1083	1104
1085	1098
1091	1101
1100	1103
1101	1111
1103	1107
1104	1110
1107	1126
1130	1141
1140	1143
1141	1152
1142	1153
1153	1170
1177	1192
1178	1195
1179	1186
1192	1215
1221	1248
1221	1236
1226	1239
1239	1253
1248	1254
1253	1258
1254	1257
1267	1273
1281	1288
1288	1289
1301	1314
1303	1313
1310	1317
1314	1322
1315	1324
1324	1327
1393	1398
1411	1424
1424	1429
1443	1452
1454	1464
1504	1518
1505	1519
1514	1522
1540	1558
1556	1565
1558	1575
1576	1579
1584	1604
1597	1608
1604	1614
1628	1656
1631	1645
1645	1653
1671	1689
1684	1693
1689	1701
1701	1707
1759	1773
1773	1777
1775	1787
1776	1784
1784	1786
1792	1814
1798	1821
1814	1830
1844	1858
1878	1886
1886	1895
1903	1916
1909	1919
1919	1930
1944	1951
