Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
490	0.859	6	13	1	0	0	0
848	0.8056	6	10	1	0	0	0
977	0.4066	7	13	1	1	1	1
902	0.3792	5	16	1	0	1	0
1030	0.3356	8	18	1	1	1	1
1775	0.3333	7	12	0	1	1	0
968	0.33	9	11	0	1	1	1
888	0.3117	7	11	1	0	1	1
368	0.3056	6	10	1	0	0	1
1787	0.3037	6	15	1	1	1	0
994	0.2967	10	10	1	1	1	0
900	0.2925	7	14	0	1	1	0
338	0.2727	5	11	1	1	0	1
643	0.269	6	19	1	0	1	0
231	0.2172	6	11	1	0	0	1
1264	0.2167	6	10	1	1	1	0
1342	0.2167	6	10	1	1	1	0
335	0.2111	6	10	0	0	0	1
1590	0.2	6	10	1	1	1	0
1412	0.1889	6	10	1	1	1	0
506	0.1602	7	11	1	1	0	1
483	0.1574	6	12	1	0	0	1
1961	0.15	6	10	1	1	1	1
1136	0.1444	6	10	1	1	0	1
1393	0.1435	6	12	0	1	0	0
1957	0.1429	7	10	1	1	1	1
301	0.14	10	10	0	0	0	0
1519	0.1381	5	14	1	1	1	1
1614	0.1333	5	13	1	1	1	0
1398	0.1282	5	13	1	0	1	1
525	0.1179	13	10	0	0	1	1
696	0.1162	6	11	1	0	0	0
1604	0.1157	6	12	0	1	1	0
946	0.1111	7	12	1	1	1	1
991	0.1111	6	10	1	0	1	1
833	0.1082	7	11	1	1	0	1
723	0.1048	7	10	0	0	0	0
1505	0.1032	7	12	0	1	1	1
491	0.094	6	13	1	0	1	1
1707	0.0926	6	15	1	1	1	0
829	0.0917	8	10	0	1	1	1
1584	0.0917	8	10	0	1	1	0
476	0.0909	8	11	0	1	1	1
1193	0.0909	7	11	1	1	0	1
437	0.0889	6	10	1	0	0	0
808	0.088	6	12	1	0	0	0
1759	0.0866	7	11	0	0	1	1
531	0.0833	6	10	0	1	1	0
1443	0.0833	10	10	0	1	0	0
1689	0.0833	8	11	0	1	1	0
892	0.0808	6	11	1	1	0	1
1504	0.0794	7	12	0	1	1	1
1097	0.0788	5	11	1	1	1	0
1509	0.0787	6	12	1	1	1	1
1671	0.0778	9	10	0	1	1	0
669	0.0769	7	13	1	0	0	1
1701	0.0769	7	13	0	1	1	0
660	0.0758	10	11	0	0	0	1
1452	0.0758	8	11	1	0	1	1
487	0.0754	7	12	0	0	1	1
1773	0.0741	6	12	0	0	1	1
690	0.0697	11	10	0	1	1	0
1768	0.0694	6	12	1	1	1	1
602	0.0667	6	10	1	1	1	0
702	0.066	8	12	1	1	1	0
1043	0.0657	6	11	1	1	1	0
1821	0.0648	9	12	1	0	0	1
1518	0.0641	6	13	1	1	1	1
566	0.0633	10	10	0	0	1	1
1039	0.0619	7	10	0	0	0	1
1078	0.0619	7	10	0	1	1	0
624	0.0617	9	12	0	1	1	0
554	0.0615	5	13	1	0	0	1
780	0.0598	9	13	0	0	0	0
1467	0.0598	6	13	1	1	0	1
1793	0.0571	7	10	1	0	0	0
1798	0.0567	10	10	0	0	0	1
1777	0.0564	5	13	1	0	1	1
1930	0.0564	5	13	1	1	0	1
464	0.0556	12	10	0	0	1	1
596	0.0556	6	13	1	0	1	1
635	0.0556	6	15	0	0	0	0
649	0.0548	14	10	0	0	0	1
442	0.0542	8	10	1	1	0	0
1879	0.0515	11	10	1	0	0	1
641	0.051	5	17	1	0	0	0
1833	0.05	8	10	1	1	1	0
1137	0.0476	7	10	1	0	0	1
614	0.0466	13	11	0	0	0	0
224	0.0444	6	10	1	0	0	0
