parent	child
0	7176
0	7177
0	7178
0	7180
0	8211
0	8212
0	8213
0	8214
0	1711
0	5664
0	5665
0	6690
0	6691
0	7716
0	6693
0	4134
0	4135
0	5672
0	4138
0	4139
0	8236
0	8237
0	8238
0	6191
0	6192
0	6193
0	6194
0	8253
0	8254
0	8255
0	8256
0	8257
0	5473
0	6532
0	8268
0	3938
0	8270
0	8271
0	3939
0	8277
0	8278
0	8279
0	8280
0	3940
0	4699
0	4701
0	4702
0	4706
0	187
0	1128
0	1129
0	1130
0	2237
0	629
0	630
0	631
0	7800
0	633
0	7803
0	7804
0	8128
0	7813
0	2753
0	2754
0	7875
0	4889
0	2756
0	3738
0	5275
0	5276
0	3741
0	4891
0	6535
0	6854
0	1704
0	1707
0	7342
0	7343
0	7344
0	7346
0	2495
0	184
0	185
0	186
0	2235
0	3260
0	189
0	2238
0	3265
0	2242
0	2755
0	6852
0	7877
0	3270
0	6855
0	6856
0	8140
0	2764
0	7714
0	632
0	7715
0	5844
0	7713
0	5846
0	5847
0	5851
0	4324
0	4325
0	4326
0	6375
0	6376
0	6377
0	6378
0	4136
0	7878
0	8129
0	7940
0	7941
0	1410
0	6019
0	4887
0	4888
0	8068
0	4890
0	7963
0	6533
0	5073
0	6534
0	7801
0	1135
0	6536
0	7482
0	7483
0	7490
0	8004
0	8006
0	8007
0	847
0	848
0	849
0	5471
0	5472
0	3937
0	5474
0	5475
0	7012
0	7013
0	7015
0	7021
0	1406
0	1408
0	1409
0	6018
0	8067
0	6020
0	8069
0	8070
0	8071
0	1416
0	409
0	410
0	5274
0	4510
0	4511
0	4512
0	4513
0	418
0	6696
0	1969
0	1970
0	1971
0	1972
0	3509
0	3510
0	3512
0	2493
0	7615
0	2496
0	2497
0	7618
0	8131
0	7621
0	3017
0	3019
0	3020
0	4514
0	8269
0	5072
0	7633
0	5074
0	5075
0	5076
0	8130
0	8172
0	8174
0	8175
0	8176
8195	8205
8200	8206
6206	6216
8211	8218
8212	8224
8214	8216
8214	8235
8224	8227
8224	8231
8227	8232
4138	4142
8236	8243
8236	8239
8237	8242
8238	8251
6192	6199
6193	6196
8243	8246
8246	8249
8253	8263
8254	8258
8255	8264
8256	8259
8257	8262
8262	8266
8264	8267
4169	4172
8268	8276
8269	8272
8271	8274
6225	6231
4187	4195
5477	5488
5477	5484
4195	4205
6550	6581
4205	4210
4210	4223
4223	4260
4917	4923
3755	3785
2756	2760
6300	6362
7877	7880
4260	4275
6854	6858
4271	4307
4275	4308
3785	3788
3785	3790
184	188
185	200
186	192
187	190
188	194
189	195
190	197
190	198
2239	2251
2239	2252
192	196
194	206
195	204
196	203
196	207
198	201
198	212
200	208
201	220
203	217
204	214
206	213
207	210
212	232
213	234
213	229
214	225
2264	2270
217	275
6362	6372
220	233
220	259
2270	2276
2270	2340
225	294
5499	5500
2276	2309
229	238
2278	2285
234	250
4135	4150
4332	4365
238	288
2287	2328
4136	4151
4339	4346
6388	6400
6391	6398
6392	6428
7892	7898
250	280
250	266
6398	6402
4352	4357
5504	5512
6402	6426
6402	6407
259	297
2309	2341
6406	6408
6407	6420
6408	6487
4361	4372
266	273
266	307
5847	5848
273	385
273	379
4372	4384
280	285
6191	6202
6191	6198
285	347
2334	2339
6533	6543
288	318
6433	6461
2338	2353
2341	2372
4392	4396
4396	4409
4396	4494
2353	2358
307	335
4409	4446
2783	2911
6461	6475
6539	6544
4492	4506
6199	6208
335	344
335	340
340	360
6542	6554
6217	6224
344	359
4446	4461
6203	6217
359	369
360	378
4461	4492
6510	6529
6510	6526
6208	6215
4158	4169
378	382
379	395
382	397
385	390
6532	6539
6536	6542
4494	4504
6544	6550
409	413
410	417
413	438
413	423
4511	4518
4512	4515
417	420
417	428
420	436
4518	4535
423	431
428	451
431	447
6216	6225
436	473
6581	6609
2493	2506
447	468
2496	2513
2497	2508
4513	4520
4172	4176
4514	4522
5471	5486
4515	4532
468	502
473	478
4176	4187
4176	4271
502	508
6231	6260
6690	6708
6691	6695
6693	6698
6695	6728
6224	6291
6702	6706
6706	6726
4532	4536
7043	7079
6726	6833
6728	6846
4706	4709
4709	4716
4716	4724
7522	7529
3176	3207
4724	4730
629	637
631	635
631	639
632	636
632	646
4730	4735
635	649
636	651
637	644
639	643
644	666
646	665
649	652
651	688
652	710
4751	4761
666	684
4770	4773
