term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
8258	0.9455	2	817176,821051,823899,828697,829834	96	106	5	11
7970	0.8933	4	821051,823899,828697,829490,829834	89	103	5	15
2508	0.8833	2	817176,818766,821051,823899,829834	58	69	5	12
8140	0.877	1	817176,820665,821051,823899,828697,829490,829834	92	103	7	12
7026	0.8722	3	817176,821051,823899,828697,829834	81	92	5	12
1148	0.8564	2	838259,818766,821051,823899,829834	53	65	5	13
858	0.8556	2	838259,817176,818766,823899,829834	52	63	5	12
8254	0.8524	1	828697,823899,821137,821051,817176,829490,829834	96	105	7	10
3528	0.8352	3	817176,818766,820665,821051,823899,828697,829834	62	74	7	13
2760	0.8333	2	817176,818766,820665,821051,823899,829834	59	69	6	11
2497	0.8292	1	828697,818766,823899,821137,821051,817176,829490,829834	58	67	8	10
8177	0.8258	2	817176,821137,820665,821051,823899,828697,829490,829834	93	103	8	11
1421	0.8241	2	838259,818766,821051,823899,829490,829834	54	65	6	12
7951	0.8148	3	821137,821051,823899,828697,829490,829834	89	100	6	12
3288	0.8143	3	817176,818766,820665,828697,829834	61	74	5	14
7738	0.8129	3	814930,817176,818766,820665,821051,828697,829834	86	99	7	14
3940	0.8067	1	828697,818766,820665,823899,821137,843687,821051,817176,829490,829834	64	73	10	10
4532	0.8056	3	817176,818766,820665,821051,828697,829834	67	80	6	14
6543	0.7992	2	814930,817176,818766,820665,821051,823899,828697,829834	78	88	8	11
4536	0.7956	4	817176,818766,821051,828697,829834	67	81	5	15
6389	0.7937	2	814930,817176,820665,821051,823899,828697,829834	77	88	7	12
5472	0.7917	1	828697,818766,821137,843687,821051,817176,829490,829834	72	81	8	10
1135	0.7879	1	838259,814930,817176,818766,821051,821483,823899,828697,829834	53	63	9	11
7944	0.7851	2	814930,817176,818766,821137,820665,821051,823899,828697,829266,829490,829834	89	99	11	11
5851	0.7841	1	814930,817176,818766,820665,821051,823899,828697,829834	74	84	8	11
4891	0.781	1	828697,818766,820665,821137,821051,817176,829834	69	78	7	10
7016	0.7803	2	814930,817176,818766,820665,821051,823899,828697,829834	81	91	8	11
8276	0.7792	2	839449,843687,817176,821051,823899,829266,829834	97	107	7	11
208	0.7729	3	839449,817176,818766,823899,828608,829266,829834	49	61	7	13
5075	0.7667	1	814930,828697,818766,820665,823899,821051,817176,829834	70	79	8	10
200	0.7654	2	839449,843687,817176,818766,821051,823899,828608,829266,829834	49	60	9	12
