Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
5896	0.9333	7	10	1	1	1	1
5640	0.9167	6	14	0	1	1	1
5656	0.9125	5	16	1	1	1	1
5886	0.9091	6	11	1	1	1	0
5743	0.9048	7	11	1	1	1	0
5453	0.8714	7	10	1	0	0	1
4679	0.8704	6	12	1	1	0	1
5104	0.8667	5	11	1	1	1	0
5382	0.8586	6	11	1	0	1	1
1328	0.8545	5	11	1	0	0	1
3918	0.8524	7	10	1	0	0	0
1317	0.85	6	10	0	0	0	1
5619	0.8438	8	12	0	1	0	0
2717	0.8389	5	12	1	1	0	0
184	0.8333	8	10	1	0	1	0
3789	0.8303	5	11	1	0	1	1
2710	0.8232	6	11	0	0	0	1
2859	0.8182	6	11	1	1	0	1
4321	0.8182	5	11	1	1	0	1
5090	0.8111	6	10	0	1	0	1
1455	0.8111	6	10	1	0	1	1
3783	0.8111	6	10	0	0	1	1
4670	0.8106	8	11	0	1	1	0
5373	0.8083	8	10	0	1	1	0
4775	0.8	9	10	1	1	1	1
4437	0.78	10	10	1	1	0	0
5193	0.77	10	10	1	1	1	0
2850	0.7667	8	10	0	1	1	1
890	0.7667	7	10	1	0	1	1
5736	0.7524	14	10	0	1	0	1
4316	0.7481	9	10	0	0	1	1
3506	0.7455	5	11	1	1	1	1
3785	0.7444	6	10	1	0	1	1
5884	0.7424	11	10	0	1	1	1
3646	0.7389	6	10	1	0	0	0
2128	0.7242	11	10	1	0	0	1
5524	0.7222	6	10	1	1	1	1
3495	0.6967	10	10	0	1	1	1
4561	0.6909	5	11	1	0	1	1
3347	0.6909	5	11	1	0	1	1
3500	0.6889	6	10	1	0	1	1
3033	0.6833	5	12	1	1	0	0
4549	0.6619	7	10	0	0	1	1
4550	0.6611	6	10	1	0	1	1
3017	0.6429	7	10	0	0	0	0
3930	0.6414	6	11	1	0	1	1
5676	0.6364	6	11	1	1	1	1
4175	0.6333	6	10	1	0	0	0
4050	0.6273	11	10	1	0	1	1
4886	0.6212	11	10	0	1	0	0
4665	0.6208	8	10	0	1	0	0
4696	0.6154	6	13	1	0	1	1
4792	0.6147	7	11	1	0	1	1
3645	0.6083	8	10	1	1	0	0
3338	0.6074	9	10	0	1	0	0
1329	0.5974	7	11	1	0	0	1
4892	0.596	9	11	1	1	1	1
5449	0.5944	6	10	1	1	0	1
1203	0.594	6	13	1	0	0	0
5620	0.5889	5	12	1	1	0	1
5863	0.5758	6	11	0	1	1	1
4990	0.5744	13	10	1	0	1	1
1849	0.5667	8	10	0	1	0	0
1986	0.5667	9	10	1	0	1	1
2282	0.5576	5	11	1	0	1	0
3339	0.5576	5	11	1	1	1	1
5525	0.5556	6	10	1	1	1	0
1173	0.5541	7	11	0	0	0	0
3335	0.5524	7	10	0	0	0	1
1310	0.5519	9	10	0	0	0	1
5188	0.55	12	10	1	1	1	1
1576	0.5455	11	10	1	0	0	1
4551	0.5444	6	10	1	0	1	1
2418	0.5389	6	10	1	0	0	0
5901	0.5389	6	10	1	1	0	1
4556	0.5381	7	10	1	1	1	0
1855	0.5333	5	11	1	0	0	1
5616	0.5273	5	11	1	1	1	0
5873	0.5222	5	12	1	1	1	1
1586	0.5185	6	12	1	1	0	1
537	0.5167	10	10	1	0	0	1
2276	0.5167	6	10	0	1	1	0
5615	0.5152	6	11	0	1	1	0
305	0.5143	7	10	1	0	0	0
5603	0.5143	7	10	0	1	0	0
1579	0.5133	10	10	0	0	0	1
4176	0.51	10	10	1	0	0	1
3781	0.5095	7	10	1	0	1	1
1705	0.503	11	10	1	0	1	1
5672	0.5028	12	10	0	1	1	0
2853	0.5	6	10	1	0	1	1
1584	0.4886	8	11	0	0	0	1
1170	0.4867	10	10	0	0	1	1
1461	0.4727	5	11	1	0	0	1
3178	0.4545	6	11	1	0	0	1
189	0.4481	9	10	1	0	0	0
4885	0.4444	9	10	1	0	0	1
5812	0.4416	7	11	0	1	1	0
5799	0.4333	8	10	0	1	1	0
896	0.4273	11	10	0	1	1	1
914	0.4246	7	12	1	0	0	1
5461	0.4242	9	11	1	1	0	0
1315	0.4222	6	10	0	0	0	1
5275	0.419	7	10	0	0	0	1
2702	0.4167	8	10	1	1	0	0
3787	0.4152	11	10	1	1	1	1
3172	0.4148	9	10	0	1	1	1
3170	0.4133	10	10	1	0	1	1
4690	0.4127	7	12	1	0	0	1
4779	0.4103	13	10	1	1	1	1
1024	0.4083	8	10	1	0	0	1
1326	0.4061	5	11	1	0	1	1
4440	0.4037	9	10	0	0	0	1
5837	0.3974	6	13	1	1	1	0
1987	0.3949	13	10	0	0	1	1
5848	0.3926	9	10	0	1	0	0
5740	0.3917	8	10	1	1	0	0
5284	0.3838	6	11	1	1	1	0
2568	0.381	7	11	1	0	1	1
5691	0.3796	6	12	0	1	1	1
3958	0.378	8	14	1	0	0	1
5724	0.3778	5	15	1	1	1	0
4181	0.3774	11	11	1	0	1	1
4667	0.3733	10	10	0	0	0	1
5846	0.3714	7	10	1	1	0	0
4438	0.3704	9	10	0	0	0	0
5371	0.37	10	10	0	1	1	1
5725	0.3689	5	15	1	1	1	0
5871	0.3651	7	12	1	1	0	0
5329	0.3646	6	16	1	1	0	0
2457	0.363	6	15	1	0	0	1
3566	0.3627	6	17	1	0	1	1
2590	0.3605	7	14	1	1	1	0
2851	0.36	10	10	1	1	1	0
5890	0.3561	8	11	1	1	1	0
4455	0.3556	5	12	1	0	0	1
4552	0.3556	6	10	1	1	1	0
4675	0.3535	9	11	0	1	1	0
2565	0.3519	9	10	0	0	1	1
5394	0.3516	7	13	1	1	1	0
2424	0.35	8	10	1	0	0	0
3919	0.35	10	10	1	0	0	0
2278	0.3485	11	10	1	0	1	1
4553	0.3481	9	10	0	1	1	1
4676	0.3468	9	11	1	1	1	1
3493	0.3467	10	10	0	1	1	0
5857	0.3447	8	11	0	1	0	1
3702	0.3423	7	16	1	0	0	1
5088	0.34	10	10	1	0	0	0
2860	0.3371	8	11	0	0	1	0
5880	0.337	9	10	0	1	1	0
3365	0.3365	8	13	1	0	1	1
3355	0.3364	9	12	0	0	0	0
3947	0.3359	10	13	0	1	1	0
4442	0.3333	8	11	1	0	1	1
766	0.3333	11	10	0	0	0	1
3014	0.3333	9	10	1	0	0	0
2002	0.3302	9	12	1	0	1	1
3643	0.3273	11	10	0	0	0	1
4187	0.3251	11	11	1	1	1	1
4569	0.3229	8	12	1	0	1	1
796	0.3179	5	13	1	0	1	1
2580	0.3173	8	13	0	0	1	1
3502	0.3144	8	11	0	0	0	1
4778	0.3133	10	10	1	1	1	0
2445	0.3129	7	14	0	0	0	1
2703	0.31	10	10	1	0	0	1
3551	0.3095	7	16	0	1	1	0
5089	0.3091	11	10	1	0	0	1
