term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
5813	0.9444	3	AT2G26360,AT2G41680,AT3G17830,AT3G47450,AT4G36810	95	106	5	12
5796	0.9192	2	AT2G26360,AT2G41680,AT3G17830,AT3G47450,AT4G25910,AT4G36810	95	105	6	11
5860	0.9111	1	AT2G04030,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G36810	97	106	6	10
767	0.9	1	AT4G25910,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G36810	55	64	6	10
5788	0.9	1	AT4G25910,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G36810	95	104	7	10
5644	0.899	1	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G33520,AT4G36810	92	102	6	11
777	0.8848	2	AT2G41680,AT3G17830,AT3G47450,AT4G25910,AT4G36810	55	65	5	11
5695	0.881	1	AT4G25910,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G36810	93	102	7	10
1269	0.8788	1	AT2G26360,AT2G41680,AT3G17830,AT3G47450,AT4G25910,AT4G36810	58	68	6	11
5487	0.8778	1	AT4G25910,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G36810	90	99	6	10
1096	0.8722	2	AT2G26360,AT2G41680,AT3G17830,AT4G25910,AT4G36810	57	68	5	12
4395	0.8619	1	AT4G25910,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G36810	79	88	7	10
2278	0.8611	3	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G36810	64	75	5	12
2575	0.8606	2	AT2G26360,AT3G14420,AT3G17830,AT4G25910,AT4G36810	66	76	5	11
2970	0.8535	2	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G33520,AT4G36810	69	79	6	11
2564	0.85	1	AT4G25910,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	66	75	6	10
2274	0.8434	2	AT2G26360,AT2G41680,AT3G17830,AT3G47450,AT4G25910,AT4G36810	64	74	6	11
2129	0.8389	3	AT2G26360,AT2G41680,AT3G17830,AT4G25910,AT4G36810	63	74	5	12
1444	0.8381	1	AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	59	68	7	10
4172	0.8333	1	AT2G26360,AT3G14420,AT3G17830,AT3G47450,AT4G25910,AT4G36810	77	89	6	13
1083	0.8333	1	AT4G25910,AT2G41680,AT3G01480,AT3G17830,AT2G26360,AT4G33520,AT4G36810	57	66	7	10
3545	0.8333	2	AT2G26360,AT3G14420,AT3G17830,AT4G25910,AT4G36810	73	84	5	12
2115	0.8292	1	AT4G25910,AT2G41680,AT3G14420,AT3G01480,AT3G17830,AT2G26360,AT4G33520,AT4G36810	63	72	8	10
2264	0.8286	1	AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	64	73	7	10
3697	0.8278	1	AT4G25910,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	74	83	6	10
5251	0.8268	1	AT2G26360,AT3G01480,AT3G17830,AT3G47450,AT4G25910,AT4G33520,AT4G36810	87	97	7	11
2118	0.8232	2	AT2G26360,AT2G41680,AT3G14420,AT3G17830,AT4G25910,AT4G36810	63	73	6	11
4854	0.7958	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	83	92	8	10
2963	0.7926	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G36810	69	78	9	10
4526	0.7875	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	80	89	8	10
