term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
5813	0.9444	3	817176,818766,821051,823899,829834	95	106	5	12
5796	0.9192	2	817176,818766,821051,823899,828697,829834	95	105	6	11
5860	0.9111	1	814930,818766,823899,821051,817176,829834	97	106	6	10
767	0.9	1	828697,818766,823899,821051,817176,829834	55	64	6	10
5788	0.9	1	828697,818766,823899,821051,817176,829490,829834	95	104	7	10
5644	0.899	1	817176,821051,823899,828697,829490,829834	92	102	6	11
777	0.8848	2	818766,821051,823899,828697,829834	55	65	5	11
5695	0.881	1	828697,818766,823899,821051,817176,829490,829834	93	102	7	10
1269	0.8788	1	817176,818766,821051,823899,828697,829834	58	68	6	11
5487	0.8778	1	828697,818766,823899,821051,817176,829834	90	99	6	10
1096	0.8722	2	817176,818766,821051,828697,829834	57	68	5	12
4395	0.8619	1	828697,820665,823899,821051,817176,829490,829834	79	88	7	10
2278	0.8611	3	817176,821051,823899,828697,829834	64	75	5	12
2575	0.8606	2	817176,820665,821051,828697,829834	66	76	5	11
2970	0.8535	2	817176,821051,823899,828697,829490,829834	69	79	6	11
2564	0.85	1	828697,820665,823899,821051,817176,829834	66	75	6	10
2274	0.8434	2	817176,818766,821051,823899,828697,829834	64	74	6	11
2129	0.8389	3	817176,818766,821051,828697,829834	63	74	5	12
1444	0.8381	1	828697,818766,820665,823899,821051,817176,829834	59	68	7	10
4172	0.8333	1	817176,820665,821051,823899,828697,829834	77	89	6	13
1083	0.8333	1	828697,818766,821137,821051,817176,829490,829834	57	66	7	10
3545	0.8333	2	817176,820665,821051,828697,829834	73	84	5	12
2115	0.8292	1	828697,818766,820665,821137,821051,817176,829490,829834	63	72	8	10
2264	0.8286	1	828697,818766,820665,823899,821051,817176,829834	64	73	7	10
3697	0.8278	1	828697,820665,823899,821051,817176,829834	74	83	6	10
5251	0.8268	1	817176,821137,821051,823899,828697,829490,829834	87	97	7	11
2118	0.8232	2	817176,818766,820665,821051,828697,829834	63	73	6	11
4854	0.7958	1	814930,828697,818766,820665,823899,821051,817176,829834	83	92	8	10
2963	0.7926	1	814930,828697,818766,820665,823899,821051,817176,829490,829834	69	78	9	10
4526	0.7875	1	814930,828697,818766,820665,823899,821051,817176,829834	80	89	8	10
3859	0.7619	1	814930,828697,818766,820665,821051,817176,829834	75	84	7	10
5327	0.7378	1	814930,828697,828608,818766,820665,823899,821137,843687,839449,821051,817176,823814,829490,829266,829834	88	97	15	10
5557	0.7222	1	828697,818766,821137,843687,817176,829490	91	100	6	10
4646	0.7167	1	828608,821137,843687,839449,829490,829266	81	90	6	10
912	0.7111	1	828697,828608,818766,823899,821051,840144,823814,829834,838259	56	65	9	10
4146	0.697	2	839449,843687,823814,828608,829266	77	87	5	11
4956	0.6667	2	839449,843687,823814,828608,829266	84	94	5	11
1793	0.6487	1	814930,828608,818766,821137,843687,839449,840144,817196,817176,823814,829490,829266,838259	61	70	13	10
185	0.6485	1	828608,818766,823899,843687,839449,821051,840144,823814,829266,829834,838259	49	58	11	10
4140	0.6467	1	814930,828608,818766,821137,843687,839449,840144,817196,823814,829266	77	86	10	10
5334	0.6465	2	839449,843687,821137,828608,829266,829490	88	98	6	11
3533	0.6458	1	828608,843687,839449,824770,817196,823814,844245,829266	73	82	8	10
3535	0.6407	2	839449,844245,817196,823814,824770,828608,829266	73	83	7	11
2569	0.6389	1	814930,828608,818766,843687,839449,829266	66	75	6	10
5049	0.6296	1	814930,818766,820665,823899,834232,821483,817176,844378,829438	85	94	9	10
4005	0.6278	1	828608,824770,817196,823814,843491,829266	76	85	6	10
2415	0.619	1	828608,843687,839449,824770,823814,844245,829266	65	74	7	10
4273	0.6167	1	828608,843687,839449,824770,823814,841033,844245,829266	78	87	8	10
3863	0.6048	1	821137,843687,839449,824770,841033,844245,829266	75	84	7	10
5055	0.6	1	828608,843687,839449,840144,817196,823814,835320,829266	85	94	8	10
4946	0.6	1	828608,843687,839449,824770,823814,841033,843491,844245,829266	84	93	9	10
5857	0.5889	1	828608,821137,843687,839449,829490,829266	97	106	6	10
3234	0.5872	1	828608,830593,821137,843687,839449,824770,842830,823814,829490,841033,843491,844245,829266	71	80	13	10
3707	0.5818	2	839449,841033,844245,824770,829266	74	84	5	11
5061	0.5801	2	839449,840144,843687,817196,823814,828608,835320	85	95	7	11
1802	0.5801	2	839449,838259,840144,817196,823814,828608,829266	61	71	7	11
4272	0.58	1	828697,820665,823899,821051,817176,841467,843827,816692,843110,829834	78	87	10	10
3691	0.5778	1	828608,839449,824770,817196,823814,841033,843491,844245,829266	74	83	9	10
4396	0.5762	1	828608,824770,840144,817196,823814,835320,844245	79	88	7	10
3089	0.5758	2	838259,814930,818766,820665,821483	70	80	5	11
1089	0.5758	2	838259,843687,823814,828608,829266	57	67	5	11
