term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
101377	0.30476	1	AT2G18790,AT1G03160,AT2G29180,AT1G80380,AT4G33010,AT5G42270,AT1G14345	73	82	7	10
160994	0.26263	2	AT3G08920,AT2G18790,AT2G29180,AT1G80380,AT1G16880,AT4G33010	97	107	6	11
82160	0.2619	1	AT1G03160,AT1G80380,AT5G42270,AT1G14345,AT4G33010,AT2G18790,AT2G29180	69	78	7	10
161514	0.26111	1	AT2G18790,AT3G08920,AT1G80380,AT1G16880,AT4G33010,AT2G29180	98	107	6	10
60614	0.23737	1	AT1G03160,AT1G14345,AT1G80380,AT2G18790,AT2G29180,AT4G33010	65	75	6	11
160874	0.22778	1	AT2G18790,AT3G08920,AT1G80380,AT5G42270,AT2G29180,AT4G33010	97	106	6	10
4740	0.21905	1	AT3G56040,AT5G08540,AT1G71500,AT1G79040,AT2G26550,AT1G44575,AT1G65230	52	61	7	10
92378	0.21905	1	AT1G03160,AT2G30695,AT1G67700,AT1G80380,AT4G33010,AT5G42270,AT1G14345	71	80	7	10
65679	0.2125	1	AT2G18790,AT1G03160,AT1G67700,AT1G80380,AT4G33010,AT1G14345,AT5G42270,AT2G29180	66	75	8	10
158835	0.18571	1	AT2G29500,AT1G14345,AT1G80380,AT2G18790,AT2G29180,AT4G33010,AT5G42270	95	104	7	10
65678	0.18	1	AT1G03160,AT1G14345,AT3G08920,AT2G30695,AT2G37660,AT2G18790,AT1G67700,AT1G80380,AT5G42270,AT4G33010	66	75	10	10
82158	0.17143	1	AT1G03160,AT3G08920,AT2G30695,AT2G37660,AT1G67700,AT1G80380,AT5G42270	69	78	7	10
158834	0.16111	1	AT2G29500,AT1G14345,AT1G80380,AT2G18790,AT2G29180,AT3G08920	95	104	6	10
4759	0.16017	2	AT1G72640,AT2G20260,AT2G29180,AT3G08920,AT3G14420,AT4G27700,AT4G33010	52	62	7	11
158837	0.15714	1	AT2G29500,AT1G14345,AT1G03160,AT1G16880,AT5G42270,AT2G18790,AT2G29180	95	104	7	10
160873	0.15185	1	AT2G18790,AT3G08920,AT1G80380,AT5G42270,AT2G29180,AT1G16880,AT2G20260,AT1G03160,AT1G14345	97	106	9	10
7812	0.15079	2	AT3G14420,AT3G08920,AT4G27700,AT1G67700,AT2G29180,AT1G80380,AT4G37925	53	64	7	12
7776	0.14444	1	AT4G33010,AT3G14420,AT2G20260,AT4G27700,AT3G08920,AT1G72640,AT4G37925,AT1G80380,AT2G29180	53	62	9	10
119858	0.14236	1	AT1G50450,AT1G67840,AT1G74880,AT2G21530,AT4G19830,AT4G38100	78	93	6	16
55974	0.13889	2	AT1G03160,AT1G14345,AT1G67700,AT1G80380,AT2G30695,AT2G37660,AT3G08920,AT5G42270	64	75	8	12
56256	0.13675	3	AT1G03160,AT1G14345,AT1G67700,AT1G80380,AT2G30695,AT5G42270	64	76	6	13
82298	0.12727	2	AT1G03160,AT1G67700,AT2G30695,AT2G37660,AT3G08920	69	79	5	11
158836	0.12593	1	AT2G29500,AT1G14345,AT1G03160,AT1G16880,AT2G20260,AT1G02560,AT2G18790,AT3G08920,AT2G29180	95	104	9	10
13791	0.12	1	AT4G27700,AT3G14420,AT2G20260,AT1G03160,AT3G08920,AT1G67700,AT4G37925,AT1G80380,AT1G14345,AT2G29180	55	64	10	10
50925	0.11722	1	AT1G03160,AT1G14345,AT1G67700,AT1G80380,AT2G30695,AT2G37660,AT3G08920	63	75	7	13
65736	0.11667	1	AT1G14345,AT1G02560,AT1G03160,AT5G42270,AT2G30695,AT3G08920,AT1G67700,AT2G37660,AT1G03090,AT1G80380	66	75	10	10
65939	0.11616	2	AT1G03090,AT1G03160,AT1G67700,AT2G30695,AT2G37660,AT5G42270	66	76	6	11
160878	0.1125	1	AT1G03160,AT2G20260,AT1G14345,AT1G16880,AT2G29500,AT2G29180,AT3G08920,AT5G42270	97	106	8	10
45346	0.11111	1	AT1G67840,AT1G65260,AT1G74880,AT1G50450,AT2G21530,AT4G38100	62	71	6	10
3193	0.11111	3	AT1G72640,AT2G20260,AT3G08920,AT3G14420,AT4G33010	51	62	5	12
51207	0.10952	2	AT1G03160,AT1G14345,AT1G67700,AT1G80380,AT2G30695	63	76	5	14
161005	0.10823	2	AT1G03160,AT1G14345,AT1G16880,AT1G80380,AT2G20260,AT3G08920,AT5G42270	97	107	7	11
37209	0.10588	4	AT1G03160,AT1G67700,AT2G30695,AT2G37660,AT5G42270	60	76	5	17
37210	0.10588	5	AT1G03160,AT1G14345,AT1G67700,AT2G30695,AT5G42270	60	76	5	17
61050	0.10556	2	AT1G03090,AT1G67700,AT2G30695,AT2G37660,AT5G42270	65	76	5	12
140059	0.10101	2	AT1G02560,AT1G03160,AT1G16880,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G44990,AT3G08920	85	95	9	11
73006	0.09868	4	AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT4G27700,AT5G59250	67	85	8	19
101483	0.09764	1	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT5G53170,AT5G59250	73	83	9	11
119583	0.09722	4	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT4G16155,AT4G27700,AT5G53170,AT5G59250	78	91	12	14
26328	0.09524	2	AT1G67700,AT3G01440,AT3G08920,AT4G27700,AT4G37925	58	71	5	14
153556	0.09375	2	AT1G03160,AT1G16880,AT1G67700,AT2G20260,AT2G29500,AT3G08920	91	106	6	16
156944	0.09259	3	AT1G02560,AT1G03160,AT1G14345,AT1G16880,AT2G20260,AT3G08920	93	107	6	15
137231	0.09259	1	AT1G67840,AT1G21750,AT1G50450,AT4G19830,AT1G65260,AT1G74880,AT2G01140,AT2G21530,AT4G38100	84	93	9	10
