parent	child
73399	73621
73398	73621
73462	73941
73462	73955
132643	132762
132643	132775
61177	62883
117788	118010
135030	135200
98318	99785
113998	114541
113998	114049
270	287
275	320
95794	99074
95794	98784
95791	95973
95791	95981
150600	150649
150600	150690
134611	134825
113319	113968
44792	45024
44792	44908
113316	113924
113316	113933
116123	116439
62884	63223
62881	63213
62880	63269
62880	63152
62883	63220
122337	122543
122337	122908
122337	122530
122337	122519
122337	122521
122337	122913
122337	122905
62888	63224
76622	77314
76623	79143
76626	76951
13054	14132
91061	91408
122388	122913
122388	122908
122388	123193
122388	123194
122386	122913
122386	123194
122386	123193
122386	122908
122386	122530
87105	87767
87107	87762
83619	83722
133527	133600
22959	23307
27610	27789
27610	27782
161618	161892
123382	123509
123382	123646
161610	161682
12833	13049
12833	12903
12833	12873
12833	12871
12833	13183
12832	13049
12832	12873
12832	12879
12832	12871
12832	13183
12834	12875
12834	12863
12834	12871
12834	12867
12834	12879
12834	13049
12834	13183
12834	13162
12839	12875
12839	13154
12839	13158
12839	12863
12839	13162
95941	96198
95941	96184
92269	92929
150381	150464
84900	85135
84900	85129
84900	85140
84902	85201
84902	85619
84902	85206
84903	85604
84903	85202
84903	85204
84903	85199
84903	85619
84903	90210
4737	4824
4737	4984
92085	92839
92085	94917
92085	92822
141330	141522
31908	32608
31908	35130
31908	35124
31908	34663
31908	32921
31909	32608
31909	35130
31909	35124
31909	34663
31909	32921
4725	4780
31905	32608
31905	35130
31905	35124
31905	34663
31905	32921
4720	4779
31903	32119
31903	32008
31903	32125
31903	31994
3749	3780
98105	98321
98105	99289
98107	98732
4621	4638
4622	4968
90812	91109
90812	91062
90816	91059
90815	91061
90815	91108
51103	51249
20885	21971
25542	25878
146319	146435
146318	146433
113148	117732
113148	113961
113144	113983
113144	113905
113144	113843
113144	113862
113144	115063
113144	113462
113144	113882
113144	113536
113144	113654
113144	114957
113144	113469
113144	113481
113144	113652
113144	113482
113144	113577
113144	113895
113144	115372
113144	113690
113144	113889
113144	113877
113144	113878
113144	116036
113144	113516
113144	113474
113144	113520
113144	113885
113144	115064
113144	113886
113144	113496
113144	113888
113144	113479
113145	113438
113145	113330
113145	113437
146311	146426
113147	113209
113147	113961
113147	113749
113147	113998
146317	146436
113141	113433
113141	113428
113141	113426
113141	113437
113142	113433
113142	113437
113142	113438
135203	135284
46301	46730
46305	46734
46307	47270
133754	133854
133754	133844
15871	16003
15871	15984
15871	15982
15871	15989
24142	25545
130998	131101
147995	148946
115019	115357
115019	115480
115010	115231
115011	115497
115011	115361
30620	30947
115015	115374
115015	115336
165016	165206
165016	165162
164999	165044
164998	165181
164998	165029
28429	28716
28429	28720
697	1024
697	1208
695	1015
695	1020
28425	28717
28425	28721
698	1015
699	771
699	773
13840	13980
13840	14063
115276	115440
136320	136401
136322	136366
113577	113989
151977	152165
151975	152161
253	317
253	275
250	270
98593	98744
98593	98767
98590	98733
98591	98734
19321	19558
152997	153900
150620	150653
150620	150644
40009	40747
146309	146933
146309	146938
101663	101673
101663	101674
101663	101748
3682	3735
3681	3753
85679	85864
85679	86091
85679	86217
85679	86027
152199	152344
152668	152761
135412	135563
74686	76068
85670	86105
85670	86223
85670	86217
85670	86036
152661	152757
152194	152289
152667	152758
152667	152777
135419	135578
135419	135572
147859	147934
147859	147933
147850	147894
147857	147934
134093	134496
116103	116287
116101	116288
87291	87451
87290	90179
87290	87460
87290	87474
148610	148950
113889	115023
146105	146302
146102	146297
146102	146310
158478	159107
48059	48272
48059	48287
48059	48526
48059	48289
129431	129770
129432	129862
129432	129772
129436	129772
115480	115996
113312	113695
132492	132643
97916	98332
97916	98311
97916	98333
161638	161898
147874	147919
50476	50744
95963	96083
95963	96027
92530	92714
32008	32310
32008	32313
155462	155609
86241	86355
86245	86360
4745	5133
4745	5930
16001	16326
16001	16301
16001	16300
96433	96746
96434	96746
96746	97579
96746	97628
96746	97595
141862	142802
141862	142772
141863	142028
141867	142772
85440	85679
85440	85753
49154	49644
48784	49698
48784	49401
49156	49696
58212	58311
26837	26958
68637	68969
138304	138391
92839	93646
92839	93086
108470	109656
54032	54204
54032	54199
54032	54201
79723	80505
28402	29000
28402	28798
28402	28695
28406	29002
28404	29002
28404	28694
115079	115258
165132	165174
115985	116101
150820	150942
92182	92230
55788	56058
6750	7047
98609	98775
125870	125932
19047	19244
19244	20354
42788	42910
42780	42911
42780	42909
236	263
236	268
64638	65961
64638	64881
140870	141067
125660	125709
125661	125689
125663	125691
150649	150906
150649	150904
150649	150911
150649	151404
150643	150809
150643	150796
150646	150800
150644	150800
162368	162430
99959	100091
22830	23222
22830	23201
22830	23196
22830	23199
22830	23211
22832	23426
22832	23416
22832	23427
22832	23174
22835	23222
22835	23425
22835	23418
22835	23218
22836	23218
22836	23222
22836	23425
22836	23427
22836	23418
22837	23201
22837	23211
22837	23218
22837	23199
22837	23222
22837	23196
22837	23418
53955	54272
53955	54288
53955	54816
54201	54543
80444	80914
80444	81144
125440	125604
146430	146942
146435	146745
48074	48095
48071	48287
29721	30038
39632	39904
39633	39899
39633	39903
129140	130063
67140	67806
1132	1179
23501	23663
78118	78369
78118	78365
78119	78230
78116	78232
78116	78385
8501	8688
12875	12985
12875	13045
8502	8687
7498	8404
7494	7643
114154	114629
114154	114632
114150	114908
4766	4922
4766	5202
4766	4952
4766	4963
4766	7121
4769	4922
4769	5568
4769	4838
4769	4853
4769	4858
4769	5030
4769	4952
4769	5202
4769	4848
4769	5930
4769	5137
4769	4843
4769	5133
4769	5131
4769	5130
77062	77380
124891	125502
124891	125440
124096	124266
94349	94652
94349	94638
94349	94917
116375	116928
94344	94910
94344	94469
94344	94917
124099	124380
116372	117775
110237	111117
7366	7410
42373	42565
42373	42579
42373	42568
42373	42574
140466	141060
140466	140870
140466	141089
42376	42579
42376	44750
42376	42538
42378	42579
42378	44750
42378	42538
52142	52614
113271	113602
141731	141895
141737	142726
7454	7498
7452	7498
7452	7494
157207	157719
157207	158056
157209	158312
95949	96215
95949	96677
95949	96480
27452	27730
27452	27608
67555	68047
67555	68332
115058	117598
115058	117606
115058	115983
115056	115983
115053	115502
114897	114990
132519	132856
132519	132688
132519	132984
132514	132633
132510	132639
147775	147857
103036	103332
103036	103303
103036	103216
23222	23424
23223	23592
23224	26206
23224	26218
23224	24769
23224	23595
23224	26220
136366	136550
150800	150930
30952	31261
73621	73998
74078	74436
74078	74407
74073	74402
74073	74853
74073	74427
123860	124077
73955	77062
73955	76816
73956	74888
117544	117718
217	245
215	236
211	236
22171	22404
22171	22390
100075	101567
158321	158391
46734	47275
46730	47205
46730	47273
46730	47124
162300	162344
90447	90847
162306	162351
162307	162352
162304	162349
99978	100075
43101	43659
43101	43664
99977	100087
99977	100653
99977	100081
97535	98753
97535	98749
97535	98766
116146	116285
116149	116272
152400	152491
152400	152504
125604	125660
911	948
113516	113987
912	947
912	942
58903	59572
58903	59412
58903	59400
58906	59572
58906	59640
99289	99955
146145	146489
146145	146369
146145	146501
146145	146373
125932	126095
80467	81131
85104	85522
85104	85398
132989	133140
27592	28718
48014	48124
48015	48128
48015	48124
107480	108401
107481	108427
29702	29721
54221	54819
37886	38230
37886	38228
37886	38229
131634	132447
76245	76918
133854	134009
133854	134102
133854	134001
133854	134005
133854	134025
133854	134100
133854	134482
133854	133976
133856	134009
77723	78454
1112	1132
86223	86319
86223	86346
146373	146568
38228	38930
38228	38718
38228	38715
38229	38930
38229	38715
95876	96759
95876	96677
73547	73956
31907	32608
31907	35130
31907	35124
31907	34663
31907	32921
73543	73924
95871	96480
95871	96215
95871	96498
95871	96677
95871	96699
114171	114628
114171	114629
114171	114625
114174	114452
114174	114460
114174	114914
4783	4922
4783	5202
4783	4952
4783	4963
4783	7121
4780	4922
4780	4838
4780	4853
4780	4858
4780	5030
4780	5202
4780	4848
4780	5930
4780	4843
4780	5133
4780	5130
148012	148148
32938	33288
32938	33089
150329	150375
150329	150378
124079	124096
124079	124269
64773	67025
110252	111089
74792	75217
150499	150616
61298	62470
61298	62123
61295	62880
61295	62450
199	245
199	240
196	255
190	203
190	215
190	211
193	205
192	217
192	199
42358	42510
42358	45143
42358	42550
42358	42528
42357	42942
42353	42747
42352	42510
12791	13925
12791	13054
12791	13002
98163	98303
162535	162669
162535	163141
117536	117713
122913	123185
122911	122986
105307	105536
113708	113979
113708	113916
63290	63409
63290	63450
854	923
854	927
855	911
147970	148207
134468	134824
134468	135091
26873	26954
62162	62877
132538	132873
132530	133284
111282	111406
23208	23415
5725	6064
493	542
493	549
493	544
113544	113769
32092	32317
32097	35496
32097	32313
32097	33693
158303	158389
133414	133601
81131	81933
81136	81936
100092	100315
100092	101461
100093	101463
1665	1686
1663	1683
153886	153919
146312	146429
146310	146940
5030	5146
153085	153611
972	1018
972	1309
972	1312
90390	90763
90390	90533
90393	92046
90393	90705
152429	152509
152429	152508
19284	19494
19284	19480
76811	78119
109126	109818
125483	125670
60845	61555
161562	161707
161562	162348
129108	129430
15177	15333
113935	114082
113935	114416
113935	114828
113935	115015
113937	114081
113937	114150
113937	114163
113937	114148
113932	114081
113938	114167
113938	114171
113938	114154
113938	114148
113938	114142
1686	1702
115576	116553
115576	115722
76065	76248
76065	77039
13929	14137
13925	14139
13925	14134
160775	160994
108352	109884
31986	32940
95858	96677
13693	13831
95854	98318
95854	99308
95854	99800
95854	100654
95855	96248
95855	96235
95857	96749
95857	96339
95857	96759
95857	96477
95857	101601
95857	96319
95857	96433
95850	96248
19070	19486
19070	19115
19070	19476
19070	19136
19070	19552
19070	19488
27789	27993
27789	28299
141254	141863
124052	124161
124052	124149
124053	124106
23413	23591
23418	23594
76914	77023
76913	77013
163876	163880
76918	77017
76919	77036
135280	135309
135287	135317
135284	135324
93862	95578
112949	113066
61948	62899
61941	62891
159107	159220
125549	125686
49718	50396
49712	50438
49710	50436
116266	116367
116264	116375
116262	116360
116263	116372
116261	116927
877	1053
877	1312
877	987
877	1370
877	1009
158472	158590
4848	4893
4848	4890
4848	5030
4848	5130
4843	4893
4843	4890
4843	5030
4843	5130
5202	5352
164914	164977
164910	164971
164913	164976
11199	11676
122530	122911
62146	62468
27413	28247
27412	28247
45927	46629
45927	46332
27416	28247
67046	68362
8683	9028
87459	88636
87457	88156
87451	88626
30623	30952
110861	111115
117721	117750
115986	116103
111406	111676
111406	111659
111406	112949
111404	113121
115983	116149
115980	116146
61555	61910
61551	61948
114587	114954
86320	87441
86320	87012
86320	86769
5786	5931
165087	165194
90409	90679
90402	90552
114632	114897
114632	114919
107195	107364
19228	19785
19228	19548
97579	97916
97579	97879
97579	98302
97578	97887
97573	97880
97573	97851
148346	148610
124551	125483
64254	64429
85140	85685
85140	85400
139997	140186
135490	135747
45024	45195
115378	115540
42744	43016
42744	43018
107196	107423
107194	107364
113911	114694
113911	114677
132941	133217
132941	133219
132940	133216
132940	133212
1661	1680
1661	1673
596	697
599	713
599	695
162856	163105
76062	76251
76062	76914
76060	76919
76060	76245
76061	76811
76061	76246
76068	77994
76068	76254
76069	78116
76069	78017
76286	77075
76287	76447
28427	28723
28427	28719
73501	74692
73501	73653
132763	132939
132762	132965
132762	132952
132762	132958
23432	23556
23432	23552
23430	23556
74759	75222
74756	75205
92822	93638
92822	93076
92822	94917
92829	93652
93085	94232
93087	93286
135413	135594
125789	126057
16449	17200
16449	17068
65421	66046
65421	65884
75484	77072
162286	162329
152761	152985
138161	138814
116247	116364
90211	90325
90212	90342
164932	164965
19239	19550
60610	61295
60610	61298
62772	63144
138387	138481
113749	113996
113749	113993
91103	91315
91103	91343
94466	94679
94466	95672
122515	122834
67065	68358
67060	67555
146223	146317
146222	146312
146222	146308
103050	103303
79672	80467
455	603
92108	92530
92450	92619
131000	131097
131003	131101
50131	50534
107220	107463
28957	29691
43702	47322
73248	73314
35411	35500
35411	35468
73241	73751
73242	73753
93415	94210
94191	94290
64264	66929
49037	50669
13153	13307
101812	102184
10122	10284
113683	113988
113683	113936
152398	153941
152398	153892
152399	152490
152399	152486
152399	152510
152399	152513
37021	37886
49692	50434
49692	49710
49696	49718
49695	49718
49694	50437
49694	49712
49694	49750
80912	81150
80912	81116
80917	81136
113974	115733
113976	114694
113976	114677
132965	133218
132965	133336
164890	164957
164891	164896
133217	133325
577	760
133219	133800
24210	25117
24210	25543
3368	3575
3364	3586
91317	91843
91317	92614
91317	92450
91317	92170
156870	156905
132743	132941
93646	94917
74774	75351
140177	140212
163834	163880
23983	24092
76951	79144
115828	116032
73528	73648
73528	76062
73528	73631
73528	73702
73528	73713
73528	73694
358	415
358	401
358	408
113699	113988
113699	113928
42440	42788
69548	71034
153968	154055
153968	154037
153611	153811
152569	153892
152568	153941
152568	153892
4633	4654
4633	4649
152289	152345
138386	139113
138386	138479
46253	46745
46251	46730
125502	125663
42911	43702
42910	43281
158433	158484
134198	135097
134199	135310
134199	135313
62452	62856
62450	62863
113765	114265
113763	114524
113763	114932
113763	115080
122287	122321
122287	122323
122287	124079
122281	124079
122280	122314
122280	122310
122289	122374
87008	88642
163608	163876
68963	69039
70927	73107
70927	73220
70926	73213
29002	31377
29002	29356
29002	29164
78071	78224
108497	109846
108497	109518
44828	45063
91108	91408
94469	95704
159705	159738
114818	115047
114818	115008
150621	150734
150621	150644
151420	151572
3198	3368
3198	3364
3198	3574
3198	3299
3198	3294
86360	86964
86367	87144
19159	19487
19159	19321
19159	19554
3994	4040
73265	73399
94201	94307
94206	94317
94208	94313
114677	115011
114676	115053
51609	51721
101649	102070
69378	69497
69378	69531
69379	69503
25119	25538
130083	130513
152959	153095
80206	80544
80206	80557
135109	135318
135417	135559
163297	163343
63447	64151
137888	138022
137883	138021
137883	138280
137883	138030
100091	100323
163298	163740
142027	142203
37002	38031
37000	37072
138286	138386
138280	138387
138280	138390
141053	141094
62863	63289
113954	114458
113954	114174
113954	114150
113954	114148
85675	86245
113958	114179
3207	3364
3207	3574
3207	3368
45065	45138
558	617
38952	39626
5455	5528
5455	5525
5455	5527
5457	5533
115336	115475
5533	5728
5535	5729
28695	28800
83722	83814
161107	161211
161106	161225
73894	74073
7698	7801
7698	7804
98766	99107
7526	7553
7526	7564
7526	7701
7526	7551
7526	7789
7527	7564
7527	7563
7527	7560
7527	7701
7527	7789
7527	7553
7527	7551
7528	7701
7528	7563
7528	7560
7528	7789
7529	7586
375	1118
375	513
375	455
375	603
376	512
32317	32442
74823	74960
74823	75344
74823	74973
88636	89471
88636	88845
12710	12875
12710	13183
12710	12879
12710	12833
12710	12832
12710	12834
12710	12839
12710	13049
12710	13162
12710	12863
12710	12867
12710	12824
12710	12843
12710	12820
12710	13154
12710	13185
12710	13193
12710	13158
12710	13251
88630	89471
142809	143276
55227	57383
60836	61539
60836	61555
60836	61551
26490	26821
26490	26819
26490	26796
26491	26740
69566	70240
124924	125711
26143	26163
96016	96742
96016	96434
158418	158596
158417	158597
158417	158593
158416	158597
4824	5786
4824	4984
101447	101608
125743	126092
125743	125867
125743	125789
125743	125870
125742	125867
125742	125870
125749	127035
125748	126092
125748	125789
27993	28291
13193	13693
13193	13824
13192	13693
13192	13824
13195	13693
13195	13824
85510	85665
85510	85632
85513	85666
85513	85633
34949	35411
34949	35402
34948	35399
34948	35400
95766	95937
95767	95893
95765	95886
95762	95924
95762	95911
95762	95935
95761	95922
95761	95934
95768	95939
95769	96011
95769	95854
95769	96021
133325	133760
115475	115995
79632	83975
146916	147883
146916	147267
123608	124052
159762	159803
159766	159949
159766	159944
159767	159937
151402	152166
151401	152199
151400	151572
151407	151975
151405	151987
151405	151982
151405	152336
151404	151574
415	1054
415	559
410	559
410	506
410	493
410	507
410	485
410	505
410	501
86345	87283
86346	87290
86347	87140
132461	132524
165024	165164
165024	165160
96319	96696
165022	165155
165022	165158
116439	117537
63973	65995
116921	117544
116921	117477
73282	75468
73282	74734
114694	115019
114696	114856
114690	115052
163972	164125
19286	19477
101634	107132
101634	107088
101632	107132
101632	101821
101632	107088
101632	101911
101632	101812
61531	65891
127035	127229
61539	61896
74107	74701
74105	74852
74104	74860
74103	79139
118009	118460
118009	118466
118004	118243
74109	74758
135162	135298
82889	83008
39904	40012
39903	40748
80481	81169
97599	98759
97599	98762
97599	98473
97599	99309
97599	100087
97599	97772
97599	99809
97599	100653
97599	100654
97599	99977
97598	97862
97593	97908
97593	97872
97595	97890
107463	108505
107463	108476
107463	108507
23425	23592
159954	160018
113426	113757
164501	164606
3222	3364
3222	3574
3222	3368
5479	5531
115317	116052
115317	115991
114997	115230
79282	80353
79282	79947
79281	79702
79281	79739
79281	79694
79280	79939
79280	79715
79280	79949
79284	80570
79284	79960
536	599
536	632
532	698
129091	129432
129091	129435
129090	129440
136001	136174
136001	136103
109884	110237
109884	110222
97862	98107
97862	98342
99107	99810
73876	74903
73876	74888
98982	99820
98982	99127
160999	161030
23498	23660
74731	75269
74731	76289
23497	23664
74734	75493
115008	115228
19348	19491
19348	19493
74840	75332
74840	74975
74840	74960
74840	75090
12731	12804
12731	12791
12731	12847
12733	12804
12733	12791
12733	12847
69503	70137
69503	70536
150741	150820
84847	84979
75468	76287
158596	159208
158593	159208
158590	159684
75464	76274
43024	44558
125720	125852
125720	125749
101463	101591
101466	101582
122715	123089
146064	146102
146068	146159
146068	146156
163179	163846
163179	163323
163179	163842
163179	163611
163179	163834
163179	163608
152292	152331
152290	152329
122825	123220
62766	63973
95749	95817
62761	63457
146938	147087
146937	147900
146937	147930
146933	147522
146933	147537
147089	147258
1018	1096
1015	1164
1015	1208
1015	1073
28717	29304
28717	29843
28716	28960
28716	29304
28247	28965
28247	28486
28719	29130
28719	29124
28718	28957
96339	96704
96339	96696
19113	19348
19113	19284
19115	19350
19115	19286
5706	5870
5706	6193
165004	165072
165004	165066
165005	165016
74692	77572
154037	154107
12691	12804
12691	12791
12691	12847
139113	140229
139113	140211
139113	139973
98738	99290
98735	99128
98732	101367
98733	99301
98733	98969
32125	32310
32125	32336
32128	32310
32128	32313
61806	62460
61806	61976
64120	64260
63409	65130
63409	64036
49638	49718
4984	5927
4984	5928
137902	138161
14063	14294
13251	13693
122455	122723
48582	49156
48582	49146
113996	114505
113996	114540
113993	114051
513	603
512	526
620	704
150904	150971
27729	27892
150906	151080
59362	59581
73902	74774
3878	3965
3878	4043
161000	161031
7564	7658
7564	7698
44801	45065
107429	108512
135083	135277
135086	135287
141249	141351
38974	39442
5931	6050
140265	140372
140263	140466
140263	140471
140262	140465
140268	140464
135559	135812
135559	135925
135559	135816
152504	152565
152504	152568
152504	152571
81928	82094
113290	113927
113290	113924
42758	43011
42758	44098
122844	123219
122844	123129
165044	165132
7368	7410
7368	7406
7368	7399
78230	79259
78232	79252
7362	7394
7362	7454
7363	7394
7363	7454
7367	7394
7367	7454
70410	70691
70410	71033
30178	30538
30170	30620
113877	114686
113877	114690
113878	115035
123462	124064
123462	123912
123462	124088
122290	122342
122290	122379
122290	122348
7791	8320
7797	8326
7797	8202
122293	122350
122293	122379
122294	122387
122294	122356
122297	122473
122297	122561
1035	1180
1035	1109
79368	79631
79368	79529
114526	114844
114524	114745
165066	165148
143276	143391
143276	144098
88862	89477
35496	36353
35497	35908
163938	163972
163938	163973
163939	163969
163939	163991
76816	77060
76816	78015
163932	164339
163932	164431
163932	164459
163932	164469
163932	164455
163933	163969
163931	164339
163931	164431
163931	164459
163931	164469
163931	164455
163935	164339
163935	164459
163935	164431
42565	42805
140380	140665
44311	44792
42568	42724
12675	12710
12675	12719
12675	12716
12674	12713
12674	12716
12674	12722
12674	12708
12676	12704
12676	12714
12676	12720
12670	12731
12673	15177
12673	12708
12673	12716
12673	12722
7803	8326
7803	8202
7805	8322
16301	16443
16300	16443
124382	124924
79961	80492
81029	81159
4963	5354
4963	5196
4963	5365
4962	5165
5694	5874
85666	86106
85666	86109
85746	86033
85746	86220
85746	86097
68062	68645
68064	68647
68069	68637
116037	116060
116036	116185
116034	116264
116033	116266
116033	116065
116031	116263
113602	113788
112883	113124
90712	92085
122472	122626
122473	122620
122473	122626
62775	63208
38715	38920
38718	38924
20036	20271
20035	20270
113462	114587
146568	146834
113469	113986
129760	130091
137793	137888
1208	1225
603	1115
603	1117
39441	39461
39441	39632
114957	116041
114954	116037
117608	117763
117601	117744
34663	35121
86106	86345
86106	86318
86105	86304
86105	86326
35399	35462
35399	35460
7586	8326
7586	8202
7586	7803
7586	7679
95893	96215
95893	96677
95893	96480
61456	65891
151258	151401
151258	151371
151253	151367
75429	77721
75424	76152
75424	77307
116552	117536
96004	96083
96004	96034
74888	74919
74888	74904
74888	74911
96014	96425
125852	125889
74089	74399
74089	74423
140246	140299
140245	140298
140244	140277
140244	140298
140243	140280
140243	140278
124457	125477
45167	46317
45167	46053
80504	80907
80504	81029
134009	134486
134009	134481
90363	90701
90363	93648
90363	93046
90369	90450
134005	134483
7347	7372
7344	7363
7343	7362
7343	7367
10024	10077
0	73546
0	73547
0	73544
0	117792
0	61456
0	735
0	15869
0	84870
0	31899
0	84871
0	84917
0	88218
0	164683
0	73545
0	84913
0	3088
0	27731
0	101644
0	101645
0	101646
0	84873
0	101640
0	101641
0	101642
0	84918
0	60605
0	60606
0	60601
0	95749
0	15868
0	104242
0	161056
0	31892
0	148010
0	163922
0	163925
0	163924
0	73528
0	90723
0	90722
0	150329
0	811
0	31913
0	61177
0	79275
0	73265
0	73462
0	26839
0	19272
0	142814
0	142815
0	48067
0	107198
0	96003
0	107196
0	107194
0	107195
0	73349
0	84861
0	84860
0	1704
0	161979
0	82997
0	84864
0	27402
0	161207
0	84869
0	84868
0	79312
0	27404
0	161201
0	133414
0	161227
0	135351
0	96004
0	1668
0	117897
0	1665
0	1664
0	1663
0	1662
0	1661
0	101649
0	129789
0	160998
0	195
0	84940
0	196
0	191
0	190
0	193
0	192
0	150474
0	150477
0	79297
0	54032
0	162856
0	162632
0	113154
0	150479
0	150478
0	23498
0	74129
0	48044
0	101647
0	60630
0	42358
0	42357
0	153894
0	42353
0	42352
0	42350
0	27305
0	157353
0	140247
0	140246
0	140245
0	101643
0	140243
0	135360
0	125734
0	61146
0	159768
0	95791
0	27713
0	122295
0	79334
0	27714
0	27715
0	79333
0	15979
0	12841
0	158400
0	31916
0	142943
0	161654
0	113173
0	80504
0	113174
0	90389
0	90388
0	163138
0	145875
0	90380
0	3092
0	79347
0	3090
0	3091
0	23149
0	23145
0	163180
0	79348
0	84892
0	90364
0	148011
0	84896
0	90363
0	84895
0	23486
0	92091
0	84898
0	84899
0	90369
0	95837
0	73499
0	7347
0	7344
0	7342
0	7343
0	79321
0	137883
0	161038
0	137885
0	145403
0	854
0	63954
0	19113
0	19115
0	155435
0	60610
0	147970
0	165004
0	37002
0	37001
0	37000
0	16297
0	101566
0	80478
0	15999
0	131498
0	54816
0	48027
0	84930
0	85601
0	22862
0	15864
0	15867
0	140262
0	37030
0	15862
0	88210
0	62884
0	129058
0	74759
0	62766
0	129057
0	31893
0	95775
0	95774
0	95776
0	95771
0	95770
0	95773
0	37707
0	80474
0	93062
0	164483
0	164429
0	163611
0	164502
0	164484
0	147916
0	164488
0	165091
0	156959
0	153886
0	23185
0	159808
0	156951
0	156952
0	156953
0	79325
0	4619
0	4618
0	73337
0	73336
0	158433
0	159780
0	150435
0	4617
0	26211
0	1054
0	27476
0	12691
0	62162
0	159784
0	135341
0	62167
0	155454
0	1692
0	68356
0	150354
0	137862
0	137902
0	19239
0	27345
0	30159
0	27347
0	27346
0	79280
0	79782
0	21972
0	21973
0	19047
0	132530
0	62103
0	158431
0	117732
0	158478
0	122282
0	162368
0	162369
0	140272
0	125719
0	162285
0	79300
0	79301
0	79306
0	79307
0	117790
0	79305
0	31910
0	155469
0	45580
0	23208
0	77575
0	61694
0	160518
0	165048
0	15871
0	107257
0	107259
0	107258
0	22832
0	158472
0	118430
0	158459
0	22837
0	161107
0	161106
0	122281
0	68352
0	160765
0	160762
0	161108
0	53953
0	13163
0	135327
0	163169
0	163168
0	152347
0	152346
0	152349
0	152348
0	94681
0	135329
0	7373
0	153981
0	31908
0	155462
0	163104
0	31912
0	73472
0	73471
0	31911
0	84900
0	164936
0	84902
0	84903
0	164932
0	126780
0	145418
0	101653
0	84867
0	101651
0	101650
0	101656
0	101655
0	101654
0	37054
0	19060
0	84865
0	164441
0	164440
0	22845
0	22847
0	12669
0	22840
0	62147
0	161206
0	73351
0	165192
0	113161
0	44750
0	163306
0	67098
0	113147
0	73275
0	73276
0	73277
0	67091
0	162433
0	67093
0	67092
0	162431
0	67096
0	162480
0	31885
0	129060
0	129061
0	107189
0	107188
0	27431
0	31884
0	48074
0	48075
0	142809
0	27405
0	107181
0	107180
0	107183
0	67065
0	23809
0	31886
0	67060
0	31909
0	101628
0	101629
0	67147
0	84875
0	117793
0	67143
0	67142
0	84872
0	67140
0	1653
0	48015
0	1657
0	1654
0	1655
0	16326
0	161986
0	132578
0	132579
0	122288
0	154365
0	4620
0	4621
0	4622
0	54020
0	28413
0	113163
0	161220
0	31882
0	113149
0	42348
0	42349
0	26143
0	161209
0	27506
0	152370
0	62118
0	135291
0	73282
0	113144
0	27352
0	512
0	163179
0	79676
0	20885
0	79672
0	12871
0	95781
0	95782
0	95783
0	95784
0	95785
0	12879
0	113141
0	79310
0	158418
0	73334
0	113142
0	27729
0	161222
0	113143
0	158417
0	158416
0	22846
0	163123
0	113148
0	159723
0	22830
0	101447
0	90390
0	113145
0	79946
0	90393
0	125745
0	26748
0	24099
0	79372
0	125744
0	79377
0	125742
0	125741
0	125740
0	125743
0	188
0	3086
0	162435
0	79274
0	125748
0	90377
0	90375
0	85604
0	45828
0	165087
0	163938
0	90378
0	90379
0	101658
0	163939
0	165013
0	147844
0	147846
0	161000
0	161001
0	147842
0	161003
0	132597
0	132594
0	19101
0	132592
0	132593
0	132459
0	165159
0	107220
0	155662
0	95754
0	79296
0	22960
0	163932
0	137768
0	140244
0	145405
0	61305
0	3082
0	117900
0	117901
0	73401
0	19080
