Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
6313	0.9444	6	11	1	1	1	0
5741	0.9137	5	17	1	1	1	0
6232	0.9	7	10	1	1	1	0
1900	0.8889	5	12	1	0	1	1
5789	0.8843	6	12	1	1	1	0
6069	0.8843	6	12	1	1	0	0
1023	0.8778	6	10	1	0	0	1
1888	0.8687	6	11	0	0	0	0
5181	0.8667	7	10	1	0	0	1
1724	0.8667	5	12	1	0	0	1
4146	0.8611	6	10	1	0	0	0
5654	0.8611	6	10	0	0	0	1
4916	0.8545	5	11	1	1	1	1
3059	0.8489	5	15	1	0	0	1
3328	0.8419	6	13	0	0	1	1
6298	0.8407	9	10	0	1	1	1
4913	0.8407	9	10	0	0	0	0
4668	0.837	9	10	1	1	0	0
3002	0.8333	6	10	0	0	0	0
3334	0.8333	5	14	1	0	0	0
4410	0.8238	7	10	1	0	0	0
3163	0.8125	8	10	1	1	1	1
2062	0.8106	8	11	0	0	0	1
2068	0.8056	6	12	1	0	0	0
1351	0.8056	6	10	1	0	0	1
2218	0.7963	9	10	0	0	1	1
3588	0.7841	8	11	0	0	1	1
2224	0.7835	7	11	1	0	0	0
2051	0.7818	11	10	0	0	0	1
3731	0.7704	9	10	1	0	1	1
3597	0.7619	7	12	0	1	0	0
5420	0.7567	10	10	1	0	0	1
3610	0.7564	6	13	1	0	1	1
2848	0.7292	8	10	0	0	1	1
3885	0.7185	9	10	1	0	0	0
5044	0.7037	9	10	1	1	1	1
5046	0.7	6	10	1	0	1	1
2385	0.6881	14	10	0	0	0	0
772	0.6879	11	10	0	0	0	1
3435	0.6741	9	10	1	1	1	1
2852	0.6727	5	11	1	0	0	1
1702	0.6571	14	10	0	0	0	1
5180	0.6556	6	10	1	1	0	1
4795	0.6381	7	10	1	0	1	1
1190	0.6286	7	10	1	0	1	1
4796	0.6167	8	10	1	1	1	1
3576	0.6067	15	10	0	1	0	0
4142	0.5905	7	10	1	0	0	0
904	0.5818	5	11	1	0	0	1
1534	0.5778	9	10	1	1	1	1
5539	0.5758	9	11	1	0	1	1
2400	0.5714	7	12	1	1	0	0
1191	0.5708	8	10	1	1	1	1
5649	0.5667	10	10	0	1	0	0
3728	0.5611	6	10	0	0	1	1
4676	0.5606	6	11	0	1	1	1
5532	0.56	10	10	0	0	1	1
3001	0.5593	9	10	1	1	0	0
4281	0.5583	8	10	0	0	1	1
3167	0.5571	7	10	1	1	1	1
6315	0.5556	6	10	1	1	1	1
4141	0.5556	9	10	0	1	0	1
4674	0.5542	8	10	0	0	0	1
6090	0.5516	6	14	1	1	1	0
4157	0.5515	5	11	1	0	1	1
2241	0.5513	6	13	1	0	0	0
782	0.5455	7	11	0	0	1	1
1025	0.5429	7	10	1	0	0	1
3735	0.5394	5	11	1	0	1	1
6271	0.5367	10	10	1	1	0	0
891	0.5303	11	10	0	0	1	1
4548	0.5273	5	11	1	0	1	1
2086	0.5238	5	14	1	1	0	0
4687	0.5222	5	12	1	0	0	1
2213	0.5208	8	10	0	0	1	1
2568	0.5198	6	14	1	1	1	1
537	0.5167	10	10	1	0	0	1
2844	0.5143	7	10	1	1	1	1
2047	0.5143	7	10	0	1	0	0
436	0.5104	8	12	1	0	0	1
3441	0.5056	6	10	1	0	1	1
5788	0.5046	6	12	1	1	1	1
325	0.5018	7	13	1	0	0	0
1880	0.5	6	10	1	1	1	0
2055	0.4949	6	11	0	0	0	1
4145	0.4917	8	10	1	0	0	0
2272	0.4917	5	16	1	1	1	1
4284	0.4909	5	11	1	0	0	1
213	0.4857	5	14	1	0	0	0
6066	0.4848	11	12	0	1	0	0
2226	0.4798	6	11	0	1	0	0
5716	0.475	5	16	1	1	0	0
6082	0.4744	10	13	0	1	1	0
2541	0.4697	8	11	0	0	0	0
886	0.4697	11	10	0	0	1	1
4408	0.4606	11	10	1	1	0	0
1354	0.4593	9	10	0	1	0	1
5812	0.4556	6	15	0	1	1	0
795	0.4556	5	12	1	0	0	1
4009	0.4556	9	10	1	0	1	1
6230	0.4545	11	10	1	1	1	1
901	0.4545	6	11	1	0	0	1
1355	0.45	6	10	1	0	0	1
187	0.4444	6	10	0	0	0	0
6071	0.4444	9	12	0	1	0	0
3479	0.4429	5	14	1	0	1	0
5831	0.4417	5	16	1	1	1	1
3898	0.4405	7	12	1	0	0	0
4909	0.437	9	10	0	0	0	1
4276	0.4333	6	10	1	1	1	1
643	0.4282	13	10	0	0	0	1
3887	0.4242	8	11	0	0	1	1
1362	0.4182	5	11	1	0	0	1
4915	0.4156	7	11	0	1	1	0
3881	0.4119	14	10	0	0	0	0
3301	0.4083	8	10	1	0	0	0
1022	0.4048	7	10	0	0	0	1
5652	0.4033	10	10	0	0	0	1
3446	0.399	6	11	0	1	1	1
4931	0.3981	6	12	0	0	0	1
6079	0.3932	6	13	1	1	0	1
661	0.3924	8	12	1	0	0	1
5305	0.3872	13	10	0	1	1	1
6228	0.3833	10	10	0	1	1	0
6317	0.3815	9	10	1	1	0	1
5684	0.3814	8	13	1	1	0	0
4542	0.38	10	10	0	1	1	0
3302	0.3792	8	10	1	1	0	0
5304	0.3788	11	10	1	1	1	0
5022	0.3727	5	22	1	1	0	0
3733	0.37	10	10	0	1	1	1
4419	0.367	9	11	0	1	1	0
3591	0.367	9	11	1	0	0	1
5608	0.366	6	17	0	1	1	0
5620	0.3593	5	18	1	1	1	0
5314	0.3569	9	11	1	1	0	1
6307	0.3561	8	11	1	1	1	0
3755	0.3538	5	13	1	0	0	1
4296	0.35	5	12	1	1	1	0
5782	0.3483	13	12	0	1	1	1
768	0.3462	13	10	1	0	0	1
1031	0.3455	5	11	1	0	1	1
1537	0.3444	12	10	0	0	1	1
4278	0.3417	8	10	1	1	1	1
3734	0.3401	9	11	0	0	0	1
3467	0.3397	8	13	1	0	0	1
5543	0.3371	8	11	0	1	1	0
4553	0.3368	8	12	1	1	1	1
5085	0.3367	7	14	0	1	1	0
1878	0.3364	11	10	1	0	1	1
2546	0.3333	9	11	1	0	1	0
5133	0.3302	6	18	1	1	1	0
5575	0.3299	7	14	0	1	1	0
3013	0.3295	8	11	1	0	0	1
5440	0.3254	7	12	1	0	0	1
5043	0.3133	10	10	0	1	1	0
2405	0.3056	8	12	0	0	0	0
5188	0.303	8	11	1	1	1	1
2426	0.3016	7	15	1	0	0	1
5651	0.2963	9	10	0	1	0	0
5058	0.2929	9	11	0	0	1	1
6259	0.2923	5	13	1	1	1	0
1552	0.2882	8	12	1	0	1	1
5542	0.2841	8	11	0	1	0	1
6299	0.2833	12	10	0	1	1	0
3440	0.2833	10	10	0	1	1	0
5064	0.2817	7	12	0	1	1	1
4809	0.2795	9	11	0	1	1	0
5428	0.2761	9	11	0	1	1	0
5102	0.2741	6	15	0	1	0	1
6249	0.2731	6	12	0	1	1	0
1238	0.273	7	15	1	0	0	0
5677	0.2724	8	13	1	1	1	0
6306	0.2593	9	11	1	1	1	1
1186	0.2583	8	10	0	0	1	1
5612	0.2549	7	17	0	1	1	1
3900	0.2444	5	12	1	0	0	1
1157	0.2415	6	23	1	0	0	1
2887	0.2411	8	14	1	0	1	0
5163	0.2394	5	22	1	1	1	1
5533	0.2333	14	10	0	1	1	0
4798	0.2333	21	10	0	1	1	1
3726	0.2333	6	10	1	0	1	1
4436	0.2256	5	13	1	1	1	0
6278	0.2222	9	11	1	1	0	1
4818	0.2222	5	12	1	1	1	0
3005	0.2214	14	10	0	0	0	0
226	0.2208	5	16	1	0	0	0
5619	0.213	6	18	1	1	1	1
4908	0.2111	6	10	1	1	0	0
6316	0.2091	11	10	1	1	1	0
4799	0.2056	12	10	1	0	1	1
207	0.2051	6	13	0	0	0	1
6270	0.2037	9	10	0	1	0	0
6287	0.1984	7	12	1	1	1	0
1591	0.1975	9	15	0	0	0	1
1358	0.1963	9	10	1	0	0	0
6073	0.1919	11	12	1	1	0	0
534	0.1879	11	10	0	0	0	1
2874	0.1859	12	13	0	0	0	1
219	0.1857	5	14	1	0	1	0
4011	0.1844	15	10	0	1	1	1
1908	0.1821	10	13	0	0	0	1
1026	0.1788	11	10	0	0	0	1
2543	0.1785	9	11	0	1	0	0
