term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
6313	0.9444	2	AT2G26360,AT2G41680,AT3G17830,AT3G47450,AT4G25910,AT4G36810	97	107	6	11
5741	0.9137	2	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G36810	88	104	5	17
6232	0.9	1	AT4G25910,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G36810	95	104	7	10
1900	0.8889	2	AT2G26360,AT3G17830,AT4G25910,AT4G33520,AT4G36810	61	72	5	12
5789	0.8843	1	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G33520,AT4G36810	89	100	6	12
6069	0.8843	1	AT2G26360,AT3G14420,AT3G17830,AT3G47450,AT4G25910,AT4G36810	92	103	6	12
1023	0.8778	1	AT4G25910,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G36810	56	65	6	10
1888	0.8687	1	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G33520,AT4G36810	61	71	6	11
5181	0.8667	1	AT4G25910,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G36810	84	93	7	10
1724	0.8667	2	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G36810	60	71	5	12
4146	0.8611	1	AT4G25910,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G36810	76	85	6	10
5654	0.8611	1	AT4G25910,AT2G41680,AT3G47450,AT3G17830,AT2G26360,AT4G36810	88	97	6	10
4916	0.8545	2	AT2G26360,AT2G41680,AT3G17830,AT4G25910,AT4G36810	82	92	5	11
3059	0.8489	2	AT2G26360,AT3G17830,AT3G47450,AT4G25910,AT4G36810	68	82	5	15
3328	0.8419	1	AT2G26360,AT3G14420,AT3G17830,AT3G47450,AT4G25910,AT4G36810	70	82	6	13
6298	0.8407	1	AT2G04030,AT4G25910,AT2G41680,AT3G47450,AT3G01480,AT3G17830,AT2G26360,AT4G33520,AT4G36810	97	106	9	10
4913	0.8407	1	AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G33520,AT4G31390,AT4G36810	82	91	9	10
4668	0.837	1	AT4G25910,AT3G14420,AT3G47450,AT3G01480,AT3G17830,AT2G26360,AT4G33520,AT4G31390,AT4G36810	80	89	9	10
3002	0.8333	1	AT4G25910,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	68	77	6	10
3334	0.8333	2	AT2G26360,AT3G14420,AT3G17830,AT4G25910,AT4G36810	70	83	5	14
4410	0.8238	1	AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G36810	78	87	7	10
3163	0.8125	1	AT4G25910,AT4G25050,AT3G47450,AT3G17830,AT2G26360,AT3G46610,AT4G33520,AT4G36810	69	78	8	10
2062	0.8106	2	AT2G26360,AT2G41680,AT3G01480,AT3G17830,AT4G25910,AT4G31390,AT4G33520,AT4G36810	62	72	8	11
2068	0.8056	3	AT2G26360,AT2G41680,AT3G17830,AT4G25910,AT4G31390,AT4G36810	62	73	6	12
1351	0.8056	1	AT3G47450,AT3G01480,AT1G73530,AT3G17830,AT4G33520,AT4G36810	58	67	6	10
2218	0.7963	1	AT4G25910,AT2G41680,AT3G01480,AT1G73530,AT3G17830,AT2G26360,AT4G33520,AT4G31390,AT4G36810	63	72	9	10
3588	0.7841	2	AT2G04030,AT2G26360,AT2G41680,AT3G14420,AT3G17830,AT3G47450,AT4G25910,AT4G36810	72	82	8	11
2224	0.7835	2	AT1G73530,AT2G26360,AT2G41680,AT3G17830,AT4G25910,AT4G31390,AT4G36810	63	73	7	11
2051	0.7818	1	AT4G25910,AT4G25050,AT2G41680,AT3G14420,AT3G47450,AT3G01480,AT3G17830,AT2G26360,AT4G33520,AT4G31390,AT4G36810	62	71	11	10
3731	0.7704	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G17830,AT2G26360,AT4G31390,AT4G36810	73	82	9	10
3597	0.7619	3	AT2G04030,AT2G26360,AT2G41680,AT3G14420,AT3G17830,AT4G25910,AT4G36810	72	83	7	12
5420	0.7567	1	AT2G04030,AT4G25910,AT4G25050,AT2G41680,AT3G14420,AT3G17830,AT2G26360,AT3G46610,AT4G31390,AT4G36810	86	95	10	10
3610	0.7564	4	AT2G04030,AT2G41680,AT3G14420,AT3G17830,AT4G25910,AT4G36810	72	84	6	13
2848	0.7292	1	AT4G25050,AT3G47450,AT3G01480,AT1G73530,AT1G03600,AT3G46610,AT4G33520,AT4G31390	67	76	8	10
3885	0.7185	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G17830,AT1G32500,AT2G26550,AT2G26360,AT4G36810	74	83	9	10
5044	0.7037	1	AT2G04030,AT4G25910,AT2G41680,AT3G17830,AT1G32500,AT2G26550,AT2G26360,AT3G46610,AT4G36810	83	92	9	10
5046	0.7	1	AT4G25050,AT3G01480,AT1G73530,AT1G03600,AT4G33520,AT4G31390	83	92	6	10
2385	0.6881	1	AT4G25910,AT4G25050,AT2G41680,AT3G14420,AT1G73530,AT1G03600,AT3G17830,AT3G56040,AT2G26360,AT3G46610,AT1G44575,AT1G79040,AT4G31390,AT4G36810	64	73	14	10
772	0.6879	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT3G19490,AT3G17830,AT2G18790,AT2G26360,AT4G33010,AT4G36810	54	63	11	10
3435	0.6741	1	AT2G04030,AT4G25050,AT2G41680,AT3G01480,AT1G73530,AT1G32500,AT2G26550,AT4G33520,AT4G31390	71	80	9	10
2852	0.6727	2	AT1G03600,AT1G73530,AT3G46610,AT4G25050,AT4G31390	67	77	5	11
1702	0.6571	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT1G03600,AT3G17830,AT3G56040,AT2G26360,AT3G46610,AT1G44575,AT1G79040,AT4G36810,AT1G16880	60	69	14	10
5180	0.6556	1	AT4G25050,AT1G73530,AT1G03600,AT2G26550,AT3G46610,AT4G31390	84	93	6	10
4795	0.6381	1	AT4G25050,AT3G01480,AT1G73530,AT1G03600,AT3G46610,AT1G44575,AT4G31390	81	90	7	10
1190	0.6286	1	AT4G25910,AT4G25050,AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT1G16880	57	66	7	10
4796	0.6167	1	AT2G04030,AT4G25910,AT2G41680,AT5G42270,AT3G19490,AT3G17830,AT1G80380,AT4G33010	81	90	8	10
3576	0.6067	1	AT2G04030,AT4G25910,AT2G41680,AT3G14420,AT3G47450,AT5G42270,AT3G19490,AT3G17830,AT2G18790,AT1G32500,AT2G29180,AT2G26360,AT4G33010,AT4G36810,AT1G16880	72	81	15	10
4142	0.5905	1	AT2G04030,AT2G41680,AT3G14420,AT3G19490,AT1G32500,AT2G26550,AT5G52440	76	85	7	10
904	0.5818	2	AT1G03600,AT1G73530,AT3G46610,AT4G25050,AT4G31390	55	65	5	11
1534	0.5778	1	AT2G04030,AT4G25050,AT3G01480,AT1G73530,AT3G19490,AT1G32500,AT3G46610,AT4G31390,AT1G16880	59	68	9	10
5539	0.5758	2	AT1G03600,AT1G44575,AT1G73530,AT1G79040,AT2G26550,AT3G46610,AT3G56040,AT4G25050,AT4G31390	87	97	9	11
2400	0.5714	2	AT1G03600,AT1G44575,AT1G79040,AT3G46610,AT3G56040,AT4G25050,AT4G31390	64	75	7	12
1191	0.5708	1	AT2G41680,AT3G14420,AT2G18790,AT2G29180,AT2G26360,AT1G80380,AT4G33010,AT4G36810	57	66	8	10
5649	0.5667	1	AT4G25050,AT1G73530,AT1G03600,AT3G56040,AT1G32500,AT2G26550,AT3G46610,AT1G44575,AT1G79040,AT4G31390	88	97	10	10
3728	0.5611	1	AT4G25050,AT1G03600,AT3G56040,AT3G46610,AT1G44575,AT1G79040	73	82	6	10
4676	0.5606	2	AT1G80380,AT2G04030,AT2G41680,AT3G19490,AT4G33010,AT5G42270	80	90	6	11
5532	0.56	1	AT4G25050,AT1G73530,AT1G03600,AT3G56040,AT2G26550,AT3G46610,AT1G44575,AT1G71500,AT1G79040,AT4G31390	87	96	10	10
