term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
490	0.859	1	817176,818766,821051,823899,828697,829834	57	69	6	13
848	0.8056	1	817176,821051,829834,828697,818766,820665	68	77	6	10
977	0.4066	2	838259,844378,816394,817467,821483,829438,834232	72	84	7	13
902	0.3792	2	844378,816394,817467,829438,834232	69	84	5	16
1030	0.3356	1	841919,842830,817174,821657,831888,830593,830699,835320	73	90	8	18
1775	0.3333	1	842103,844378,816394,817467,821483,829438,834232	91	102	7	12
968	0.33	1	839566,837996,838259,844378,816394,817467,821483,829438,834232	72	82	9	11
888	0.3117	1	841919,842830,817174,821657,831888,830593,830699	69	79	7	11
368	0.3056	1	817196,824770,841033,842830,843491,844245	54	63	6	10
1787	0.3037	2	842103,844378,816394,817467,829438,834232	91	105	6	15
994	0.2967	1	816394,817467,829438,834232,844378,821483,838259,837996,839566,843095	73	82	10	10
900	0.2925	1	839566,837996,844378,816394,817467,829438,834232	69	82	7	14
338	0.2727	2	841033,842830,843491,817196,824770	53	63	5	11
643	0.269	1	841919,817174,821657,831888,830593,830699	61	79	6	19
231	0.2172	1	841033,842830,843491,817196,823814,824770	50	60	6	11
1264	0.2167	1	816394,817467,838259,837996,843095,839566	79	88	6	10
1342	0.2167	1	816394,817467,837996,843095,839566,838259	81	90	6	10
335	0.2111	1	817196,824770,841033,843491,842830,828917	53	62	6	10
1590	0.2	1	816394,817467,837996,842103,838362,839566	87	96	6	10
1412	0.1889	1	816394,817467,837996,842103,839566,843095	83	92	6	10
506	0.1602	1	839392,838250,841919,817174,821657,831888,830593	58	68	7	11
483	0.1574	1	839392,838250,841919,817174,821657,830593	57	68	6	12
1961	0.15	1	820041,838259,834232,842103,837996,839566	97	106	6	10
1136	0.1444	1	816692,829966,841467,843110,827727,843827	76	85	6	10
1393	0.1435	1	841467,843110,843827,816692,827727,829966	82	93	6	12
1957	0.1429	1	817174,841919,830593,821657,835320,831888,828917	97	106	7	10
301	0.14	1	816768,831888,828917,838851,821143,3770591,830593,817467,840144,838259	52	61	10	10
1519	0.1381	2	838259,817499,817620,820041,830754	85	98	5	14
1614	0.1333	3	838259,843095,817499,817620,820041	87	99	5	13
1398	0.1282	2	841467,843110,816692,827727,829966	82	94	5	13
525	0.1179	1	817174,831888,821657,830593,830699,841919,838250,839392,822205,836393,839642,841920,837040	59	68	13	10
696	0.1162	1	841558,843903,822132,822517,827307,835320	63	73	6	11
1604	0.1157	2	838259,843095,817499,817620,820041,830754	87	98	6	12
946	0.1111	1	838851,841558,843903,820827,822517,827307,828884	71	82	7	12
991	0.1111	1	814643,827727,816692,829966,841467,843827	73	82	6	10
833	0.1082	2	838851,841558,843903,820827,822517,827307,828884	67	77	7	11
723	0.1048	1	822132,843903,822517,841558,827307,835320,841468	64	73	7	10
1505	0.1032	1	839433,838259,817499,817620,819107,820041,830754	85	96	7	12
491	0.094	4	838362,841467,841892,843110,816692,829966	57	69	6	13
1707	0.0926	4	839433,838259,843095,816545,817499,820041	89	103	6	15
829	0.0917	1	820827,822517,841558,843903,827307,838851,823831,828884	67	76	8	10
1584	0.0917	1	817499,830754,843095,817620,820041,838259,819107,839433	87	96	8	10
476	0.0909	2	838362,841467,841892,842833,843110,843827,816692,829966	57	67	8	11
1193	0.0909	1	838807,841558,820827,822517,827307,835398,836043	77	87	7	11
437	0.0889	1	821657,830593,841919,822132,823831,830754	56	65	6	10
808	0.088	1	838851,841558,843903,820827,822517,827307	66	77	6	12
1759	0.0866	1	838362,841467,841892,843110,843827,816692,827727	91	101	7	11
531	0.0833	1	820041,821143,837996,843095,3770591,828884	59	68	6	10
1443	0.0833	1	814643,842833,838779,818316,816692,843110,843827,827727,829966,841467	84	93	10	10
1689	0.0833	2	839433,838259,843095,816545,817499,817620,819107,820041	89	99	8	11
892	0.0808	1	838807,841558,820827,822517,828884,836043	69	79	6	11
1504	0.0794	1	838851,841892,843903,822132,822517,828884,836043	85	96	7	12
1097	0.0788	2	838362,839566,817499,817620,818343	75	85	5	11
1509	0.0787	1	838807,841558,820827,823831,827307,835398	85	96	6	12
1671	0.0778	1	816545,819107,839433,817620,820041,817499,843095,838259,830754	89	98	9	10
669	0.0769	3	816545,817499,818343,821143,820041,820741,834232	62	74	7	13
1701	0.0769	3	839433,838259,843095,816545,817499,819107,820041	89	101	7	13
660	0.0758	2	839566,843095,816545,817499,817620,818343,821143,820041,820741,834232	62	72	10	11
1452	0.0758	2	838779,841467,842833,843110,814643,816692,827727,829966	84	94	8	11
