parent	child
0	4134
0	4135
0	4138
0	4139
0	4140
0	4142
0	4147
0	2110
0	2111
0	2112
0	2113
0	2115
0	4172
0	364
0	4270
0	4272
0	4273
0	4274
0	4275
0	4276
0	184
0	185
0	186
0	188
0	190
0	203
0	2262
0	2264
0	2266
0	2267
0	2269
0	276
0	277
0	278
0	279
0	4394
0	4395
0	4396
0	4397
0	4398
0	4401
0	4420
0	2410
0	2412
0	2413
0	2415
0	2416
0	370
0	4522
0	4523
0	4525
0	4526
0	4527
0	449
0	451
0	452
0	2563
0	2564
0	2565
0	2566
0	2567
0	2568
0	2569
0	541
0	542
0	4642
0	4644
0	4645
0	4646
0	553
0	561
0	644
0	647
0	648
0	4750
0	4751
0	656
0	4753
0	2713
0	2714
0	2715
0	4764
0	2717
0	4850
0	4851
0	4854
0	767
0	768
0	769
0	772
0	773
0	2839
0	2840
0	2842
0	2843
0	2845
0	2855
0	2859
0	4943
0	4945
0	4946
0	4947
0	4949
0	910
0	911
0	912
0	913
0	2963
0	2964
0	2965
0	2967
0	2968
0	921
0	5049
0	5050
0	5051
0	5052
0	5055
0	5059
0	3081
0	3083
0	3084
0	3085
0	3086
0	5154
0	5155
0	5156
0	1076
0	1079
0	1080
0	1083
0	1092
0	5242
0	5243
0	5246
0	5247
0	5248
0	5251
0	3234
0	3235
0	3236
0	3237
0	3239
0	3240
0	3241
0	5327
0	5328
0	5329
0	5335
0	1260
0	1261
0	1263
0	1265
0	1266
0	5363
0	1268
0	1269
0	1288
0	5407
0	5409
0	5411
0	3381
0	3383
0	3384
0	3387
0	5436
0	5439
0	3392
0	5484
0	5486
0	5487
0	5490
0	5497
0	5498
0	3451
0	1444
0	1445
0	1447
0	1450
0	1451
0	5556
0	5557
0	5558
0	5560
0	5562
0	5566
0	3527
0	3528
0	3530
0	3531
0	3532
0	3533
0	4006
0	1960
0	4009
0	5626
0	5629
0	5631
0	5632
0	5633
0	5644
0	5692
0	5693
0	5694
0	5695
0	5697
