purity	class_distance	pearson	geneSet	geneSize	min_TimePoint	max_TimePoint
0.0	0.00861888181655	0.722667440551	824970,818822,818899,826914,829995,831528,838079,841447	8	87	98
0.0923076923077	0.0411001326867	0.521836455933	827307,835398,841558,820827,823831	5	85	97
0.087962962963	0.0436775502675	0.735800304365	838851,822517,843903,820827,841558,827307	6	66	77
0.00854700854701	0.03208858785	0.577834886706	831832,816546,818599,839642,823859,831377	6	65	77
0.0	0.00760277891837	0.625600486563	818069,832070,829995,831472,841652	5	98	107
0.0299145299145	0.0442061964909	0.679878147092	839433,816545,820041,837974,823859,3770591	6	75	87
0.00416666666667	0.0245017167585	0.658607512958	818822,843903,841468,823831,827307,838807,816768,832247	8	98	107
0.269005847953	0.155524574311	0.862637459016	830593,841919,821657,831888,830699,817174	6	61	79
0.4	0.358765509693	0.861217377081	817467,844378,816394,829438,820665	5	59	69
0.0	0.00642211373584	0.655469754137	822055,837265,827001,837179,834212	5	60	72
0.0	0.00368719797129	0.338189918153	827830,838984,818672,841984,828595	5	82	93
0.0	0.00713272245342	0.810733784539	824970,830101,826914,831528,829995,841447	6	58	67
0.0	0.0150308674821	0.763856743068	824970,832070,838984,843903,830128,829995,831472	7	60	69
0.273333333333	0.210999980163	0.744037333056	817467,844378,816394,829438,838259	5	98	107
0.0	0.00610480127566	0.680257221382	838984,830128,818903,839930,828595	5	63	72
0.0	0.110523747762	0.317789980904	833979,832070,827727,836043,832136,832057,831861,835375,843095,844343,827001,825208,837778,818069,817272,825714,822266,818672,816270,841534,837974,831377,830101,817646,822517,818343,844264,843596,838364,826914,831151,821840,841892,839566,831832,834212,843903,820211,841652,843048,837996,824937,817499,817221,834232,827307,841558,839869,816545,824970,841843,816546,837265,827830,824699,829995,838079,839433,843810,838151,831122,842985,831472	63	51	60
0.0564102564103	0.0191582956097	-0.0873861676157	843110,816692,827727,841467,838362	5	91	103
0.0222222222222	0.0136476674918	0.557208516095	818069,833471,816768,831472,841652	5	88	99
0.133333333333	0.0859050139604	0.78227159457	820041,817620,817499,838259,843095	5	87	99
0.0533333333333	0.0462839171469	-0.149673430248	831910,814643,830128,829966,843747	5	97	106
0.0	0.00389202968552	0.724682001799	840894,827921,837179,827564,828577	5	56	65
0.00666666666667	0.0125502966845	0.646656817336	829730,818672,841652,837179,834212	5	68	77
0.020202020202	0.0259459042561	0.75385680546	835355,817646,832057,831861,831910,831377	6	75	85
0.0	0.00228147422597	0.669245115128	822055,829730,818672,824937,837265	5	55	70
0.0	0.0105650167296	0.572700246141	830157,838455,827564,820741,831151	5	77	86
