,term_id,sign_score,level,annotation_gene,start_time,end_time,geneSize,time_size
0,11823,0.3056,1,"824770,817196,844245,843491,841033,842830",54,63,6,10
1,87603,0.2823,1,"839566,837996,844378,816394,817467,829438,834232",68,81,7,14
2,69153,0.2444,1,"816394,844378,837996,829438,839566,817467",65,74,6,10
3,106653,0.2381,1,"844378,839566,843095,817467,829438,834232,837996",71,80,7,10
4,3813,0.2323,1,"841033,842830,843491,844245,817196,824770",51,61,6,11
5,93116,0.2292,1,"839566,843095,844378,837996,834232,829438,816394,817467",69,78,8,10
6,3796,0.2208,1,"829438,820041,840144,820665,816394,838259,835398,817467",51,60,8,10
7,5583,0.219,1,"824770,830754,843491,844245,817196,841033,842830",52,61,7,10
8,106652,0.219,1,"844378,839566,843095,817620,829438,834232,837996",71,80,7,10
9,93115,0.1667,1,"839566,843095,844378,837996,834232,817620",69,78,6,10
10,1998,0.1616,1,"840144,817467,820041,820665,829438,835398",50,60,6,11
11,69172,0.1593,1,"839566,837996,844378,834232,817620,818343,843095,820041,829438",65,74,9,10
12,141747,0.134,1,"841467,843110,843827,816692,827727,829966",78,94,6,17
13,141032,0.1333,1,"839566,838259,843095,838362,817620,837996",78,87,6,10
14,130374,0.1275,1,"838851,841558,843903,820827,822517,827307,828884,835398",75,91,8,17
15,188139,0.1263,1,"839566,837996,838259,844378,820041,834232",97,107,6,11
16,162147,0.1238,1,"839566,817499,843095,820041,838362,838259,817620",84,93,7,10
17,118777,0.119,1,"843903,822517,841558,820827,835398,827307,838851",73,82,7,10
18,1991,0.1162,1,"839566,816394,820041,820665,829438,835398",50,60,6,11
19,100020,0.1111,1,"844343,820211,817272,818069,820041,830157",70,79,6,10
20,50243,0.1111,1,"843110,842833,843827,841467,816692,829966",62,71,6,10
21,124320,0.1037,1,"828884,835398,827307,822517,820827,838807,841558,836043,838851",74,83,9,10
22,8674,0.1026,1,"839566,3770591,821143,816545,817467,843596,844378,820665,837996,843095,820041,829438,828884",53,62,13,10
23,23520,0.1026,1,"838362,841467,841892,843110,843827,816692,829966",57,69,7,13
24,165280,0.1,1,"841467,827727,843827,842833,843110,814643,816692,829966",85,94,8,10
25,1976,0.1,1,"839566,817467,829438,820665,820041,835398",50,59,6,10
26,155446,0.1,1,"843110,827727,816692,829966,842833,814643",82,91,6,10
27,93114,0.1,1,"839566,843095,844378,837996,838362,817620,818343",69,78,7,10
28,28263,0.0909,1,"838362,841467,841892,842833,843110,843827,816692,829966",58,68,8,11
29,93129,0.0875,1,"817620,818343,838362,820041,839433,844343,831861,843095",69,78,8,10
30,162178,0.0871,1,"839433,838362,838259,843095,817499,817620,819107,820041",84,94,8,11
31,124312,0.0852,1,"823831,838807,828884,827307,838851,820827,841558,836043,822517",74,83,9,10
32,69359,0.0833,1,"838807,838851,842103,827307,828884,836043",65,76,6,12
33,179630,0.0833,1,"841467,838779,827727,843110,842833,843827,841892,816692",90,99,8,10
34,148329,0.0833,1,"839566,817499,817620,838362,820041,819107",80,89,6,10
35,162143,0.0833,1,"843110,827727,843827,816692,829966,838779,842833,814643",84,93,8,10
36,33378,0.0818,1,"839566,837996,843095,816545,817499,817620,821143,820041,828884,3770591",59,69,10,11
37,155445,0.0806,1,"843903,823831,835398,827307,836043,822517,828884,820827,838807,841558,822132,838851",82,91,12,10
38,177463,0.0788,1,"839433,819107,839566,817499,817620,830754,843095,820041,838259,816545,831861",89,98,11,10
39,148328,0.0778,1,"839566,817499,817620,838362,843095,837996",80,89,6,10
40,106680,0.0771,1,"838807,838851,841468,841558,843903,820827,822132,822517,827307,828884,836043",71,81,11,11
41,93040,0.0733,1,"843903,822517,836043,828884,838807,831528,841558,820827,827307,838851",69,78,10,10
42,129578,0.0733,1,"839566,817499,817620,818343,839642,843095,838362,833471,817467,837996",75,84,10,10
43,158898,0.0718,1,"816270,844343,832057,838362,817499,817620,816545,820041,839433,838259,818343,819107,831861",83,92,13,10
44,106630,0.0714,1,"831861,843095,844343,838362,817620,818343,839433",71,80,7,10
45,162174,0.0697,1,"839433,838362,838259,816545,817499,817620,818343,819107,820041,830754",84,94,10,11
46,57018,0.0694,1,"839433,839566,837974,837996,838455,843095,844378,816545,817499,817620,818343,821143,820041,820741,3770591,831861,834232",63,75,17,13
47,155613,0.0685,1,"838807,838851,841468,841558,841892,818069,820827,822132,822517,823831,827307,831472,832070,835398,836043",82,93,15,12
48,100008,0.0667,1,"828884,838807,838851,823831,822517,820827,841558,822132,836043,841468",70,79,10,10
49,106636,0.0667,1,"839433,839566,843095,838362,817620,818343",71,80,6,10
50,112847,0.0667,1,"827307,823831,832070,836043,822517,828884,838807,820827,841558,822132,841468,838851",72,81,12,10
51,181471,0.0667,1,"816270,831861,839566,817499,817620,816545,843095,820041,838259,819107,839433",91,100,11,10
52,175105,0.0657,1,"839433,837778,838259,843095,844343,816270,817620,819107,820041,831861,830754,832057",88,98,12,11
53,129891,0.0651,1,"838807,838851,841468,841534,841558,843903,820827,822132,822517,823831,827307,835398,836043",75,87,13,13
54,172033,0.0643,1,"816270,844343,818343,832057,843095,817499,817620,830754,816545,820041,838259,819107,839433,831861",87,96,14,10
55,165276,0.0633,1,"823831,835398,827307,841558,838807,820827,824524,835431,841892,822132",85,94,10,10
56,112905,0.063,1,"817620,843095,817499,820041,832057,838362,818343,839433,831861",72,81,9,10
57,93113,0.063,1,"827307,838851,836043,828884,842103,820827,838807,841558,831528",69,78,9,10
58,129686,0.0628,1,"838807,838851,841468,841534,841558,843903,818069,820827,822132,823831,824970,827307,835398,836043",75,85,14,11
59,183438,0.0627,1,"839433,839566,837996,838259,843095,816545,817499,819107,820041",92,104,9,13
60,133971,0.0611,1,"818069,841468,830101,824970,841892,828884,823831,835398,827307,822517,843903,836043,838807,841534,820827,841558,822132,838851",76,85,18,10
61,183192,0.0606,1,"838362,841467,841892,843110,843827,816692,827727",92,102,7,11
62,185824,0.0606,1,"838250,838672,838779,841892,842833,844230,818316,830128",94,104,8,11
63,23044,0.0606,1,"828884,817499,816545,839566,820041,843095,3770591,844378,838455,821143,837996",57,66,11,10
64,38763,0.06,1,"828884,818343,833471,820041,817499,817620,816545,839566,837974,843095,3770591,838455,821143,820741,837996",60,69,15,10
65,188059,0.06,1,"839566,817499,816545,843095,819107,839433,837996,838259,820041,834232",97,106,10,10
66,188902,0.0584,1,"839433,839566,837778,837996,843095,816545,817499,819107,831861,834232,835398",98,111,11,14
67,165267,0.0583,1,"816270,818343,831861,832057,816545,844010,837778,844343,838362,817499,817620,819107,820041,838259,830754,839433",85,94,16,10
68,188065,0.0576,1,"820827,820775,838672,843747,841892,829966,818316,838250,844230,842833,830128",97,106,11,10
69,177444,0.0556,1,"816270,832057,837778,818343,844343,831861,819107,817620,820041,839433,816545,843095,817499,838259,830754",89,98,15,10
