term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
490	0.859	['AT2G26360', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	57	69	6	13
848	0.8056	['AT2G26360', 'AT3G17830', 'AT4G36810', 'AT4G25910', 'AT2G41680', 'AT3G14420']	68	77	6	10
977	0.4066	['AT1G16880', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT3G19490', 'AT4G33010', 'AT5G42270']	72	84	7	13
902	0.3792	['AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	69	84	5	16
1030	0.3356	['AT1G54780', 'AT1G65230', 'AT2G26340', 'AT3G21055', 'AT5G01220', 'AT5G07020', 'AT5G08050', 'AT5G52440']	73	90	8	18
1775	0.3333	['AT1G56500', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT3G19490', 'AT4G33010', 'AT5G42270']	91	102	7	12
968	0.33	['AT1G03160', 'AT1G14345', 'AT1G16880', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT3G19490', 'AT4G33010', 'AT5G42270']	72	82	9	11
888	0.3117	['AT1G54780', 'AT1G65230', 'AT2G26340', 'AT3G21055', 'AT5G01220', 'AT5G07020', 'AT5G08050']	69	79	7	11
368	0.3056	['AT2G26550', 'AT3G56040', 'AT1G44575', 'AT1G65230', 'AT1G71500', 'AT1G79040']	54	63	6	10
1787	0.3037	['AT1G56500', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	91	105	6	15
994	0.2967	['AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270', 'AT1G80380', 'AT3G19490', 'AT1G16880', 'AT1G14345', 'AT1G03160', 'AT1G67700']	73	82	10	10
900	0.2925	['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	69	82	7	14
338	0.2727	['AT1G44575', 'AT1G65230', 'AT1G71500', 'AT2G26550', 'AT3G56040']	53	63	5	11
643	0.269	['AT1G54780', 'AT2G26340', 'AT3G21055', 'AT5G01220', 'AT5G07020', 'AT5G08050']	61	79	6	19
231	0.2172	['AT1G44575', 'AT1G65230', 'AT1G71500', 'AT2G26550', 'AT3G46610', 'AT3G56040']	50	60	6	11
1264	0.2167	['AT2G18790', 'AT2G29180', 'AT1G16880', 'AT1G14345', 'AT1G67700', 'AT1G03160']	79	88	6	10
1342	0.2167	['AT2G18790', 'AT2G29180', 'AT1G14345', 'AT1G67700', 'AT1G03160', 'AT1G16880']	81	90	6	10
335	0.2111	['AT2G26550', 'AT3G56040', 'AT1G44575', 'AT1G71500', 'AT1G65230', 'AT4G28025']	53	62	6	10
1590	0.2	['AT2G18790', 'AT2G29180', 'AT1G14345', 'AT1G56500', 'AT1G03090', 'AT1G03160']	87	96	6	10
1412	0.1889	['AT2G18790', 'AT2G29180', 'AT1G14345', 'AT1G56500', 'AT1G03160', 'AT1G67700']	83	92	6	10
506	0.1602	['AT1G03850', 'AT1G16790', 'AT1G54780', 'AT2G26340', 'AT3G21055', 'AT5G01220', 'AT5G07020']	58	68	7	11
483	0.1574	['AT1G03850', 'AT1G16790', 'AT1G54780', 'AT2G26340', 'AT3G21055', 'AT5G07020']	57	68	6	12
1961	0.15	['AT3G08920', 'AT1G16880', 'AT5G42270', 'AT1G56500', 'AT1G14345', 'AT1G03160']	97	106	6	10
1136	0.1444	['AT2G21530', 'AT4G38100', 'AT1G50450', 'AT1G67840', 'AT4G19830', 'AT1G74880']	76	85	6	10
1393	0.1435	['AT1G50450', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830', 'AT4G38100']	82	93	6	12
1957	0.1429	['AT2G26340', 'AT1G54780', 'AT5G07020', 'AT3G21055', 'AT5G52440', 'AT5G01220', 'AT4G28025']	97	106	7	10
301	0.14	['AT2G22360', 'AT5G01220', 'AT4G28025', 'AT1G22450', 'AT3G01440', 'AT4G37925', 'AT5G07020', 'AT2G29180', 'AT1G32500', 'AT1G16880']	52	61	10	10
1519	0.1381	['AT1G16880', 'AT2G29500', 'AT2G30695', 'AT3G08920', 'AT5G08540']	85	98	5	14
1614	0.1333	['AT1G16880', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT3G08920']	87	99	5	13
1398	0.1282	['AT1G50450', 'AT1G67840', 'AT2G21530', 'AT4G19830', 'AT4G38100']	82	94	5	13
525	0.1179	['AT2G26340', 'AT5G01220', 'AT3G21055', 'AT5G07020', 'AT5G08050', 'AT1G54780', 'AT1G16790', 'AT1G03850', 'AT3G26080', 'AT5G62720', 'AT1G27510', 'AT1G54790', 'AT1G05385']	59	68	13	10
696	0.1162	['AT1G51350', 'AT1G75690', 'AT3G25480', 'AT3G28850', 'AT4G16155', 'AT5G52440']	63	73	6	11
1604	0.1157	['AT1G16880', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT3G08920', 'AT5G08540']	87	98	6	12
946	0.1111	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700']	71	82	7	12
991	0.1111	['AT2G01140', 'AT4G19830', 'AT2G21530', 'AT4G38100', 'AT1G50450', 'AT1G74880']	73	82	6	10
833	0.1082	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700']	67	77	7	11
723	0.1048	['AT3G25480', 'AT1G75690', 'AT3G28850', 'AT1G51350', 'AT4G16155', 'AT5G52440', 'AT1G50460']	64	73	7	10
1505	0.1032	['AT1G02560', 'AT1G16880', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920', 'AT5G08540']	85	96	7	12
491	0.094	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G67840', 'AT2G21530', 'AT4G38100']	57	69	6	13
1707	0.0926	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT3G08920']	89	103	6	15
829	0.0917	['AT3G15840', 'AT3G28850', 'AT1G51350', 'AT1G75690', 'AT4G16155', 'AT1G22450', 'AT3G46780', 'AT4G27700']	67	76	8	10
1584	0.0917	['AT2G29500', 'AT5G08540', 'AT1G67700', 'AT2G30695', 'AT3G08920', 'AT1G16880', 'AT2G44990', 'AT1G02560']	87	96	8	10
476	0.0909	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G65260', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G38100']	57	67	8	11
1193	0.0909	['AT1G22020', 'AT1G51350', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT5G53170', 'AT5G59250']	77	87	7	11
437	0.0889	['AT3G21055', 'AT5G07020', 'AT1G54780', 'AT3G25480', 'AT3G46780', 'AT5G08540']	56	65	6	10
808	0.088	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155']	66	77	6	12
1759	0.0866	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830']	91	101	7	11
531	0.0833	['AT3G08920', 'AT3G01440', 'AT1G14345', 'AT1G67700', 'AT4G37925', 'AT4G27700']	59	68	6	10
1443	0.0833	['AT2G01140', 'AT1G65260', 'AT1G21750', 'AT2G37400', 'AT2G21530', 'AT1G67840', 'AT1G74880', 'AT4G19830', 'AT4G38100', 'AT1G50450']	84	93	10	10
1689	0.0833	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	89	99	8	11
892	0.0808	['AT1G22020', 'AT1G51350', 'AT3G15840', 'AT3G28850', 'AT4G27700', 'AT5G59250']	69	79	6	11
