Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
5813	0.9444	5	12	1	1	1	1
5796	0.9192	6	11	0	1	1	0
5860	0.9111	6	10	1	1	1	1
767	0.9	6	10	0	0	0	1
5788	0.9	7	10	0	1	1	0
5644	0.899	6	11	1	1	1	0
777	0.8848	5	11	1	0	0	1
5695	0.881	7	10	1	1	1	0
1269	0.8788	6	11	1	0	0	1
5487	0.8778	6	10	1	1	0	1
1096	0.8722	5	12	1	0	1	1
4395	0.8619	7	10	1	0	1	1
2278	0.8611	5	12	1	0	0	0
2575	0.8606	5	11	1	0	0	1
2970	0.8535	6	11	1	1	0	1
2564	0.85	6	10	0	0	0	0
2274	0.8434	6	11	0	0	0	1
2129	0.8389	5	12	1	0	1	1
1444	0.8381	7	10	1	0	1	1
4172	0.8333	6	13	1	1	1	1
1083	0.8333	7	10	0	0	1	1
3545	0.8333	5	12	1	0	1	1
2115	0.8292	8	10	0	0	1	1
2264	0.8286	7	10	0	0	0	0
3697	0.8278	6	10	1	1	0	0
5251	0.8268	7	11	1	1	1	1
2118	0.8232	6	11	0	0	0	0
4854	0.7958	8	10	1	0	1	1
2963	0.7926	9	10	0	1	1	1
4526	0.7875	8	10	1	1	0	0
3859	0.7619	7	10	1	0	1	1
5327	0.7378	15	10	0	0	0	1
5557	0.7222	6	10	1	1	1	1
4646	0.7167	6	10	1	0	1	1
912	0.7111	9	10	1	0	0	1
4146	0.697	5	11	1	0	0	1
4956	0.6667	5	11	1	1	1	1
1793	0.6487	13	10	0	0	1	1
185	0.6485	11	10	0	0	1	0
4140	0.6467	10	10	0	0	1	1
5334	0.6465	6	11	1	1	1	0
3533	0.6458	8	10	0	0	1	1
3535	0.6407	7	11	1	0	1	1
2569	0.6389	6	10	1	0	0	0
5049	0.6296	9	10	1	1	1	0
4005	0.6278	6	10	1	1	0	0
2415	0.619	7	10	1	0	1	1
4273	0.6167	8	10	1	1	0	0
3863	0.6048	7	10	1	0	1	1
5055	0.6	8	10	0	1	1	1
4946	0.6	9	10	0	1	0	0
5857	0.5889	6	10	1	1	1	1
3234	0.5872	13	10	1	0	1	1
3707	0.5818	5	11	1	0	1	1
5061	0.5801	7	11	0	1	1	1
1802	0.5801	7	11	1	0	0	0
4272	0.58	10	10	1	0	0	1
3691	0.5778	9	10	0	1	0	0
4396	0.5762	7	10	1	1	1	1
3089	0.5758	5	11	1	1	1	0
1089	0.5758	5	11	1	0	0	0
5155	0.5708	8	10	1	1	0	1
2845	0.57	10	10	1	1	0	0
4949	0.5671	7	11	0	1	1	0
3237	0.5619	7	10	1	1	1	1
5558	0.5556	6	10	1	1	1	0
5247	0.5481	9	10	1	1	1	1
2713	0.5444	6	10	1	1	1	0
561	0.5417	6	12	1	0	0	1
277	0.5333	10	10	1	0	0	0
4523	0.5333	6	10	0	1	0	0
2269	0.5292	8	10	1	0	0	0
5076	0.5278	5	12	1	1	1	1
4753	0.5222	6	10	1	1	0	0
4532	0.5152	5	11	1	0	1	1
4858	0.5152	5	11	1	1	0	1
4008	0.5152	11	10	1	0	0	1
452	0.5111	6	10	1	0	0	1
1959	0.5111	12	10	0	0	0	0
2840	0.5095	7	10	1	0	0	0
4962	0.5093	6	12	1	0	0	1
4401	0.4952	7	10	0	1	1	1
4655	0.4944	5	12	1	0	1	1
2717	0.4933	10	10	1	0	1	1
2128	0.4889	5	12	1	1	1	1
2413	0.4833	6	10	1	1	1	0
3384	0.4778	6	10	1	1	0	0
5631	0.4762	7	10	0	1	0	1
3527	0.4738	14	10	0	0	1	1
1080	0.4718	13	10	0	0	1	1
3690	0.4704	9	10	0	0	0	0
1966	0.4697	6	11	1	0	0	1
1450	0.4667	7	10	1	0	1	1
5412	0.4646	6	11	1	1	1	1
191	0.4632	7	11	1	0	0	0
910	0.4625	8	10	0	0	0	1
1261	0.4625	8	10	1	0	0	1
3739	0.4619	5	14	1	0	0	1
5786	0.4545	11	10	0	1	1	1
4394	0.4513	13	10	1	0	1	1
4408	0.4485	5	11	1	0	1	1
1260	0.4476	7	10	1	1	0	0
5799	0.4455	10	11	0	1	1	0
3887	0.4402	6	13	1	0	1	1
5484	0.44	10	10	0	0	0	1
3706	0.4394	6	11	0	0	1	1
2110	0.4381	7	10	0	1	1	0
4644	0.437	9	10	0	0	1	1
5640	0.4364	5	11	1	1	1	0
1113	0.4316	6	13	0	1	0	0
1797	0.4278	6	10	1	1	1	0
5496	0.4242	9	11	1	1	0	0
3534	0.4242	5	11	1	0	1	1
5784	0.419	7	10	1	1	1	0
1263	0.4167	8	10	1	1	0	1
924	0.4087	7	12	1	0	0	1
769	0.4074	9	10	1	0	1	1
5831	0.4061	11	10	0	1	0	0
4850	0.4051	13	10	0	0	1	1
1148	0.3958	5	16	1	0	1	1
3875	0.3929	7	12	0	1	1	0
5413	0.3788	8	11	0	1	1	0
4761	0.3788	8	11	1	1	1	0
5242	0.375	8	10	0	0	1	1
5363	0.373	6	14	1	1	0	0
2965	0.3727	11	10	0	1	0	1
2113	0.3722	12	10	0	0	1	1
3081	0.3641	13	10	0	0	0	1
4522	0.3636	11	10	1	0	0	0
5052	0.3545	11	10	1	0	1	1
5428	0.3532	7	12	1	1	1	0
4135	0.3481	9	10	0	1	1	1
4947	0.3481	9	10	1	0	0	0
542	0.3444	9	10	1	0	0	1
3860	0.3444	9	10	0	1	1	1
1622	0.3417	12	10	0	0	0	0
2123	0.3409	8	11	0	0	1	0
5409	0.3405	14	10	0	1	1	1
3873	0.3403	8	12	1	1	1	1
4149	0.3394	10	11	0	1	1	1
3531	0.337	9	10	1	1	1	1
4859	0.3333	8	11	0	1	0	1
4153	0.3299	8	12	1	1	1	1
2568	0.3292	8	10	1	0	0	0
5821	0.3291	6	13	1	1	1	0
2565	0.3273	11	10	1	0	0	1
3387	0.3233	10	10	0	1	0	0
4138	0.3182	11	10	0	1	1	0
2127	0.3175	7	12	0	0	1	1
1631	0.3168	11	11	1	0	0	1
2412	0.3148	9	10	0	0	1	1
3084	0.3148	9	10	1	0	0	0
3451	0.3148	7	18	1	0	0	0
2971	0.3144	8	11	1	0	1	1
2715	0.3125	8	10	1	0	0	1
5835	0.3117	7	11	1	1	1	1
5335	0.3113	11	11	0	1	1	0
2447	0.3111	7	15	0	0	1	1
2165	0.3098	5	17	1	0	1	1
5692	0.3033	10	10	1	1	1	1
3862	0.297	11	10	0	1	1	0
4869	0.2857	7	13	1	1	0	1
5560	0.2833	10	10	0	1	1	1
5258	0.2778	5	12	1	0	1	1
5854	0.2778	9	10	1	1	1	1
2969	0.2727	10	11	1	0	0	1
2524	0.272	5	25	1	0	0	1
4778	0.2579	6	14	1	1	0	0
4134	0.2571	7	10	1	0	1	1
3388	0.25	8	11	1	1	1	1
911	0.2429	7	10	1	0	0	0
1321	0.2407	6	15	1	0	0	1
2133	0.2381	7	13	1	0	0	1
5343	0.2381	7	12	0	1	0	0
1149	0.2375	5	16	1	0	0	1
2856	0.2361	8	12	1	0	0	1
293	0.2271	7	13	1	0	0	0
4275	0.2271	16	10	0	0	0	1
5354	0.2265	6	13	1	1	1	1
209	0.2183	6	14	1	0	0	0
4170	0.2137	6	13	1	1	1	0
5577	0.2111	5	12	1	1	1	1
4751	0.2093	18	10	0	0	0	1
3241	0.2074	9	10	0	0	1	0
3381	0.2067	10	10	0	0	0	1
2734	0.2051	5	13	1	0	0	1
3085	0.2042	8	10	0	0	0	0
2855	0.202	9	11	0	0	0	1
776	0.2	5	11	1	0	0	0
5626	0.2	7	10	1	1	0	0
5866	0.1936	18	11	1	1	1	0
5873	0.1917	8	10	1	1	0	1
2125	0.1694	10	12	0	1	1	0
1958	0.1692	13	10	1	0	0	0
200	0.1667	7	12	0	0	0	0
284	0.165	9	11	0	0	0	1
5407	0.1639	24	10	0	1	1	0
2733	0.162	6	12	0	1	1	0
5783	0.1619	7	10	1	1	1	1
4760	0.1562	13	11	0	1	1	0
5850	0.1545	16	12	1	1	0	0
5248	0.1533	10	10	1	1	1	0
4420	0.1528	6	12	1	0	1	1
3094	0.1515	6	11	0	0	0	1
5694	0.151	17	10	0	1	1	0
5698	0.149	12	11	1	1	1	0
5743	0.1479	16	10	0	0	0	1
3240	0.1474	19	10	0	1	1	1
2968	0.147	22	10	0	1	0	0
3242	0.1455	5	11	1	1	0	1
4974	0.1453	9	13	0	1	1	0
2410	0.1429	14	10	0	1	1	0
188	0.1417	8	10	0	0	0	0
1268	0.1396	16	10	0	0	0	1
279	0.1394	11	10	0	0	0	1
3293	0.1389	6	16	1	0	1	1
1794	0.1389	6	10	1	0	1	0
5648	0.1338	11	12	0	0	0	0
3696	0.1333	12	10	1	0	0	0
1795	0.1333	8	10	1	1	1	0
4766	0.1319	12	12	1	0	0	0
2111	0.1313	16	10	0	1	1	0
1095	0.1293	15	11	0	0	0	1
1466	0.1278	5	12	1	0	1	0
2574	0.1273	5	11	1	1	1	0
3151	0.1255	5	17	1	1	1	1
2267	0.1244	15	10	1	0	0	0
5632	0.1227	22	10	0	0	0	1
4289	0.1227	12	12	0	0	0	1
3413	0.1224	7	14	1	1	0	1
2714	0.1216	17	10	0	1	1	1
1454	0.1162	6	11	0	1	1	0
5068	0.1157	6	12	1	0	1	1
5822	0.1154	12	13	1	1	1	0
5747	0.1152	5	11	1	1	0	1
5643	0.1142	13	11	0	1	0	0
4525	0.1096	38	10	0	0	0	1
1445	0.1083	8	10	0	0	1	1
5159	0.1082	7	11	1	0	1	1
2001	0.1042	5	16	1	0	0	0
3218	0.1024	5	28	1	0	0	1
5833	0.1024	28	10	0	0	0	1
3083	0.1	6	10	0	1	0	1
5436	0.0989	7	13	0	0	1	1
656	0.0985	8	11	1	1	0	1
4700	0.098	10	17	0	1	1	1
2434	0.0974	10	13	1	0	0	1
3443	0.0963	11	17	0	0	1	0
5841	0.0956	26	11	0	1	0	1
1639	0.0952	7	12	0	0	0	1
4692	0.0947	11	16	0	1	1	1
3316	0.0944	10	18	0	1	1	1
5449	0.0926	6	15	1	0	1	1
2721	0.0909	11	11	1	1	0	1
932	0.0909	11	12	0	0	0	1
4925	0.09	5	20	1	1	1	1
3502	0.0897	9	26	0	0	0	0
3497	0.0893	10	25	0	1	1	1
2424	0.088	12	12	0	1	1	1
4945	0.0877	19	10	0	0	0	0
5059	0.0875	9	11	0	0	1	1
3036	0.0867	5	20	1	1	1	1
4961	0.086	21	12	0	0	0	1
