parent	child
0	4174
0	2127
0	2128
0	2129
0	4179
0	4180
0	4181
0	4187
0	2146
0	183
0	184
0	186
0	189
0	200
0	201
0	203
0	4312
0	4313
0	4314
0	4316
0	2276
0	2277
0	2278
0	2280
0	2290
0	302
0	305
0	306
0	307
0	311
0	313
0	4436
0	4437
0	4438
0	4439
0	4440
0	2418
0	2419
0	2421
0	2422
0	2423
0	2424
0	421
0	423
0	440
0	4549
0	4550
0	4551
0	4552
0	4553
0	4556
0	4557
0	4175
0	4176
0	2131
0	3498
0	2562
0	2563
0	2564
0	2565
0	3500
0	536
0	537
0	3503
0	550
0	551
0	558
0	4662
0	4664
0	4665
0	4667
0	4670
0	4676
0	602
0	647
0	651
0	2700
0	2701
0	2702
0	2703
0	2704
0	658
0	2710
0	4775
0	4776
0	4778
0	4779
0	4792
0	712
0	764
0	766
0	767
0	768
0	4880
0	4883
0	4885
0	4886
0	2848
0	2849
0	2850
0	2851
0	2852
0	2853
0	2860
0	838
0	842
0	890
0	4988
0	893
0	894
0	895
0	896
0	4995
0	901
0	5000
0	3011
0	3012
0	3014
0	3015
0	3016
0	3017
0	5088
0	5089
0	5090
0	5092
0	5093
0	1023
0	1024
0	1025
0	1026
0	1028
0	5186
0	5188
0	5189
0	5190
0	5191
0	5193
0	3169
0	3170
0	3171
0	3172
0	1166
0	1168
0	1169
0	1170
0	5272
0	5273
0	5275
0	5276
0	5277
0	5284
0	1246
0	4987
0	5670
0	5672
0	4990
0	5368
0	5369
0	5371
0	5372
0	5373
0	3332
0	3333
0	3335
0	3336
0	3338
0	3355
0	1310
0	1312
0	1315
0	1316
0	1317
0	1325
0	5447
0	5449
0	5450
0	5451
0	5453
0	5454
0	5461
0	5523
0	5524
0	5525
0	5526
0	5527
0	5529
0	3493
0	3495
0	1452
0	1453
0	1454
0	1455
0	3504
0	1462
0	5595
0	5601
0	5602
0	5603
0	5604
0	5608
0	5615
0	5619
0	5665
0	5666
0	5667
0	5668
0	5671
0	1576
0	1577
0	1579
0	1580
0	3643
0	3644
0	3645
0	3646
0	3647
0	5735
0	5736
0	5737
0	5738
0	5739
0	5740
0	5741
0	5749
0	1702
0	5799
0	5800
0	1705
0	1706
0	5803
0	5805
0	3781
0	3783
0	3784
0	3785
0	3787
0	5845
0	5846
0	5847
0	5848
0	5849
0	5852
0	5853
0	5855
0	5863
0	5878
0	5880
0	5882
0	5883
0	5884
0	5891
0	5896
0	5897
0	5900
0	5901
0	5902
0	1849
0	1850
0	1852
0	1854
0	3918
0	3919
0	3920
0	3923
0	3924
0	3930
0	3937
0	1986
0	1987
0	1988
0	1989
0	4048
0	4050
0	4052
0	1703
0	1704
0	5801
0	5802
183	194
186	217
194	209
201	262
201	216
203	205
209	225
216	249
216	223
217	228
223	300
223	236
225	238
249	252
252	275
275	279
279	301
307	326
311	317
311	319
313	382
317	327
423	425
423	427
423	494
423	439
425	434
439	448
440	455
536	539
539	556
550	560
647	663
651	673
651	669
658	676
673	693
712	717
717	723
764	774
766	779
767	776
767	811
774	790
779	796
790	810
810	815
815	822
893	903
894	953
894	924
895	897
896	914
897	920
897	907
901	929
903	925
924	935
925	927
927	936
929	940
935	984
936	943
943	975
975	983
983	1014
1023	1041
1023	1030
1025	1031
1028	1035
1030	1040
1031	1049
1035	1045
1040	1081
1041	1080
1045	1047
1047	1061
1049	1063
1061	1066
1063	1076
1066	1089
1081	1104
1089	1101
1101	1106
1104	1160
1106	1147
1147	1152
1160	1165
1168	1176
1169	1180
1170	1173
1173	1203
1180	1184
1184	1197
1197	1207
1207	1230
1230	1243
1243	1250
1250	1286
1286	1294
1294	1298
1310	1329
1312	1355
1312	1361
1315	1326
1316	1322
1317	1328
1322	1336
1336	1347
1347	1371
1361	1385
1371	1382
1382	1388
1452	1470
1454	1461
