parent	child
0	2051
0	2052
0	4141
0	4142
0	4143
0	4145
0	4146
0	4147
0	4148
0	4149
0	4152
0	6225
0	6226
0	6227
0	6228
0	6229
0	6230
0	6231
0	6232
0	6233
0	6268
0	6269
0	6270
0	6271
0	6273
0	6274
0	6275
0	6281
0	6297
0	6298
0	6299
0	6301
0	6302
0	6303
0	6304
0	6305
0	6306
0	2211
0	2213
0	2216
0	2217
0	2218
0	6315
0	6316
0	6317
0	6318
0	6319
0	6320
0	6321
0	2226
0	6323
0	4276
0	4277
0	4278
0	183
0	4280
0	4281
0	187
0	188
0	202
0	205
0	206
0	305
0	306
0	308
0	309
0	4407
0	4408
0	4409
0	4410
0	4415
0	325
0	2384
0	2385
0	2389
0	2405
0	421
0	424
0	436
0	4539
0	4541
0	4542
0	4553
0	2541
0	2543
0	2544
0	2545
0	2546
0	532
0	534
0	537
0	553
0	4668
0	4674
0	4683
0	643
0	648
0	649
0	650
0	656
0	658
0	4795
0	4796
0	4798
0	4799
0	4800
0	4801
0	767
0	768
0	769
0	770
0	771
0	772
0	2844
0	2847
0	2848
0	2850
0	2851
0	804
0	4908
0	4909
0	4910
0	4911
0	4913
0	886
0	887
0	891
0	892
0	893
0	895
0	5002
0	5043
0	5044
0	5045
0	5046
0	5047
0	3001
0	3002
0	3003
0	3005
0	3006
0	3008
0	5064
0	5624
0	1019
0	1022
0	1023
0	1024
0	1025
0	1026
0	1033
0	5180
0	5181
0	5182
0	5183
0	5184
0	5188
0	185
0	3163
0	3167
0	3168
0	3169
0	3173
0	1166
0	1186
0	1189
0	1190
0	1191
0	1198
0	5303
0	5304
0	5305
0	5306
0	5307
0	3300
0	3301
0	3302
0	3304
0	3305
0	3328
0	5417
0	5419
0	5420
0	5421
0	5423
0	5428
0	1351
0	1352
0	1354
0	1355
0	1357
0	1358
0	1360
0	3434
0	3435
0	3437
0	3439
0	3440
0	3441
0	3442
0	3467
0	5530
0	5532
0	5533
0	5535
0	1474
0	3575
0	3576
0	3577
0	3578
0	1533
0	1534
0	1535
0	1536
0	1537
0	3587
0	3591
0	5648
0	5649
0	5650
0	5651
0	5652
0	5654
0	5686
0	3646
0	1975
0	5051
0	1644
0	1653
0	3726
0	3727
0	3728
0	3729
0	3730
0	3731
0	3733
0	5782
0	5783
0	5784
0	5785
0	5787
0	5788
0	5789
0	3744
0	1702
0	1707
0	1708
0	1804
0	3881
0	3883
0	3885
0	3886
0	1878
0	1879
0	1880
0	1881
0	3931
0	1886
0	1888
0	1905
0	4009
0	4011
0	4012
0	4016
0	6066
0	6068
0	6069
0	6070
0	6071
0	6072
0	6073
0	4433
0	2046
0	2047
2051	2062
2052	2059
2055	2086
2059	2092
2062	2068
2067	2093
5125	5165
4911	4921
2092	2100
4147	4150
2100	2106
4149	4151
4152	4182
5812	5831
2106	2123
2123	2131
2123	2125
6225	6235
6228	6249
6229	6237
6229	6257
5817	5832
6233	6244
6235	6252
5186	5200
6246	6267
6247	6263
6253	6265
3091	3099
6268	6282
6268	6278
6270	6287
6281	6292
5051	5054
2413	2442
2413	2428
4546	4560
4915	4931
6298	6313
6299	6307
6301	6314
6302	6311
6304	6309
2211	2220
2213	2241
2216	2228
2216	2221
2217	2227
2218	2224
2226	2272
2228	2245
4277	4299
4277	4293
183	201
4280	4283
185	190
187	213
190	207
201	219
202	209
202	222
202	217
207	226
2256	2279
209	215
215	224
222	228
222	296
222	302
222	253
228	254
4334	4360
5648	5679
3459	3482
4825	4897
5533	5571
5533	5543
6072	6092
296	299
299	303
309	314
4407	4417
4407	4419
314	320
314	321
314	315
4415	4449
320	331
321	328
4307	4334
328	337
4425	4439
331	332
332	345
4921	4929
4450	4461
2404	2408
2404	2413
2405	2426
2408	2439
3815	3822
2428	2437
4480	4520
2439	2445
5530	5542
5189	5195
421	441
424	440
424	431
431	443
4299	4307
4541	4544
4541	4546
4541	4556
4542	4548
4556	4567
4560	4568
5425	5434
4567	4577
4568	4595
4568	4596
5608	5620
5543	5575
2541	2568
2543	2564
2544	2550
2545	2551
4595	4644
2550	2556
2551	2582
3839	3880
2556	2652
6231	6243
6231	6246
532	546
534	544
2587	2627
546	550
550	562
4674	4676
4676	4687
6241	6253
5282	5288
4683	4694
4694	4703
6244	6258
4703	4715
6226	6241
6237	6247
6249	6259
5058	5085
643	661
648	653
650	651
651	671
653	663
658	750
658	751
671	686
5575	5608
5651	5677
4798	4809
4800	4807
4807	4816
4809	4818
2850	2874
4816	4825
4816	4839
5241	5272
4451	4480
2853	2929
4839	4845
750	757
767	785
769	783
770	798
771	776
772	782
776	820
782	795
785	805
2847	2853
2847	2877
2848	2852
2851	2860
805	812
812	818
4596	4618
4910	4923
4913	4916
820	842
4923	4926
2877	2883
4926	4953
4929	4937
4937	4943
4943	5001
4953	5032
4953	4966
2874	2887
4966	5030
6075	6089
2929	2970
886	904
887	905
887	924
891	901
893	909
895	908
5002	5020
908	1004
909	916
4931	5022
916	922
922	952
922	1002
5029	5038
5030	5036
5038	5041
5043	5058
5045	5052
3002	3059
3003	3018
3005	3013
3006	3016
3232	3241
3016	3028
3018	3021
3021	3038
4439	4451
3028	3032
5079	5096
3032	3051
5085	5133
3038	3041
3041	3091
3198	3214
5096	5125
3051	3065
1004	1006
5288	5301
1019	1030
1022	1031
1024	1029
1026	1157
1029	1043
1030	1036
1030	1149
1033	1045
1036	1042
1042	1073
1042	1150
1045	1080
3099	3108
6297	6310
3931	3953
3108	3127
5218	5244
5832	5845
1073	1161
3923	3962
5183	5186
5183	5189
5184	5190
5195	5210
3583	3598
5210	5218
3168	3175
3169	3172
4283	4296
4283	4292
3172	3186
3173	3181
3175	3177
3175	3179
3179	3247
3179	3191
5309	5319
3186	3188
3188	3232
3191	3198
1149	1160
1160	1162
5272	5282
2245	2256
1186	1238
1198	1202
1202	1234
5303	5313
5305	5314
5306	5309
5307	5358
5313	5325
5325	5353
1234	1308
3300	3310
5329	5355
3304	3308
3305	3306
3305	3307
3328	3334
5381	5390
5388	5396
5355	5381
5402	5407
3363	3377
5396	5403
5417	5492
5423	5425
5423	5461
5001	5021
3727	3741
1352	1359
1354	1362
1357	1361
