term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
6313	0.9444	2	817176,818766,821051,823899,828697,829834	97	107	6	11
5741	0.9137	2	817176,821051,823899,828697,829834	88	104	5	17
6232	0.9	1	828697,818766,823899,821051,817176,829490,829834	95	104	7	10
1900	0.8889	2	817176,821051,828697,829490,829834	61	72	5	12
5789	0.8843	1	817176,821051,823899,828697,829490,829834	89	100	6	12
6069	0.8843	1	817176,820665,821051,823899,828697,829834	92	103	6	12
1023	0.8778	1	828697,818766,823899,821051,817176,829834	56	65	6	10
1888	0.8687	1	817176,821051,823899,828697,829490,829834	61	71	6	11
5181	0.8667	1	828697,820665,823899,821051,817176,829490,829834	84	93	7	10
1724	0.8667	2	817176,821051,823899,828697,829834	60	71	5	12
4146	0.8611	1	828697,823899,821051,817176,829490,829834	76	85	6	10
5654	0.8611	1	828697,818766,823899,821051,817176,829834	88	97	6	10
4916	0.8545	2	817176,818766,821051,828697,829834	82	92	5	11
3059	0.8489	2	817176,821051,823899,828697,829834	68	82	5	15
3328	0.8419	1	817176,820665,821051,823899,828697,829834	70	82	6	13
6298	0.8407	1	814930,828697,818766,823899,821137,821051,817176,829490,829834	97	106	9	10
4913	0.8407	1	828697,818766,820665,823899,821051,817176,829490,829266,829834	82	91	9	10
4668	0.837	1	828697,820665,823899,821137,821051,817176,829490,829266,829834	80	89	9	10
3002	0.8333	1	828697,820665,823899,821051,817176,829834	68	77	6	10
3334	0.8333	2	817176,820665,821051,828697,829834	70	83	5	14
4410	0.8238	1	828697,818766,820665,823899,821051,817176,829834	78	87	7	10
3163	0.8125	1	828697,828608,823899,821051,817176,823814,829490,829834	69	78	8	10
2062	0.8106	2	817176,818766,821137,821051,828697,829266,829490,829834	62	72	8	11
2068	0.8056	3	817176,818766,821051,828697,829266,829834	62	73	6	12
1351	0.8056	1	823899,821137,843687,821051,829490,829834	58	67	6	10
2218	0.7963	1	828697,818766,821137,843687,821051,817176,829490,829266,829834	63	72	9	10
3588	0.7841	2	814930,817176,818766,820665,821051,823899,828697,829834	72	82	8	11
2224	0.7835	2	843687,817176,818766,821051,828697,829266,829834	63	73	7	11
2051	0.7818	1	828697,828608,818766,820665,823899,821137,821051,817176,829490,829266,829834	62	71	11	10
3731	0.7704	1	814930,828697,818766,820665,823899,821051,817176,829266,829834	73	82	9	10
3597	0.7619	3	814930,817176,818766,820665,821051,828697,829834	72	83	7	12
5420	0.7567	1	814930,828697,828608,818766,820665,821051,817176,823814,829266,829834	86	95	10	10
3610	0.7564	4	814930,818766,820665,821051,828697,829834	72	84	6	13
2848	0.7292	1	828608,823899,821137,843687,839449,823814,829490,829266	67	76	8	10
3885	0.7185	1	814930,828697,818766,820665,821051,840144,817196,817176,829834	74	83	9	10
5044	0.7037	1	814930,828697,818766,821051,840144,817196,817176,823814,829834	83	92	9	10
5046	0.7	1	828608,821137,843687,839449,829490,829266	83	92	6	10
2385	0.6881	1	828697,828608,818766,820665,843687,839449,821051,824770,817176,823814,841033,844245,829266,829834	64	73	14	10
772	0.6879	1	814930,828697,818766,820665,823899,821483,821051,816394,817176,829438,829834	54	63	11	10
3435	0.6741	1	814930,828608,818766,821137,843687,840144,817196,829490,829266	71	80	9	10
2852	0.6727	2	839449,843687,823814,828608,829266	67	77	5	11
1702	0.6571	1	814930,828697,818766,820665,823899,839449,821051,824770,817176,823814,841033,844245,829834,838259	60	69	14	10
5180	0.6556	1	828608,843687,839449,817196,823814,829266	84	93	6	10
4795	0.6381	1	828608,821137,843687,839449,823814,841033,829266	81	90	7	10
1190	0.6286	1	828697,828608,821137,843687,829490,829266,838259	57	66	7	10
4796	0.6167	1	814930,828697,818766,834232,821483,821051,844378,829438	81	90	8	10
3576	0.6067	1	814930,828697,818766,820665,823899,834232,821483,821051,816394,840144,817467,817176,829438,829834,838259	72	81	15	10
4142	0.5905	1	814930,818766,820665,821483,840144,817196,835320	76	85	7	10
904	0.5818	2	839449,843687,823814,828608,829266	55	65	5	11
1534	0.5778	1	814930,828608,821137,843687,821483,840144,823814,829266,838259	59	68	9	10
5539	0.5758	2	839449,841033,843687,844245,817196,823814,824770,828608,829266	87	97	9	11
2400	0.5714	2	839449,841033,844245,823814,824770,828608,829266	64	75	7	12
1191	0.5708	1	818766,820665,816394,817467,817176,844378,829438,829834	57	66	8	10
5649	0.5667	1	828608,843687,839449,824770,840144,817196,823814,841033,844245,829266	88	97	10	10
3728	0.5611	1	828608,839449,824770,823814,841033,844245	73	82	6	10
4676	0.5606	2	844378,814930,818766,821483,829438,834232	80	90	6	11
5532	0.56	1	828608,843687,839449,824770,817196,823814,841033,843491,844245,829266	87	96	10	10
3001	0.5593	1	828608,843687,839449,824770,823814,841033,843491,844245,829266	68	77	9	10
4281	0.5583	1	828608,843687,839449,824770,823814,841033,843491,844245	77	86	8	10
3167	0.5571	1	814930,818766,820665,821483,840144,817196,838259	69	78	7	10
6315	0.5556	1	828608,821137,843687,839449,829490,829266	98	107	6	10
4141	0.5556	1	821137,843687,834232,839449,824770,844378,841033,829438,844245	76	85	9	10
4674	0.5542	1	814930,818766,834232,821483,840144,817196,844378,829438	80	89	8	10
6090	0.5516	3	839449,843687,817196,823814,828608,829266	92	105	6	14
4157	0.5515	2	839449,841033,843687,844245,824770	76	86	5	11
2241	0.5513	2	839449,841033,844245,823814,824770,828608	63	75	6	13
782	0.5455	2	814930,816394,817176,820665,821483,828697,829438	54	64	7	11
1025	0.5429	1	828608,843687,839449,840144,823814,829266,838259	56	65	7	10
3735	0.5394	2	841033,844245,823814,824770,828608	73	83	5	11
6271	0.5367	1	814930,828608,820665,843687,839449,821483,840144,817196,823814,829266	96	105	10	10
891	0.5303	1	814930,828697,820665,821483,816394,840144,817467,817176,829490,829438,838259	55	64	11	10
4548	0.5273	2	840144,844378,821483,829438,834232	79	89	5	11
2086	0.5238	3	839449,841033,844245,823814,824770	62	75	5	14
4687	0.5222	3	844378,814930,821483,829438,834232	80	91	5	12
2213	0.5208	1	828608,839449,824770,842830,823814,841033,843491,844245	63	72	8	10
2568	0.5198	2	838259,840144,814930,817196,818766,821483	65	78	6	14
537	0.5167	1	828697,828608,821137,843687,839449,840144,823814,829490,829266,838259	52	61	10	10
2844	0.5143	1	814930,818766,821483,840144,817196,835320,838259	67	76	7	10
2047	0.5143	1	843687,839449,824770,823814,841033,843491,844245	62	71	7	10
436	0.5104	1	839449,838259,843687,821137,823814,828608,829266,829490	51	62	8	12
3441	0.5056	1	839449,824770,823814,841033,843491,844245	71	80	6	10
5788	0.5046	1	839449,841033,842103,843687,814930,818766	89	100	6	12
325	0.5018	1	839449,838259,843687,821137,823814,828608,829266	50	62	7	13
1880	0.5	1	821483,840144,817196,823814,835320,838259	61	70	6	10
2055	0.4949	2	839449,841033,843491,844245,823814,824770	62	72	6	11
4145	0.4917	1	828608,830593,842830,817174,823814,843491,841919,829266	76	85	8	10
2272	0.4917	2	838259,840144,814930,817196,821483	63	78	5	16
4284	0.4909	2	841033,843491,844245,823814,824770	77	87	5	11
213	0.4857	2	838259,843687,821137,828608,829266	49	62	5	14
6066	0.4848	1	839449,840144,841033,843491,843687,844245,817196,823814,824770,828608,829266	92	103	11	12
2226	0.4798	1	838259,840144,814930,817196,821483,835320	63	73	6	11
5716	0.475	2	840144,844245,817196,823814,824770	88	103	5	16
6082	0.4744	2	839449,841033,843491,843687,844245,817196,823814,824770,828608,829266	92	104	10	13
2541	0.4697	1	838259,840144,814930,816394,817196,817467,818766,821483	65	75	8	11
886	0.4697	1	828608,821137,843687,839449,824770,842830,823814,841033,843491,844245,829266	55	64	11	10
4408	0.4606	1	814930,830593,824770,817196,842830,817174,823814,841033,843491,841919,844245	78	87	11	10
1354	0.4593	1	828608,839449,824770,817196,823814,841033,843491,844245,838259	58	67	9	10
5812	0.4556	2	840144,843491,844245,817196,823814,824770	89	103	6	15
795	0.4556	3	814930,816394,820665,821483,829438	54	65	5	12
4009	0.4556	1	828608,830593,817196,842830,817174,823814,841033,843491,841919	75	84	9	10
6230	0.4545	1	828608,821137,843687,839449,824770,817196,823814,841033,843491,844245,829266	95	104	11	10
901	0.4545	2	814930,816394,817467,820665,821483,829438	55	65	6	11
1355	0.45	1	814930,821483,816394,840144,828884,829438	58	67	6	10
187	0.4444	1	828608,821137,843687,829490,829266,838259	49	58	6	10
6071	0.4444	1	844378,814930,816394,817467,821137,821483,829438,829490,834232	92	103	9	12
3479	0.4429	3	816394,817467,821483,829438,834232	71	84	5	14
5831	0.4417	3	843491,844245,817196,823814,824770	89	104	5	16
3898	0.4405	3	841919,842830,843491,817174,823814,828608,830593	74	85	7	12
4909	0.437	1	814930,834232,821483,842103,816394,840144,817467,844378,829438	82	91	9	10
4276	0.4333	1	821483,816394,840144,817196,817467,838259	77	86	6	10
643	0.4282	1	828608,821137,843687,839449,824770,842830,823814,829490,841033,843491,844245,829266,838259	53	62	13	10
3887	0.4242	2	841033,841919,842830,843491,817174,823814,828608,830593	74	84	8	11
