Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
8258	0.9455	5	11	1	1	0	1
7970	0.8933	5	15	1	1	1	1
2508	0.8833	5	12	1	0	0	1
8140	0.877	7	12	1	1	0	0
7026	0.8722	5	12	1	0	1	1
1148	0.8564	5	13	1	0	0	1
858	0.8556	5	12	1	0	0	0
8254	0.8524	7	10	0	1	0	1
3528	0.8352	7	13	1	0	0	1
2760	0.8333	6	11	1	0	0	1
2497	0.8292	8	10	0	0	0	1
8177	0.8258	8	11	1	1	1	0
1421	0.8241	6	12	1	0	0	1
7951	0.8148	6	12	0	1	1	0
3288	0.8143	5	14	1	0	1	1
7738	0.8129	7	14	1	1	0	0
3940	0.8067	10	10	1	0	0	0
4532	0.8056	6	14	0	0	1	1
6543	0.7992	8	11	1	0	1	1
4536	0.7956	5	15	1	0	0	0
6389	0.7937	7	12	1	1	1	1
5472	0.7917	8	10	1	0	0	0
1135	0.7879	9	11	0	0	0	1
7944	0.7851	11	11	0	0	1	1
5851	0.7841	8	11	1	0	1	1
4891	0.781	7	10	1	0	1	1
7016	0.7803	8	11	0	0	1	1
8276	0.7792	7	11	1	1	1	0
208	0.7729	7	13	1	0	0	0
5075	0.7667	8	10	1	0	0	0
200	0.7654	9	12	0	0	0	0
8268	0.7639	12	10	0	1	1	1
7012	0.7639	12	10	0	0	1	1
6858	0.7626	6	11	1	1	1	1
3516	0.7576	9	11	0	0	0	1
7650	0.7556	5	15	1	0	1	1
6854	0.75	8	10	0	1	0	0
418	0.7455	10	11	1	0	1	0
6533	0.74	10	10	0	0	0	0
8280	0.737	9	10	1	1	1	0
7941	0.7357	14	10	0	1	1	0
7718	0.734	9	11	0	1	1	0
1408	0.7333	11	10	0	0	0	1
7621	0.7316	7	11	0	0	1	1
1711	0.7303	10	11	1	0	0	1
3274	0.7222	7	12	0	0	1	1
6378	0.7152	11	10	0	0	1	1
1971	0.7119	14	10	0	0	0	1
849	0.7111	9	10	0	0	0	0
1976	0.7091	5	11	1	0	0	1
7495	0.7083	8	12	1	1	0	1
633	0.7051	13	10	1	0	0	1
4512	0.6956	15	10	0	0	1	1
7713	0.6941	17	10	0	0	0	1
185	0.6917	12	10	0	0	1	0
2235	0.6857	7	10	1	0	1	1
4515	0.6843	12	11	0	0	0	0
5081	0.6835	9	11	1	0	1	1
3512	0.6824	17	10	0	0	0	1
7191	0.6806	8	12	0	0	0	1
3270	0.6775	14	11	0	0	0	0
2756	0.6727	11	10	0	0	1	1
7483	0.6725	17	10	0	1	0	0
8176	0.6706	17	10	0	1	1	0
4699	0.6667	13	10	1	1	0	0
7232	0.6625	5	16	1	1	0	1
7211	0.6548	6	14	0	1	0	1
6198	0.6537	7	11	1	0	1	1
7488	0.6527	13	11	0	1	1	1
6202	0.6494	7	11	1	0	1	1
3273	0.6468	7	12	1	1	1	1
8096	0.6453	6	13	1	1	1	1
6856	0.6389	6	10	1	0	0	0
2755	0.6367	10	10	1	0	1	1
7721	0.6364	8	11	1	1	1	0
7177	0.6361	12	10	0	1	0	0
4901	0.6349	7	12	0	0	1	1
8213	0.6333	7	10	1	1	0	1
