parent	child
0	172033
0	172035
0	172037
0	172038
0	28370
0	90145
0	188484
0	28686
0	172121
0	172127
0	172131
0	172134
0	172135
0	137486
0	106617
0	106618
0	106619
0	106620
0	106622
0	106623
0	106624
0	106630
0	188553
0	106634
0	106636
0	106637
0	106638
0	106639
0	106640
0	106641
0	106643
0	106644
0	106646
0	106652
0	106653
0	106655
0	106656
0	106657
0	106658
0	106659
0	106660
0	106661
0	106662
0	106663
0	106664
0	184349
0	184
0	172217
0	186
0	188
0	189
0	188610
0	188611
0	203
0	106700
0	106705
0	227
0	188646
0	188649
0	184360
0	188659
0	188661
0	106754
0	184363
0	24860
0	106789
0	106793
0	184372
0	172376
0	172377
0	184379
0	124305
0	69693
0	69694
0	165269
0	124310
0	69697
0	124311
0	69698
0	172430
0	124312
0	172434
0	184387
0	106900
0	69700
0	24987
0	69701
0	124315
0	188836
0	188839
0	165277
0	188848
0	188852
0	165278
0	25015
0	188858
0	188863
0	124320
0	188866
0	188868
0	124321
0	124322
0	124323
0	124324
0	8671
0	8672
0	8673
0	8674
0	124326
0	188902
0	8683
0	162049
0	124328
0	124329
0	57848
0	162035
0	57866
0	33309
0	33310
0	33311
0	57890
0	33315
0	33322
0	33324
0	33331
0	33332
0	33333
0	33334
0	33335
0	33336
0	33337
0	33338
0	33340
0	33348
0	33349
0	33350
0	33355
0	33356
0	33365
0	33366
0	25175
0	25176
0	176228
0	33370
0	33371
0	33372
0	25183
0	33378
0	25187
0	33392
0	33394
0	25208
0	25212
0	74373
0	74374
0	74375
0	74380
0	74381
0	74382
0	74383
0	74386
0	74388
0	74389
0	74390
0	74393
0	74394
0	74395
0	74399
0	74408
0	74409
0	120266
0	62923
0	33483
0	185807
0	33570
0	25385
0	25390
0	107312
0	148296
0	148297
0	148301
0	148302
0	188557
0	148304
0	148305
0	148307
0	148308
0	188558
0	148311
0	188559
0	5605
0	148328
0	148329
0	148331
0	148332
0	188564
0	172926
0	188565
0	33665
0	188566
0	33670
0	33671
0	33674
0	33676
0	33677
0	33678
0	33679
0	33682
0	165361
0	162066
0	115694
0	133971
0	115701
0	183125
0	133975
0	50226
0	50230
0	50231
0	50232
0	50233
0	50234
0	50235
0	50239
0	50242
0	50243
0	106680
0	188601
0	50264
0	50267
0	90298
0	50271
0	50273
0	50277
0	50278
0	188604
0	50283
0	174952
0	174953
0	174954
0	69325
0	33926
0	28681
0	181399
0	115870
0	183152
0	174961
0	113430
0	181423
0	23413
0	90315
0	181470
0	181471
0	181483
0	181484
0	181485
0	181486
0	181487
0	181488
0	181489
0	181490
0	181491
0	181495
0	181497
0	181498
0	181502
0	93056
0	181508
0	174977
0	93059
0	183173
0	174984
0	183179
0	83270
0	165195
0	165212
0	75110
0	75113
0	75114
0	165232
0	165234
0	101269
0	101270
0	124300
0	124301
0	165262
0	165264
0	165266
0	165267
0	165268
0	165270
0	165271
0	165272
0	165275
0	124316
0	124317
0	124318
0	165280
0	165281
0	165282
0	165284
0	124325
0	124327
0	165288
0	124330
0	124331
0	124346
0	124347
0	124348
0	124349
0	124350
0	124351
0	124352
0	124353
0	124354
0	124355
0	124357
0	124359
0	124362
0	124367
0	124368
0	124369
0	124370
0	124371
0	124374
0	124375
0	124376
0	124379
0	124380
0	124381
0	124382
0	124383
0	124386
0	124387
0	124388
0	124389
0	124390
0	124391
0	124393
0	124395
0	124396
0	124397
0	124398
0	124399
0	124401
0	165365
0	175020
0	165439
0	165443
0	99960
0	99962
0	99977
0	99979
0	99986
0	99988
0	99991
0	99992
0	99993
0	99994
0	99995
0	99996
0	99997
0	99998
0	99999
0	100000
0	100001
0	100002
0	100006
0	100007
0	100008
0	100009
0	100010
0	100013
0	100014
0	100015
0	100016
0	100020
0	141002
0	141003
0	141004
0	141007
0	141008
0	141009
0	141010
0	141012
0	141013
0	141014
0	141017
0	141019
0	141020
0	141021
0	141022
0	141023
0	141024
0	141025
0	141026
0	141027
0	141028
0	141029
0	141030
0	173799
0	141032
0	182000
0	26449
0	26455
0	51032
0	51034
0	100200
0	100201
0	100205
0	106821
0	188285
0	1963
0	1964
0	1965
0	1966
0	1969
0	1970
0	1976
0	1978
0	1980
0	1985
0	1998
0	152007
0	124971
0	124988
0	23565
0	125021
0	44055
0	26790
0	93212
0	26796
0	26807
0	26819
0	26833
0	26836
0	26837
0	125143
0	26842
0	26843
0	125160
0	19496
0	24977
0	184381
0	27046
0	27047
0	141747
0	158797
0	172451
0	11814
0	188847
0	19005
0	19006
0	188853
0	19013
0	19014
0	188861
0	94657
0	94663
0	125646
0	174949
0	133952
0	133953
0	133954
0	133955
0	133959
0	133966
0	183120
0	133970
0	183123
0	133972
0	133973
0	133974
0	183127
0	133976
0	133977
0	133978
0	133979
0	183142
0	187537
0	183144
0	183148
0	183150
0	93039
0	93040
0	174963
0	174964
0	93046
0	93051
0	93052
0	93053
0	93054
0	93055
0	183168
0	93057
0	93058
0	76675
0	93060
0	93061
0	93062
0	93063
0	93064
0	93065
0	93066
0	93067
0	93068
0	93069
0	93070
0	93071
0	93072
0	174993
0	174998
0	183192
0	93089
0	93090
0	93092
0	93095
0	93096
0	93099
0	93100
0	93102
0	93105
0	93106
0	93107
0	93108
0	93109
0	93110
0	93111
0	93112
0	93113
0	93114
0	93115
0	93116
0	93127
0	93129
0	175057
0	175060
0	175062
0	175063
0	175064
0	175065
0	175067
0	175068
0	175069
0	175070
0	175071
0	175076
0	175077
0	175078
0	175105
0	183298
0	187564
0	44050
0	44051
0	44052
0	44053
0	44054
0	44056
0	44057
0	44059
0	44060
0	44061
0	44062
0	44063
0	44064
0	44065
0	44066
0	44067
0	44068
0	44069
0	44070
0	44071
0	44072
0	44073
0	44074
0	44075
0	44076
0	44077
0	44078
0	44079
0	44080
0	44087
0	44094
0	44097
0	44101
0	44103
0	44105
0	44107
0	44108
0	44109
0	44113
0	44114
0	44117
0	44119
0	158808
0	109662
0	158818
0	174959
0	158836
0	150651
0	38763
0	38764
0	44173
0	183438
0	38765
0	183442
0	158873
0	181235
0	158881
0	38769
0	158898
0	158904
0	167100
0	158921
0	158922
0	158923
0	158924
0	158926
0	158927
0	158930
0	188602
0	93443
0	38785
0	44296
0	44313
0	44315
0	38795
0	175435
0	93532
0	183694
0	183695
0	93590
0	93616
0	19915
0	60886
0	168529
0	69099
0	69103
0	69104
0	69105
0	69106
0	69107
0	69108
0	69109
0	69110
0	28151
0	44536
0	28154
0	28155
0	69117
0	28158
0	28161
0	28162
0	28163
0	93700
0	28172
0	28173
0	28176
0	168536
0	28178
0	28179
0	28180
0	28181
0	28182
0	28183
0	28184
0	28185
0	69150
0	69153
0	11812
0	11813
0	11815
0	11823
0	69171
0	69172
0	33374
0	69174
0	69179
0	69186
0	159311
0	159325
0	33675
0	5579
0	44310
0	69288
0	69290
0	1991
0	93882
0	28351
0	69313
0	69319
0	69320
0	3785
0	3788
0	3789
0	3793
0	3794
0	3795
0	3796
0	3813
0	69359
0	28402
0	174981
0	93991
0	25231
0	184225
0	90153
0	118755
0	118776
0	118777
0	118780
0	118781
0	118783
0	118784
0	118791
0	118792
0	118797
0	118800
0	118801
0	118802
0	118803
0	118804
0	118805
0	118806
0	118807
0	118808
0	118809
0	118811
0	118812
0	184350
0	118815
0	118816
0	118818
0	118819
0	118820
0	118821
0	118822
0	118830
0	184368
0	118838
0	118839
0	118840
0	118841
0	118842
0	118843
0	118845
0	118846
0	118851
0	118852
0	118853
0	118854
0	118856
0	118857
0	118860
0	118861
0	118862
0	118863
0	118864
0	69729
0	69699
0	69732
0	119485
0	184444
0	184445
0	184446
0	184447
0	184448
0	184449
0	184450
0	184452
0	184455
0	184462
0	184463
0	184464
0	20631
0	174990
0	151779
0	184583
0	184601
0	184602
0	151847
0	69928
0	69931
0	69937
0	69949
0	69959
0	69982
0	184681
0	70005
0	70034
0	70044
0	70046
0	70052
0	70053
0	70056
0	184766
0	184767
0	184769
0	184770
0	184773
0	184775
0	70091
0	184786
0	184790
0	152027
0	152039
0	152044
0	152045
0	152047
0	152052
0	152056
0	152060
0	119293
0	119295
0	179627
0	152074
0	152075
0	152076
0	152079
0	152081
0	29236
0	168518
0	168525
0	168526
0	86607
0	86609
0	168530
0	86611
0	86612
0	86613
0	86614
0	86615
0	86616
0	86617
0	86618
0	86619
0	86620
0	86621
0	86622
0	86623
0	86624
0	168545
0	168549
0	86635
0	86636
0	86637
0	86640
0	86641
0	86642
0	152181
0	86646
0	86648
0	168570
0	86652
0	86657
0	86663
0	184968
0	86665
0	86668
0	86669
0	86671
0	168593
0	184978
0	86675
0	86676
0	86677
0	86687
0	168612
0	86693
0	168620
0	168626
0	119479
0	168633
0	168635
0	168637
0	168639
0	168640
0	168641
0	168642
0	168643
0	168646
0	168647
0	168648
0	168670
0	119597
0	107310
0	86828
0	86829
0	86835
0	86841
0	86843
0	119617
0	119621
0	119623
0	119627
0	119631
0	160592
0	86914
0	86915
0	86918
0	86919
0	86921
0	86922
0	152485
0	86952
0	28150
0	37832
0	69114
0	28159
0	28160
0	177167
0	28164
0	103504
0	103505
0	103510
0	69141
0	69142
0	69144
0	177327
0	186569
0	177346
0	177356
0	177367
0	144613
0	144614
0	144615
0	144620
0	144627
0	144628
0	144636
0	144637
0	144638
0	144640
0	26839
0	144659
0	87318
0	177436
0	112858
0	177444
0	177446
0	177451
0	177455
0	177457
0	177463
0	177476
0	177480
0	112866
0	112871
0	185712
0	185722
0	185728
0	185729
0	185730
0	185731
0	185732
0	185733
0	185734
0	185740
0	62865
0	62866
0	62867
0	62868
0	62869
0	62870
0	62871
0	62872
0	120235
0	184382
0	62894
0	120249
0	87487
0	62919
0	62921
0	62922
0	5580
0	5581
0	5582
0	5583
0	5585
0	87509
0	162041
0	62937
0	137466
0	185824
0	62947
0	62948
0	62949
0	185832
0	62963
0	137470
0	5629
0	112897
0	120348
0	87603
0	112905
0	137483
0	137484
0	137485
0	112910
0	112912
0	28263
0	137490
0	95898
0	162094
0	79700
0	79703
0	79704
0	79706
0	79707
0	79708
0	79712
0	79713
0	79714
0	79715
0	79716
0	79717
0	79718
0	79722
0	79723
0	79724
0	79725
0	79726
0	38767
0	79728
0	79729
0	79730
0	79731
0	79732
0	79733
0	79735
0	79736
0	79738
0	79739
0	38780
0	79742
0	79743
0	38784
0	79749
0	79751
0	79752
0	79754
0	79755
0	79757
0	71588
0	38844
0	38846
0	38870
0	79835
0	79882
0	79883
0	79887
0	79889
0	79890
0	79891
0	121177
0	121183
0	79997
0	80000
0	80007
0	39071
0	39075
0	39081
0	121002
0	39084
0	39092
0	38754
0	186567
0	112841
0	112842
0	71953
0	80077
0	112847
0	112848
0	162003
0	112852
0	112854
0	112855
0	112856
0	112857
0	112859
0	112860
0	112861
0	112862
0	112863
0	112864
0	112865
0	39138
0	112867
0	112868
0	112869
0	112870
0	112872
0	112873
0	112876
0	112877
0	112878
0	69331
0	112885
0	162038
0	112887
0	112888
0	69332
0	137468
0	186624
0	186627
0	137481
0	137482
0	112913
0	112914
0	112915
0	71959
0	71966
0	186655
0	186660
0	186662
0	88361
0	162096
0	162112
