Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
88001	0.3111	6	15	1	0	1	1
11823	0.3056	6	10	1	0	0	1
87603	0.2823	7	14	0	0	0	1
69153	0.2444	6	10	1	1	1	0
106653	0.2381	7	10	1	1	1	0
3813	0.2323	6	11	1	0	0	1
93116	0.2292	8	10	1	1	1	0
3796	0.2208	8	10	1	0	1	0
5583	0.219	7	10	1	0	0	1
106652	0.219	7	10	1	1	1	0
93115	0.1667	6	10	1	1	1	0
1998	0.1616	6	11	0	0	1	0
69172	0.1593	9	10	1	1	1	0
2006	0.1389	5	12	1	0	1	1
125845	0.1376	7	18	1	0	0	0
141747	0.134	6	17	1	0	1	1
141032	0.1333	6	10	1	0	0	1
130374	0.1275	8	17	1	0	1	1
121926	0.1267	6	25	1	1	1	0
188139	0.1263	6	11	1	1	1	0
162147	0.1238	7	10	0	0	0	1
118777	0.119	7	10	0	1	1	1
213	0.1167	5	12	1	0	1	0
1991	0.1162	6	11	1	0	1	0
100020	0.1111	6	10	1	0	0	1
50243	0.1111	6	10	1	1	1	0
162873	0.1111	6	15	1	1	1	1
5594	0.1074	11	11	1	0	1	0
77463	0.1062	7	26	1	0	0	0
124320	0.1037	9	10	0	0	0	0
8674	0.1026	13	10	1	0	1	0
23520	0.1026	7	13	1	1	1	1
71219	0.1018	5	19	1	0	0	1
165280	0.1	8	10	1	0	1	1
1976	0.1	6	10	1	0	1	1
155446	0.1	6	10	1	1	1	0
93114	0.1	7	10	1	1	0	0
134444	0.0958	10	16	1	0	0	0
58476	0.0952	7	19	1	0	0	1
163287	0.0924	7	17	0	1	0	0
126936	0.0917	5	24	1	0	0	0
28263	0.0909	8	11	0	1	0	0
23688	0.0905	5	14	1	1	0	0
126947	0.0903	8	24	1	0	0	0
160956	0.0884	6	22	1	1	1	1
93129	0.0875	8	10	1	1	0	0
164066	0.0873	6	21	1	1	1	0
162178	0.0871	8	11	0	1	0	0
179762	0.0866	7	11	0	0	1	1
162216	0.0866	7	11	1	0	1	1
70621	0.0858	8	17	1	0	0	1
180024	0.0855	6	13	0	0	1	1
23466	0.0855	6	13	0	0	0	1
124312	0.0852	9	10	0	0	0	0
69359	0.0833	6	12	0	1	1	1
141136	0.0833	12	12	1	0	0	0
179630	0.0833	8	10	0	1	0	0
148329	0.0833	6	10	1	0	0	1
160217	0.0833	8	18	0	1	1	0
162143	0.0833	8	10	0	1	0	0
76329	0.0823	9	18	0	0	0	0
33378	0.0818	10	11	0	0	0	1
46222	0.0807	5	19	1	0	0	1
132141	0.0806	7	26	0	1	1	1
155445	0.0806	12	10	1	0	0	0
33573	0.0802	9	12	0	1	1	0
159066	0.0802	9	12	0	1	1	0
35613	0.0794	5	21	1	0	0	0
162214	0.0793	13	11	0	1	1	1
182355	0.0792	5	16	1	1	1	1
177463	0.0788	11	10	1	1	1	0
58227	0.0784	6	17	0	0	0	1
34860	0.0778	5	18	1	1	1	0
148328	0.0778	6	10	1	0	0	1
133156	0.0774	5	31	1	1	1	1
148786	0.0774	12	14	1	0	0	0
106680	0.0771	11	11	0	1	0	1
155747	0.0769	11	13	1	1	1	1
162462	0.0769	9	13	0	1	0	0
159096	0.0764	12	12	1	1	1	1
57279	0.0762	15	14	1	1	1	0
165883	0.0758	11	14	1	1	1	0
172389	0.0758	11	12	1	1	1	0
126501	0.0758	6	22	0	0	0	0
23362	0.0754	7	12	1	0	1	1
126168	0.075	6	20	0	0	0	0
160544	0.075	6	20	0	1	1	0
131332	0.0743	8	23	0	1	1	1
100293	0.0741	9	12	1	0	0	0
45369	0.0739	11	16	1	1	1	0
93040	0.0733	10	10	1	1	1	1
129578	0.0733	10	10	1	1	1	0
69327	0.072	8	11	1	1	0	1
158898	0.0718	13	10	0	1	1	0
34859	0.0714	7	18	0	1	1	0
106630	0.0714	7	10	1	1	1	0
180182	0.0714	5	14	1	0	0	1
69471	0.0708	20	12	0	1	1	0
141707	0.0706	5	17	1	1	0	1
132142	0.0705	6	26	1	1	1	1
125653	0.07	7	17	0	0	1	0
148369	0.0699	13	11	0	1	1	1
70401	0.0698	7	15	0	0	0	1
162174	0.0697	10	11	0	1	0	1
57018	0.0694	17	13	0	0	0	0
167246	0.0688	8	20	1	1	1	1
34695	0.0686	6	17	0	0	0	1
155613	0.0685	15	12	0	0	0	0
131338	0.0685	11	23	0	1	1	1
74784	0.0675	7	12	0	0	0	1
134103	0.0675	14	12	0	0	0	0
134642	0.0673	11	18	1	0	0	0
2032	0.0673	8	13	1	0	1	0
35125	0.0673	6	19	0	0	0	0
35132	0.0673	6	19	0	0	0	1
130909	0.067	9	21	0	1	1	1
63634	0.067	18	13	1	0	0	1
100008	0.0667	10	10	0	0	0	0
70094	0.0667	5	14	1	1	1	1
106636	0.0667	6	10	1	1	1	0
74412	0.0667	10	11	0	1	0	1
174216	0.0667	5	20	1	1	1	1
112847	0.0667	12	10	1	0	0	0
181471	0.0667	11	10	0	1	1	0
160957	0.0667	5	22	1	1	1	1
34620	0.0662	8	17	0	0	0	1
45371	0.066	12	16	0	1	1	0
175105	0.0657	12	11	1	1	0	0
162679	0.0655	12	14	0	0	0	0
142985	0.0652	8	23	1	0	1	1
129889	0.0651	13	13	0	0	0	1
129891	0.0651	13	13	0	0	0	1
159090	0.0648	9	12	1	1	1	1
87597	0.0646	7	14	0	0	0	0
87600	0.0646	7	14	1	0	0	0
172033	0.0643	14	10	0	1	1	0
57282	0.0635	18	14	0	1	1	0
165276	0.0633	10	10	1	1	1	1
112905	0.063	9	10	1	0	0	1
183766	0.063	6	15	1	1	0	1
93113	0.063	9	10	1	1	1	1
129686	0.0628	14	11	0	0	0	1
141736	0.0627	5	17	1	0	1	1
183438	0.0627	9	13	0	1	0	0
141596	0.0625	9	16	0	0	0	0
125416	0.0625	8	16	0	0	0	1
166835	0.0617	9	18	0	1	1	1
173736	0.0617	9	18	1	1	1	0
69476	0.0614	19	12	0	1	1	0
130619	0.0614	10	19	0	1	0	1
130624	0.0614	10	19	1	0	0	1
142984	0.0612	9	23	1	1	1	1
133971	0.0611	18	10	0	0	0	0
126169	0.0611	6	20	1	0	0	0
126946	0.0611	5	24	1	0	0	0
166475	0.0609	13	16	0	1	1	0
93739	0.0609	8	13	0	1	0	1
40123	0.0608	10	17	1	0	1	1
183192	0.0606	7	11	0	0	1	1
185824	0.0606	8	11	0	1	1	1
23044	0.0606	11	10	0	1	1	0
162232	0.0606	5	11	1	1	0	0
172943	0.0604	13	14	0	1	1	0
45097	0.0603	14	15	0	0	0	1
168881	0.0602	12	12	1	0	0	0
40393	0.0602	8	18	1	0	0	1
38763	0.06	15	10	0	0	1	1
188059	0.06	10	10	0	1	1	0
58742	0.0596	5	19	1	0	0	1
181999	0.0595	10	14	0	1	1	0
165461	0.0593	15	12	0	1	1	0
130628	0.0592	8	19	1	0	0	0
40120	0.0588	10	17	0	0	0	1
