term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
101377	0.3048	['AT2G18790', 'AT1G03160', 'AT2G29180', 'AT1G80380', 'AT4G33010', 'AT5G42270', 'AT1G14345']	73	82	7	10
82160	0.2619	['AT1G03160', 'AT1G80380', 'AT5G42270', 'AT1G14345', 'AT4G33010', 'AT2G18790', 'AT2G29180']	69	78	7	10
161514	0.2611	['AT2G18790', 'AT3G08920', 'AT1G80380', 'AT1G16880', 'AT4G33010', 'AT2G29180']	98	107	6	10
160994	0.2545	['AT1G80380', 'AT2G18790', 'AT2G29180', 'AT3G08920', 'AT4G33010']	97	107	5	11
160995	0.2545	['AT1G16880', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT3G08920']	97	107	5	11
60614	0.2374	['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010']	65	75	6	11
160874	0.2278	['AT2G18790', 'AT3G08920', 'AT1G80380', 'AT5G42270', 'AT2G29180', 'AT4G33010']	97	106	6	10
4740	0.219	['AT3G56040', 'AT5G08540', 'AT1G71500', 'AT1G79040', 'AT2G26550', 'AT1G44575', 'AT1G65230']	52	61	7	10
92378	0.219	['AT1G03160', 'AT2G30695', 'AT1G67700', 'AT1G80380', 'AT4G33010', 'AT5G42270', 'AT1G14345']	71	80	7	10
65679	0.2125	['AT2G18790', 'AT1G03160', 'AT1G67700', 'AT1G80380', 'AT4G33010', 'AT1G14345', 'AT5G42270', 'AT2G29180']	66	75	8	10
158835	0.1857	['AT2G29500', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	95	104	7	10
65678	0.1815	['AT2G18790', 'AT1G03160', 'AT1G67700', 'AT1G80380', 'AT4G33010', 'AT1G14345', 'AT5G42270', 'AT2G30695', 'AT2G37660']	66	75	9	10
7812	0.1759	['AT1G80380', 'AT2G29180', 'AT3G08920', 'AT3G14420', 'AT4G27700', 'AT4G37925']	53	64	6	12
82158	0.1722	['AT1G03160', 'AT1G80380', 'AT5G42270', 'AT2G37660', 'AT1G67700', 'AT2G30695']	69	78	6	10
82159	0.1667	['AT1G03160', 'AT1G80380', 'AT5G42270', 'AT1G14345', 'AT1G67700', 'AT2G30695']	69	78	6	10
158834	0.1611	['AT2G29500', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT3G08920']	95	104	6	10
4759	0.1602	['AT1G72640', 'AT2G20260', 'AT2G29180', 'AT3G08920', 'AT3G14420', 'AT4G27700', 'AT4G33010']	52	62	7	11
65694	0.1593	['AT4G33010', 'AT1G03160', 'AT1G67700', 'AT3G08920', 'AT1G14345', 'AT1G80380', 'AT2G30695', 'AT2G37660', 'AT5G42270']	66	75	9	10
158837	0.1571	['AT2G29500', 'AT1G14345', 'AT1G03160', 'AT1G16880', 'AT5G42270', 'AT2G18790', 'AT2G29180']	95	104	7	10
160873	0.1519	['AT2G18790', 'AT3G08920', 'AT1G80380', 'AT5G42270', 'AT2G29180', 'AT1G16880', 'AT2G20260', 'AT1G03160', 'AT1G14345']	97	106	9	10
7776	0.1444	['AT4G33010', 'AT3G14420', 'AT2G20260', 'AT4G27700', 'AT3G08920', 'AT1G72640', 'AT4G37925', 'AT1G80380', 'AT2G29180']	53	62	9	10
119858	0.1424	['AT1G50450', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830', 'AT4G38100']	78	93	6	16
55974	0.1389	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT1G80380', 'AT2G30695', 'AT2G37660', 'AT3G08920', 'AT5G42270']	64	75	8	12
56256	0.1368	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT1G80380', 'AT2G30695', 'AT5G42270']	64	76	6	13
7811	0.1343	['AT1G67700', 'AT1G80380', 'AT2G29180', 'AT3G08920', 'AT3G14420', 'AT4G37925']	53	64	6	12
82157	0.1333	['AT1G03160', 'AT1G80380', 'AT3G08920', 'AT1G67700', 'AT2G30695', 'AT2G37660']	69	78	6	10
82298	0.1273	['AT1G03160', 'AT1G67700', 'AT2G30695', 'AT2G37660', 'AT3G08920']	69	79	5	11
