AT2G17630	['GO:0006564']
AT4G13670	[]
AT1G05385	['GO:0010207']
AT5G02160	['GO:0008150']
AT1G07510	['GO:0006508']
AT1G75690	['GO:0010206']
AT2G41680	['GO:0019430', 'GO:0055114', 'GO:0055114', 'GO:0043085', 'GO:0045454', 'GO:0042744', 'GO:0010380', 'GO:0043085', 'GO:0010581', 'GO:0043085']
AT3G10470	['GO:0006355', 'GO:0009555']
AT1G14150	['GO:0006810', 'GO:0009767']
AT2G18790	['GO:0006351', 'GO:0006355', 'GO:0009584', 'GO:0009585', 'GO:0018298', 'GO:0009409', 'GO:0009649', 'GO:0009638', 'GO:0009630', 'GO:0009687', 'GO:0010029', 'GO:0010161', 'GO:0010617', 'GO:0009867', 'GO:0031347', 'GO:0010148', 'GO:0010374', 'GO:0015979', 'GO:0006325', 'GO:0009640', 'GO:0010218', 'GO:0017012', 'GO:2000028', 'GO:0010244', 'GO:0009266', 'GO:0045892', 'GO:0010202']
AT1G67840	['GO:0010468', 'GO:0046777', 'GO:0080005']
AT1G31180	['GO:0009098', 'GO:0055114', 'GO:0009098']
AT5G08050	['GO:0080167', 'GO:0009658', 'GO:0045893', 'GO:0010027', 'GO:0010196', 'GO:0090391']
AT2G43010	['GO:0006351', 'GO:0006355', 'GO:0009585', 'GO:0010017', 'GO:0010161', 'GO:0009704', 'GO:0010600', 'GO:0010928', 'GO:0010244', 'GO:0010600']
AT2G42220	['GO:0008150']
AT1G23740	['GO:0009409', 'GO:0055114']
AT4G16155	[]
AT1G03160	['GO:0010027', 'GO:0010228', 'GO:0034051', 'GO:1902478']
AT4G35770	['GO:0007568', 'GO:0006979', 'GO:0009611', 'GO:0009753', 'GO:0007568', 'GO:0007568']
AT3G53560	['GO:0008150']
AT1G50250	['GO:0006508', 'GO:0007275', 'GO:0010027', 'GO:0010205', 'GO:0010206', 'GO:0010304']
AT4G38380	[]
AT4G25050	['GO:0009245', 'GO:0009416', 'GO:0006633', 'GO:0006633', 'GO:0009627', 'GO:0042335', 'GO:0009735']
AT2G40100	['GO:0009765', 'GO:0009768', 'GO:0015979', 'GO:0018298', 'GO:0018298', 'GO:0009637', 'GO:0010114', 'GO:0010218']
AT4G39460	['GO:0006810', 'GO:0006839', 'GO:0006839', 'GO:0009658', 'GO:0015805']
AT1G54780	['GO:0010206', 'GO:0016311']
AT4G27700	['GO:0007568']
AT3G15840	['GO:0010478']
AT4G37925	['GO:0006810', 'GO:0055114', 'GO:0010258']
AT1G06690	['GO:0055114']
AT1G29920	['GO:0009768', 'GO:0015979', 'GO:0009637', 'GO:0010114', 'GO:0010218', 'GO:0009750']
AT5G19500	['GO:0003333', 'GO:0006865', 'GO:0015801']
AT2G30695	['GO:0006457', 'GO:0015031']
AT4G13010	['GO:0055114']
AT5G07020	['GO:0009735', 'GO:0061635']
AT1G14345	[]
AT5G42765	['GO:0008150']
AT1G27510	['GO:0000304', 'GO:0010343']
AT1G03090	['GO:0006552', 'GO:0006552']
AT1G15140	['GO:0055114', 'GO:0009735']
AT4G33010	['GO:0006546', 'GO:0019464', 'GO:0055114', 'GO:0055114', 'GO:0006546', 'GO:0046686']
AT1G67280	['GO:0005975', 'GO:0009409', 'GO:0019243']
AT4G23890	['GO:0006810', 'GO:0009767']
AT2G20260	['GO:0015979', 'GO:0009735']
AT2G30950	['GO:0006508', 'GO:0007275', 'GO:0010027', 'GO:0010205', 'GO:0010304', 'GO:0010205', 'GO:0030163', 'GO:0072593', 'GO:0010206', 'GO:0009735', 'GO:0048564']
AT5G20140	['GO:0006979']
AT2G26550	['GO:0006788', 'GO:0006788', 'GO:0015979', 'GO:0010024']
AT1G79450	['GO:0008150']
AT5G52440	['GO:0009306', 'GO:0045038', 'GO:0009409', 'GO:1902458', 'GO:1903426', 'GO:2000070']
AT4G39960	['GO:0006457', 'GO:0006457', 'GO:0009408']
AT2G40760	['GO:0007568']
AT2G41330	['GO:0045454']
AT2G40400	['GO:0007275', 'GO:0009741', 'GO:0015995']
AT3G46780	['GO:0007623']
AT4G31560	['GO:0010190']
AT4G20820	['GO:0055114']
AT1G44575	['GO:0015979', 'GO:0015979', 'GO:0055085', 'GO:0010196', 'GO:0010196', 'GO:0080167', 'GO:0010027']
AT5G42070	['GO:0008150']
AT1G65230	['GO:0008150']
AT3G15360	['GO:0006662', 'GO:0034599', 'GO:0045454', 'GO:0055114', 'GO:0006979', 'GO:0043085', 'GO:0006109', 'GO:0043086', 'GO:0009735']
AT5G39830	['GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0010206']
AT2G29500	['GO:0009408', 'GO:0006979', 'GO:0009408', 'GO:0009644', 'GO:0042542']
AT2G21160	['GO:0008150']
AT2G20270	['GO:0045454', 'GO:0045454', 'GO:0009735']
AT1G74880	['GO:0006810', 'GO:0055114', 'GO:0010258']
AT1G79040	['GO:0015979', 'GO:0010270', 'GO:0009735']
AT3G22690	['GO:0010027', 'GO:0048564', 'GO:0009451', 'GO:0010207', 'GO:0010380', 'GO:0009409']
AT5G42270	['GO:0006508', 'GO:0007275', 'GO:0010027', 'GO:0010206', 'GO:0010304', 'GO:0010205', 'GO:0030163', 'GO:0009735', 'GO:0048564']
AT2G21530	['GO:0008150']
AT1G56500	['GO:0008152', 'GO:0045454', 'GO:0010196']
AT1G22020	['GO:0006544', 'GO:0006544', 'GO:0006563', 'GO:0006563', 'GO:0035999']
AT1G17850	['GO:0008150']
AT1G21750	['GO:0006457', 'GO:0045454', 'GO:0034976', 'GO:0009793', 'GO:0043067', 'GO:0048316', 'GO:0010043', 'GO:0009735']
AT4G24930	['GO:0008150']
AT2G37660	[]
AT4G18370	['GO:0006508', 'GO:0006508', 'GO:0010206']
AT5G19370	['GO:0009735']
AT1G74710	['GO:0009697', 'GO:0009627', 'GO:0009697', 'GO:0009617', 'GO:0009697', 'GO:0042372', 'GO:0031348', 'GO:0010118', 'GO:0042742', 'GO:0009627', 'GO:0050832', 'GO:0042372', 'GO:0009409']
AT1G66670	['GO:0006508']
AT4G31390	['GO:0006468', 'GO:0015996', 'GO:0080183', 'GO:1901562']
AT3G28850	['GO:0045454']
AT1G03600	['GO:0010207', 'GO:0010206', 'GO:0071484']
AT5G08540	['GO:0008150']
AT3G55330	['GO:0015979']
AT1G79230	['GO:0007568', 'GO:0009793']
AT3G47060	['GO:0006508']
AT5G13120	['GO:0000413', 'GO:0006457', 'GO:0006457', 'GO:0006810', 'GO:0010275']
AT1G78915	['GO:0008150']
AT5G16150	['GO:0035428', 'GO:0046323']
AT3G19490	['GO:0006814', 'GO:0006848', 'GO:0006814', 'GO:0009651']
AT2G29180	['GO:0008150']
AT2G26360	['GO:0006810', 'GO:0006839']
AT2G26800	['GO:0006551']
AT2G01918	['GO:0009767', 'GO:0009409']
AT1G50450	['GO:0055114']
AT5G52970	['GO:0008150']
AT5G62720	['GO:0008150']
AT3G56040	['GO:0009226']
AT1G12250	['GO:0008150']
AT1G54580	['GO:0006633', 'GO:0006633', 'GO:0009245']
AT4G25910	['GO:0016226', 'GO:0016226', 'GO:0009658', 'GO:0016226']
AT2G42975	['GO:0008150']
AT1G80380	['GO:0009854', 'GO:0016310', 'GO:0016310', 'GO:0009853']
AT4G28025	['GO:0008150']
AT3G10130	['GO:0008150']
AT3G21055	['GO:0015979']
AT3G60370	['GO:0010207']
AT1G54500	['GO:0010207', 'GO:0010207']
AT1G54050	['GO:0009408', 'GO:0009408', 'GO:0009644', 'GO:0042542']
AT4G01050	['GO:0009772']
AT5G53490	['GO:0008150']
AT2G37230	['GO:0008150', 'GO:0009409']
AT4G38100	[]
AT5G21430	['GO:0006810', 'GO:0055114']
AT1G80030	['GO:0006457', 'GO:0006457', 'GO:0009408']
AT4G01900	['GO:0006351', 'GO:0006355', 'GO:0006808', 'GO:2000013', 'GO:0042304', 'GO:0006807', 'GO:0009416', 'GO:0009718', 'GO:0009744']
AT3G24590	['GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0010027', 'GO:0010027', 'GO:0051604', 'GO:0006508']
AT3G01480	['GO:0000413', 'GO:0006457', 'GO:0006457']
AT4G33520	['GO:0030001', 'GO:0009767', 'GO:0035434', 'GO:0009767', 'GO:0055070', 'GO:0099131']
AT1G74070	['GO:0006457']
AT3G47450	['GO:0055114', 'GO:0006809', 'GO:0006979', 'GO:0009651', 'GO:0009657', 'GO:0010027', 'GO:0010322', 'GO:0048366', 'GO:0051246', 'GO:0010193']
AT2G22360	['GO:0006457', 'GO:0006457', 'GO:0009408']
AT3G17830	['GO:0006457', 'GO:0006457', 'GO:0009408']
AT3G26580	['GO:0008150']
AT1G65260	['GO:0010027', 'GO:0016050']
AT5G01500	['GO:0006810', 'GO:0006839', 'GO:0055085', 'GO:0010117', 'GO:0010206']
AT1G14590	['GO:0008150']
AT3G14420	['GO:0009854', 'GO:0055114', 'GO:0055114', 'GO:0042742', 'GO:0050665', 'GO:0009735']
AT1G72640	[]
AT2G37400	['GO:0008150']
AT3G08920	['GO:0008150', 'GO:0009409']
AT1G52220	['GO:0008150']
AT4G04020	['GO:0009737', 'GO:0010205', 'GO:0009409']
AT1G51110	[]
AT5G16660	['GO:0008150']
AT2G44990	['GO:0055114', 'GO:0010223', 'GO:0016121', 'GO:0016121', 'GO:0016124', 'GO:0010223', 'GO:0009926', 'GO:0016121', 'GO:1901601']
AT3G15110	['GO:0008150']
AT1G22450	['GO:0055114']
AT1G32500	['GO:0006810', 'GO:0016226', 'GO:0009793', 'GO:0010027']
AT1G16880	['GO:0008152', 'GO:0009409', 'GO:0009416', 'GO:0009744', 'GO:0009735']
AT1G03850	['GO:0045454', 'GO:0009735', 'GO:0050832']
AT1G20810	[]
AT5G53170	['GO:0006508', 'GO:0010304', 'GO:0009408', 'GO:0009644']
AT1G16790	['GO:0008150']
AT1G42960	['GO:0008150']
AT1G02560	['GO:0006508']
AT2G26340	['GO:0008150']
AT4G19830	[]
AT4G36810	['GO:0016117', 'GO:0033384', 'GO:0033386', 'GO:0045337', 'GO:0008299', 'GO:0043693', 'GO:0009793']
AT3G58010	['GO:0008150']
AT1G51350	['GO:0008150']
AT5G59250	['GO:0035428', 'GO:0046323']
AT1G71500	['GO:0042128', 'GO:0055114', 'GO:0010207', 'GO:0042549']
AT2G04030	['GO:0006457', 'GO:0006457', 'GO:0009793', 'GO:0009408', 'GO:0009414', 'GO:0009651', 'GO:0045037', 'GO:0009704', 'GO:0010157']
AT5G01220	['GO:0009247', 'GO:0016036', 'GO:0016036', 'GO:0046506', 'GO:0046506']
AT2G27290	['GO:0008150']
AT3G26080	['GO:0008150']
AT1G50460	['GO:0001678', 'GO:0006096', 'GO:0046835', 'GO:0006970', 'GO:0009409', 'GO:0009651', 'GO:0080147']
AT5G23890	[]
AT2G35040	['GO:0006164', 'GO:0006164', 'GO:0009409']
AT1G30510	['GO:0015979', 'GO:0055114', 'GO:0055114']
AT1G15820	['GO:0009768', 'GO:0018298', 'GO:0015979', 'GO:0010196', 'GO:0015979']
AT1G73530	['GO:0008150']
AT1G67700	['GO:0006518']
AT3G46610	['GO:0008150']
AT5G03455	['GO:0051301', 'GO:0055114', 'GO:0006468', 'GO:0046685', 'GO:0046685']
AT3G25480	['GO:0008150']
AT5G52780	['GO:0008150']
AT1G18730	['GO:0006810', 'GO:0009773', 'GO:0009773']
AT4G39730	['GO:0040008', 'GO:0009409', 'GO:0009414', 'GO:0009651']
AT2G01140	['GO:0006096', 'GO:0006098', 'GO:0006979', 'GO:0006094', 'GO:0006096']
AT5G12470	['GO:0007275']
AT1G55370	['GO:0005975']
AT1G10170	['GO:0000122', 'GO:0006355', 'GO:0006366', 'GO:0016567', 'GO:0009642', 'GO:0009651', 'GO:0010310', 'GO:0009697', 'GO:0010188', 'GO:0042742']
AT2G24020	['GO:0008150']
AT1G76760	['GO:0006662', 'GO:0034599', 'GO:0045454', 'GO:0055114', 'GO:0043085']
AT4G24750	['GO:0008150']
AT5G15250	['GO:0006508', 'GO:0006508', 'GO:0010027', 'GO:0010205', 'GO:0010206', 'GO:0010304']
AT3G57680	['GO:0035556']
AT1G54790	['GO:0016042']
AT5G35170	[]
AT3G01440	['GO:0006810', 'GO:0019684', 'GO:0009767']
