AT2G17630	[5, 5, 4]
AT4G13670	[3, 3, 5]
AT1G05385	[0]
AT5G02160	[]
AT1G07510	[6, 5, 6, 7]
AT1G75690	[3, 4, 3, 5]
AT2G41680	[2, 2, 2, 3, 4, 2, 3, 3]
AT3G10470	[3, 3, 6, 2]
AT1G14150	[5, 2]
AT2G18790	[3, 5, 1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 5, 5, 2, 4, 2, 2, 2, 5, 4, 2]
AT1G67840	[5, 4]
AT1G31180	[5, 5, 5, 4, 5]
AT5G08050	[0]
AT2G43010	[4, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
AT2G42220	[0]
AT1G23740	[6, 6, 5, 5]
AT4G16155	[5]
AT1G03160	[5, 2]
AT4G35770	[0, 0]
AT3G53560	[]
AT1G50250	[5, 6, 5, 5, 5, 7, 4, 5, 2]
AT4G38380	[]
AT4G25050	[2, 5, 3, 5]
AT2G40100	[4, 4, 4, 2, 4]
AT4G39460	[4]
AT1G54780	[6]
AT4G27700	[0]
AT3G15840	[0]
AT4G37925	[4, 3]
AT1G06690	[5, 2]
AT1G29920	[4, 2, 4]
AT5G19500	[4, 7]
AT2G30695	[0]
AT4G13010	[6, 2]
AT5G07020	[2, 2, 2, 2]
AT1G14345	[]
AT5G42765	[]
AT1G27510	[]
AT1G03090	[4, 5, 5, 6]
AT1G15140	[2, 2, 6]
AT4G33010	[5, 5, 5, 2]
AT1G67280	[4, 4, 4]
AT4G23890	[2, 3]
AT2G20260	[]
AT2G30950	[5, 6, 5, 5, 5, 6, 7, 4, 5, 5, 5, 5]
AT5G20140	[2, 4]
AT2G26550	[4, 4, 4, 4, 4]
AT1G79450	[]
AT5G52440	[5, 2]
AT4G39960	[5, 3, 4, 3]
AT2G40760	[0]
AT2G41330	[1, 5]
AT2G40400	[]
AT3G46780	[2, 2]
AT4G31560	[0]
AT4G20820	[1, 3, 4]
AT1G44575	[3, 4, 3]
AT5G42070	[0]
AT1G65230	[0]
AT3G15360	[2, 5, 4, 5, 3, 3]
AT5G39830	[5, 4, 3]
AT2G29500	[0]
AT2G21160	[]
AT2G20270	[4, 1, 5, 4, 4]
AT1G74880	[4, 3]
AT1G79040	[2]
AT3G22690	[6]
AT5G42270	[5, 6, 5, 5, 5, 7, 4, 5, 7]
AT2G21530	[]
AT1G56500	[2, 2]
AT1G22020	[5, 5, 3]
AT1G17850	[0]
AT1G21750	[5, 5, 5, 5, 2, 2, 2]
AT4G24930	[0]
AT2G37660	[6]
AT4G18370	[5, 4]
AT5G19370	[2, 2]
AT1G74710	[5, 5, 5]
AT1G66670	[5]
AT4G31390	[5, 5]
AT3G28850	[1, 5]
AT1G03600	[0]
AT5G08540	[0]
AT3G55330	[5]
AT1G79230	[5, 5, 5, 5, 5, 4]
AT3G47060	[5, 6, 5, 5, 5, 6, 7, 5]
AT5G13120	[4, 4, 2, 6]
AT1G78915	[]
AT5G16150	[6, 6, 7, 3, 3]
AT3G19490	[7, 8, 7, 5]
AT2G29180	[0]
AT2G26360	[]
AT2G26800	[5, 2, 5]
AT2G01918	[5, 2]
AT1G50450	[2]
AT5G52970	[0]
AT5G62720	[0]
AT3G56040	[]
AT1G12250	[0]
AT1G54580	[2, 3, 5]
AT4G25910	[6, 3, 1]
AT2G42975	[0]
AT1G80380	[5, 5, 4, 5]
AT4G28025	[0]
AT3G10130	[]
AT3G21055	[0]
AT3G60370	[4, 4, 4, 4, 2]
AT1G54500	[6, 4]
AT1G54050	[0]
AT4G01050	[2]
AT5G53490	[2]
AT2G37230	[6]
AT4G38100	[]
AT5G21430	[2, 3]
AT1G80030	[5, 3, 4, 3]
AT4G01900	[2, 4, 5, 2, 5, 2]
AT3G24590	[3, 4, 3, 2, 2, 3]
AT3G01480	[4, 4]
AT4G33520	[3, 5, 6, 6, 4, 9, 2, 6]
AT1G74070	[4]
AT3G47450	[5, 7, 5]
AT2G22360	[5, 3, 4, 3]
AT3G17830	[5, 3, 4, 3]
AT3G26580	[]
AT1G65260	[2]
AT5G01500	[1, 4]
AT1G14590	[2]
AT3G14420	[6, 3, 2, 6, 6, 6, 6]
AT1G72640	[]
AT2G37400	[]
AT3G08920	[0]
AT1G52220	[0]
AT4G04020	[1, 2]
AT1G51110	[1]
AT5G16660	[0]
AT2G44990	[4, 6, 4]
AT3G15110	[0]
AT1G22450	[2, 2, 6]
AT1G32500	[1, 1, 2]
AT1G16880	[5]
AT1G03850	[1, 5, 4, 4]
AT1G20810	[4, 4]
AT5G53170	[5, 6, 5, 5, 5, 7, 4, 5]
AT1G16790	[0]
AT1G42960	[0]
AT1G02560	[5]
AT2G26340	[0]
AT4G19830	[4, 4]
AT4G36810	[5, 4, 5, 5, 5, 2, 5]
AT3G58010	[]
AT1G51350	[]
AT5G59250	[6, 6, 7, 3, 3]
AT1G71500	[5, 4]
AT2G04030	[5, 3, 2, 4]
AT5G01220	[3, 4, 5]
AT2G27290	[0]
AT3G26080	[1]
AT1G50460	[5, 5, 5, 4, 6, 6, 6, 2]
AT5G23890	[]
AT2G35040	[6, 6, 5, 5]
AT1G30510	[5, 2, 6]
AT1G15820	[4, 4, 2]
AT1G73530	[4, 4]
AT1G67700	[6]
AT3G46610	[0]
AT5G03455	[4, 4, 7, 3, 2, 2, 2]
AT3G25480	[0]
AT5G52780	[0]
AT1G18730	[0]
AT4G39730	[0]
AT2G01140	[5, 5]
AT5G12470	[0]
AT1G55370	[1, 2]
AT1G10170	[8, 5, 2, 6, 2, 6]
AT2G24020	[4]
AT1G76760	[2, 5, 5, 3, 4]
AT4G24750	[0]
AT5G15250	[5, 6, 5, 5, 5, 5, 6, 7, 5, 3, 6]
AT3G57680	[]
AT1G54790	[3, 4]
AT5G35170	[5, 5, 5, 6, 5]
AT3G01440	[5, 2]
