term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	windowSize
TPO:49152	0.0116	5	AT1G12250,AT1G14150,AT1G55370,AT1G72640,AT1G76760,AT1G80030,AT2G17630,AT2G20270,AT2G26800,AT2G29500,AT2G30950,AT2G41330,AT2G44990,AT3G01440,AT3G15110,AT4G23890,AT4G24750,AT4G37925,AT5G03455,AT5G13120,AT5G15250,AT5G19370,AT5G35170,AT5G39830,AT5G52780	63	77	25	15
TPO:163842	0.0125	2	AT1G02560,AT1G03160,AT1G12250,AT1G14345,AT1G67700,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G37660,AT2G40100,AT2G44990,AT4G37925,AT5G01500,AT5G19370	95	110	15	16
TPO:73731	0.0139	3	AT1G06690,AT1G17850,AT1G42960,AT1G52220,AT2G22360,AT2G24020,AT3G10130,AT3G15360,AT3G55330,AT3G57680,AT3G60370,AT4G13670,AT4G35770,AT5G52970	67	78	14	12
TPO:163846	0.0104	2	AT1G02560,AT1G12250,AT1G67700,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G37660,AT2G40100,AT2G44990,AT4G37925,AT5G01500,AT5G19370,AT5G42070	95	110	14	16
TPO:98311	0.0071	7	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G55370,AT1G67280,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G13670,AT4G35770,AT5G12470,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	27	19
TPO:81928	0.0078	3	AT1G14590,AT1G17850,AT1G31180,AT1G66670,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT3G10470,AT3G26580,AT4G01900,AT4G31560,AT5G23890,AT5G42070,AT5G42765	68	87	15	20
TPO:98316	0.0065	6	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G67280,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G13670,AT4G20820,AT4G35770,AT5G12470,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	27	19
TPO:114690	0.0066	3	AT1G15140,AT1G20810,AT1G42960,AT1G50250,AT1G50460,AT1G54500,AT2G22360,AT2G42220,AT2G42975,AT3G53560,AT3G58010,AT3G60370,AT4G13010,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G53490	74	89	22	16
TPO:98318	0.005	3	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G31180,AT1G42960,AT1G67280,AT1G74710,AT1G79230,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G20820,AT4G35770,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	28	19
TPO:163856	0.0052	2	AT1G12250,AT1G14150,AT1G67700,AT1G80030,AT2G17630,AT2G37660,AT2G40100,AT2G44990,AT4G37925,AT5G01500,AT5G19370,AT5G42070	95	110	12	16
TPO:98321	0.0132	5	AT1G06690,AT1G17850,AT1G52220,AT1G55370,AT2G27290,AT4G13670,AT4G35770,AT5G23890	71	89	8	19
