(0.95,1.0]	4324	4190	4104	4776	3924	3638	3127	2732	1504	1992	1672	951	1334	1002	1402	1360	1239	1605	1195	1192	1322	1329	1476	1242	1222	1250	1612	2345	2107	2103	1932	1149	1813	2062	1840	1244	1757	1553	1158	1750	1841	1536	1160	2056	1295	1805	1272	1991	1303	1998	1466	2334	3729	3934	
(0.9,0.95]	649	889	732	276	473	694	1429	1159	1639	1726	1874	1275	1469	1311	1652	993	1528	1102	1522	1511	2069	1593	1792	1717	1959	1941	1560	1363	1085	1720	1575	1525	1250	1094	1514	1507	1784	1567	1742	1650	1723	2086	1561	1260	1618	1708	1473	1747	1581	1854	1566	1794	879	769	
(0.85,0.9]	437	488	452	548	424	275	628	675	1344	1481	1555	1340	1251	1261	1181	948	1415	1060	1704	1357	2170	1652	1552	1625	1685	1312	1310	997	1492	909	1062	1144	1303	1294	942	1185	1586	1436	1485	1297	1553	1575	1308	1329	1498	1059	1182	860	1272	1151	1363	679	354	737	
(0.8,0.85]	241	279	299	64	187	320	874	855	892	1018	1012	1161	1097	834	1279	987	1353	960	1390	1179	1778	1423	1369	1504	1337	796	855	632	849	597	461	821	706	715	979	1029	1263	1156	1210	1084	1181	1006	1098	900	1264	848	895	695	999	747	1005	523	286	325	
(0.75,0.8]	49	63	137	91	306	692	774	781	829	780	691	941	685	781	1240	981	927	1166	1089	1063	1247	1251	1236	1318	1080	645	759	531	447	582	361	676	712	1002	853	927	932	1025	942	776	724	572	813	640	752	744	868	805	917	444	671	751	397	224	
(0.7,0.75]	314	139	167	73	530	452	700	661	512	460	574	833	883	665	792	940	660	882	874	896	725	936	960	772	805	435	588	271	393	495	369	708	807	1038	821	774	587	745	662	715	738	313	687	464	559	528	699	634	695	695	514	316	568	146	
(0.65,0.7]	203	217	252	118	412	231	503	644	478	379	434	666	776	638	485	735	720	769	842	726	404	698	728	587	658	313	439	306	405	335	457	609	960	551	567	611	358	528	518	497	429	290	562	315	535	366	452	356	488	430	647	476	397	291	
(0.6,0.65]	139	360	300	172	245	410	162	392	474	302	391	574	523	565	273	657	466	573	523	664	238	513	497	518	487	249	428	265	414	379	799	714	541	496	461	497	293	405	396	417	336	297	458	379	338	342	353	322	383	391	411	393	375	95	
(0.55,0.6]	139	108	509	765	247	636	284	226	387	302	270	470	377	687	205	484	265	282	499	525	149	332	292	442	409	318	584	321	742	569	846	718	597	289	360	423	205	359	327	297	238	361	437	423	454	320	280	339	277	162	295	277	412	171	
(0.5,0.55]	168	448	81	104	255	656	538	587	381	254	228	307	324	450	275	314	327	448	337	488	116	261	230	364	311	404	671	422	662	829	882	626	480	247	251	416	150	356	267	340	274	376	327	399	440	242	270	262	235	84	264	170	266	125	
(0.45,0.5]	127	69	119	178	742	600	201	336	392	344	224	215	440	322	306	224	300	530	230	352	148	167	141	271	300	534	687	522	640	821	513	525	357	336	534	329	268	215	378	416	332	494	288	572	441	270	189	285	197	154	150	203	307	140	
(0.4,0.45]	141	20	61	43	590	368	428	349	309	453	196	258	355	334	385	218	272	437	324	270	228	135	141	218	160	793	587	703	625	454	516	522	448	456	380	346	237	254	344	386	309	340	356	461	335	300	368	119	209	120	109	160	207	62	
(0.35,0.4]	130	105	278	48	288	338	312	476	284	256	277	314	299	273	237	298	333	444	227	250	368	178	91	185	154	939	551	1320	514	629	512	398	387	424	321	318	324	307	386	288	220	226	371	261	372	219	262	179	129	104	117	285	373	117	
(0.3,0.35]	221	38	125	73	587	154	301	242	242	171	201	244	378	253	434	385	368	431	166	241	354	265	143	215	140	697	412	653	519	400	534	348	313	220	284	289	334	257	346	389	176	184	275	288	241	168	302	139	103	111	94	296	124	175	
(0.25,0.3]	660	124	301	74	410	135	188	214	222	97	223	235	433	376	573	246	450	389	259	262	357	226	197	230	270	511	394	463	345	193	328	487	360	314	453	350	355	300	321	297	230	326	211	317	188	175	339	72	80	170	205	222	169	146	
(0.2,0.25]	297	178	57	532	806	334	159	200	164	177	372	294	478	310	497	523	578	258	591	401	246	408	338	304	352	268	325	311	433	507	319	470	475	270	596	489	429	338	426	353	347	308	385	246	92	320	312	156	190	283	130	125	124	354	
(0.15,0.2]	24	432	100	353	378	456	119	168	185	120	370	360	279	384	398	783	450	223	579	496	261	450	435	271	431	270	259	441	382	365	473	438	448	533	469	508	476	404	438	291	214	276	184	168	73	323	555	214	230	190	178	241	202	558	
(0.1,0.15]	458	379	574	539	471	837	156	161	261	231	265	363	383	672	375	610	488	346	401	548	353	754	401	472	553	487	377	377	293	326	454	517	365	381	405	364	528	428	527	272	689	206	278	286	117	447	441	360	194	71	137	257	964	360	
(0.05,0.1]	372	510	296	254	755	876	492	869	353	237	206	475	325	860	470	922	648	647	186	544	352	357	619	677	436	595	375	457	393	495	297	302	287	521	609	652	359	630	830	1184	1140	450	278	392	300	405	332	376	164	146	364	372	264	753	
(-8.46545056277e-16,0.05]	1642	1353	1976	3218	1497	1924	3568	1851	1909	1616	2612	1970	1857	1677	1799	1271	838	1150	1559	906	1370	925	1282	1383	1421	1628	1331	1817	997	1700	1599	1818	905	2020	953	2061	1037	2063	996	1048	1379	2149	3204	3566	1556	3371	2100	2007	5358	2135	1707	1767	1248	1875	
(-0.05,-8.881784197e-16]	5736	6082	5551	4172	2944	2445	1528	2893	3710	4075	2824	3225	2525	2816	2213	2592	2846	2769	1974	2600	2216	2618	2551	2156	2301	2086	2367	1954	2734	2063	2182	1956	2957	2208	2879	2152	3209	2145	2772	2724	2398	3100	2230	1749	4003	2511	3527	4553	1467	5031	5078	4830	4826	5114	
