parent	child
0	1
0	2
0	3
0	4
0	5
0	10
0	12
1	19
2	9
2	11
3	8
3	9
3	7
4	6
6	13
6	14
6	15
7	20
7	22
7	23
8	21
8	23
9	16
9	23
10	18
11	17
11	23
13	24
13	42
14	25
14	30
15	27
15	30
16	28
17	28
18	26
20	31
21	32
22	29
23	33
28	39
29	36
30	86
31	35
31	36
32	34
33	40
34	37
35	41
35	38
37	50
39	43
39	45
39	47
40	48
41	49
41	44
41	46
43	56
43	52
44	57
44	53
45	51
47	51
47	155
47	54
48	55
49	155
50	155
51	88
51	128
51	74
51	89
51	73
52	128
52	64
52	66
52	68
52	70
52	74
52	88
52	89
52	60
52	62
53	128
53	65
53	67
53	69
53	71
53	74
53	61
53	63
54	72
54	73
54	74
56	58
57	59
58	81
58	76
59	83
59	77
60	75
60	79
61	84
61	78
62	87
63	85
64	96
65	91
66	90
66	95
67	93
68	92
69	94
70	82
71	80
72	259
73	129
73	245
74	129
74	127
75	120
75	130
75	135
75	98
75	133
76	130
76	147
76	125
77	131
77	124
78	136
78	122
78	131
78	100
78	134
79	120
79	98
79	133
79	130
79	135
80	121
80	101
81	130
81	125
82	99
82	132
82	102
82	137
82	148
82	119
82	123
83	131
83	124
84	136
84	122
84	131
84	100
84	134
85	121
85	117
85	101
87	99
87	102
87	137
87	116
87	119
87	123
88	105
88	126
88	103
89	104
89	97
90	106
90	118
91	121
91	108
91	117
92	115
92	111
93	112
94	109
95	114
95	110
96	107
96	113
96	123
96	116
96	119
97	153
97	154
97	141
98	193
98	194
99	193
99	194
100	196
100	197
101	196
101	197
102	193
102	157
104	141
106	144
106	145
106	146
106	142
106	143
107	161
107	162
107	158
107	159
113	162
113	143
113	144
113	183
113	152
113	158
113	159
114	142
114	143
114	144
114	145
114	146
114	152
115	144
115	152
115	146
115	143
115	151
116	193
116	162
116	159
116	161
117	196
118	144
118	145
118	146
118	142
118	143
119	193
119	194
120	193
120	194
121	196
121	197
122	196
122	197
123	193
123	157
124	150
124	167
125	149
127	154
127	139
127	140
128	153
128	154
128	141
129	138
131	170
131	197
132	171
132	157
133	193
133	194
134	196
134	197
136	196
136	197
137	157
142	156
142	175
143	160
145	163
145	175
147	200
147	166
148	173
148	174
149	168
150	169
153	164
154	219
154	220
155	260
156	165
157	172
158	181
159	179
160	182
161	178
161	180
162	177
162	179
163	176
164	184
164	242
165	261
166	217
166	246
166	201
167	202
167	205
168	203
168	214
169	204
169	205
169	213
170	199
175	187
176	265
176	186
177	195
178	198
179	190
180	206
181	191
182	185
182	188
182	189
183	192
185	223
186	224
186	223
187	225
187	222
188	223
190	226
190	239
191	218
191	226
192	232
192	218
192	212
192	226
192	230
193	236
194	210
195	235
195	239
196	208
197	208
197	211
198	241
198	227
198	237
199	209
201	215
202	216
206	241
206	227
206	207
207	231
208	234
209	233
212	221
213	233
214	228
215	229
217	250
218	249
219	243
219	244
220	279
221	295
225	284
227	240
227	238
228	247
229	248
232	296
232	297
235	289
236	253
236	254
237	252
237	255
238	258
240	257
241	256
241	251
242	264
242	262
243	266
243	263
246	293
246	270
246	271
247	311
248	312
249	298
250	272
250	325
251	326
251	303
252	321
252	302
253	321
253	302
254	313
254	268
254	301
254	305
255	305
255	301
256	267
256	269
257	275
257	276
258	299
261	283
261	278
262	280
263	274
264	273
266	281
266	282
267	306
274	287
276	277
277	288
281	285
281	286
282	291
282	286
285	290
288	300
290	292
293	294
297	304
297	308
299	307
300	322
305	309
306	316
306	318
307	317
307	310
308	314
308	323
311	320
312	319
313	315
313	324
327	356
327	331
327	332
327	333
327	334
327	335
327	336
327	337
327	338
327	339
327	340
327	341
327	342
327	343
327	351
328	329
328	330
331	347
331	348
332	344
332	347
332	348
334	346
336	345
336	349
337	352
338	353
338	354
338	357
339	355
339	357
340	357
340	350
341	357
346	362
347	361
348	361
352	360
355	358
356	359
360	363
360	364
361	328
363	365
363	366
