parent	child
0	1963
0	1964
0	1965
0	1966
0	1967
0	1968
0	1969
0	1970
0	1971
0	1972
0	1973
0	1976
0	185
0	1978
0	188
0	189
0	1991
0	202
0	205
0	1998
0	184
0	186
184	213
185	201
185	203
186	200
186	201
186	198
188	191
191	208
191	209
191	207
198	217
198	219
198	220
200	218
200	220
201	210
201	220
202	212
203	211
203	220
207	258
207	222
208	224
208	229
209	226
209	229
210	227
211	227
212	225
217	230
218	231
219	228
220	232
227	255
228	246
229	416
230	243
230	246
231	242
232	256
242	248
243	257
243	250
248	281
255	275
255	277
255	270
256	279
257	280
257	276
257	271
270	302
270	295
271	296
271	303
275	291
277	299
277	291
277	663
279	300
280	663
281	663
291	424
291	377
291	386
291	523
291	422
295	354
295	422
295	424
295	329
295	523
295	386
295	339
295	344
295	348
295	351
296	352
296	386
296	523
296	356
296	331
296	342
296	345
296	349
299	377
299	386
299	373
302	322
303	323
322	401
322	409
323	403
323	411
329	405
329	397
331	404
331	412
339	419
342	413
344	434
345	429
348	433
348	428
349	431
351	430
352	432
354	410
356	407
373	1065
377	1010
377	524
386	522
386	524
397	528
397	531
397	491
397	444
397	525
401	580
401	525
401	519
403	518
403	526
404	448
404	530
404	494
404	526
404	533
405	528
405	531
405	444
405	525
405	491
407	449
407	492
409	525
409	519
410	451
410	490
410	591
410	534
410	495
410	527
410	447
411	526
411	518
412	448
412	530
412	494
412	526
412	533
413	488
413	449
413	492
419	451
419	487
419	490
419	495
419	534
419	447
422	521
422	459
422	453
424	456
424	441
428	489
428	467
429	488
429	474
429	492
430	477
430	486
431	478
432	475
433	476
433	485
434	473
434	490
434	483
434	487
434	495
441	657
441	659
441	548
444	842
444	843
447	842
447	843
448	848
448	847
449	848
449	847
451	673
451	842
456	548
467	556
467	550
467	564
467	558
467	566
473	691
473	700
473	699
473	694
483	556
483	782
483	691
483	558
483	694
483	700
483	606
485	550
485	556
485	558
485	564
485	566
485	606
486	606
486	556
486	566
486	558
486	599
487	842
487	699
487	700
487	694
488	847
489	564
489	566
489	556
489	558
489	550
490	842
490	843
491	842
491	843
492	848
492	847
494	848
494	847
495	673
495	842
518	594
518	733
519	592
522	544
522	659
522	540
523	657
523	659
523	548
524	537
526	848
526	743
527	744
527	673
528	842
528	843
530	848
530	847
533	848
533	847
534	673
550	665
550	751
556	697
564	710
564	751
580	732
580	855
591	746
591	747
592	735
594	739
657	720
659	920
659	924
663	1066
665	721
673	745
691	780
694	778
697	781
699	771
699	779
700	770
700	778
710	752
720	1004
720	790
721	1087
732	860
732	1014
732	910
733	866
733	861
735	862
735	903
739	866
739	902
739	863
743	851
751	794
752	792
752	1093
770	846
771	849
778	798
779	867
780	800
781	795
781	796
781	791
782	801
791	929
792	929
792	930
794	928
794	934
795	929
798	998
798	951
800	914
800	951
801	914
801	964
801	890
801	966
801	951
842	995
843	888
846	994
846	998
847	872
848	872
848	889
849	1000
849	952
849	996
851	887
860	904
861	905
867	1000
867	952
867	868
868	965
872	984
887	973
890	927
902	973
903	959
904	960
910	1024
914	1019
920	1008
920	1005
924	1221
927	1573
934	1235
952	997
952	999
959	1016
960	1017
966	1595
966	1611
994	1288
995	1058
995	1052
996	1051
996	1059
997	1064
999	1063
1000	1048
1000	1061
1004	1089
1004	1092
1005	1091
1005	1094
1014	1441
1014	1123
1014	1125
1016	1796
1017	1797
1019	1612
1024	1960
1024	1126
1048	1617
1048	1961
1051	1616
1051	1956
1052	1616
1052	1956
1058	1119
1058	1748
1058	1798
1058	1615
1059	1748
1059	1615
1061	1120
1061	1113
1063	1157
1063	1151
1064	1613
1087	1225
1087	1218
1089	1222
1091	1135
1092	1134
1094	1224
1094	1223
2233	2282
2233	2295
1113	1750
1135	1251
1157	1212
1212	1264
1223	1236
1223	1237
1224	1298
1224	1237
1236	1297
1264	1614
1297	1308
1441	1546
1611	1658
1611	1756
1613	1751
1614	1957
1748	1794
1750	1953
1750	1890
1751	1952
1751	1795
1756	1826
1756	1958
1796	1955
1797	1954
1798	1888
1798	1959
1963	1984
1963	1983
1964	1984
1964	1979
1964	1983
1966	1982
1968	1985
1968	1980
1969	1992
1970	1994
1970	1996
1970	1999
1971	1997
1971	1999
1972	1986
1972	1999
1973	1999
1982	2014
1983	2012
1984	2012
1992	2010
1997	2001
1998	2006
2010	2032
2010	2030
2012	2233
2030	2044
2030	2038
