term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
5896	0.9333	1	828697,818766,823899,821051,817176,829490,829834	98	107	7	10
5640	0.9167	2	817176,818766,821051,823899,828697,829834	92	105	6	14
5656	0.9125	3	817176,818766,823899,828697,829834	92	107	5	16
5886	0.9091	2	817176,818766,823899,828697,829490,829834	97	107	6	11
5743	0.9048	2	817176,818766,821051,823899,828697,829490,829834	94	104	7	11
5453	0.8714	1	828697,818766,823899,821051,817176,829490,829834	90	99	7	10
4679	0.8704	2	817176,820665,821051,823899,828697,829834	82	93	6	12
5104	0.8667	2	821051,823899,828697,829490,829834	86	96	5	11
5382	0.8586	2	817176,818766,821051,823899,828697,829834	89	99	6	11
1328	0.8545	2	818766,821051,828697,829490,829834	58	68	5	11
3918	0.8524	1	828697,820665,823899,821051,817176,829490,829834	76	85	7	10
1317	0.85	1	828697,818766,821051,817176,829490,829834	58	67	6	10
5619	0.8438	1	814930,817176,818766,820665,821051,823899,828697,829834	92	103	8	12
2717	0.8389	2	817176,821051,823899,828697,829834	68	79	5	12
184	0.8333	1	814930,828697,818766,823899,821483,821051,817176,829834	49	58	8	10
3789	0.8303	2	817176,821051,823899,828697,829834	75	85	5	11
2710	0.8232	1	817176,818766,821051,823899,828697,829834	68	78	6	11
2859	0.8182	2	817176,820665,821051,823899,828697,829834	69	79	6	11
4321	0.8182	2	817176,820665,823899,828608,829266	79	89	5	11
5090	0.8111	1	828697,823899,821137,821051,829490,829834	86	95	6	10
1455	0.8111	1	814930,828697,818766,821051,829490,829834	59	68	6	10
3783	0.8111	1	828697,818766,823899,821051,817176,829834	75	84	6	10
4670	0.8106	1	814930,817176,818766,820665,821051,823899,828697,829834	82	92	8	11
5373	0.8083	1	814930,828697,818766,820665,823899,821051,817176,829834	89	98	8	10
4775	0.8	1	814930,828697,818766,820665,823899,821051,817176,829490,829834	83	92	9	10
4437	0.78	1	814930,828697,828608,818766,820665,823899,821051,817176,829266,829834	80	89	10	10
5193	0.77	1	814930,828697,818766,820665,823899,821483,821051,817176,829490,829834	87	96	10	10
2850	0.7667	1	814930,828697,818766,820665,823899,821051,817176,829834	69	78	8	10
890	0.7667	1	823899,821137,843687,821051,829490,829266,829834	55	64	7	10
5736	0.7524	1	814930,828697,828608,818766,820665,823899,821137,843687,839449,821051,817176,829490,829266,829834	94	103	14	10
4316	0.7481	1	828608,820665,823899,843687,839449,817196,817176,823814,829266	79	88	9	10
3506	0.7455	2	840144,820665,821051,823899,829834	73	83	5	11
3785	0.7444	1	828608,821137,843687,839449,829490,829266	75	84	6	10
5884	0.7424	1	828697,828608,818766,823899,821137,843687,839449,817176,829490,829266,829834	97	106	11	10
3646	0.7389	1	820665,823899,821051,840144,817196,829834	74	83	6	10
2128	0.7242	1	828697,828608,820665,823899,839449,821051,817176,823814,841033,844245,829834	64	73	11	10
5524	0.7222	1	828697,818766,821137,843687,817176,829490	91	100	6	10
3495	0.6967	1	814930,828697,818766,820665,823899,821051,840144,817176,829834,838259	73	82	10	10
4561	0.6909	2	839449,843687,823814,828608,829266	81	91	5	11
3347	0.6909	2	843687,821137,823814,828608,829266	72	82	5	11
3500	0.6889	1	828608,821137,843687,817196,823814,829266	73	82	6	10
3033	0.6833	2	839449,843687,823814,828608,829266	70	81	5	12
4549	0.6619	1	828608,821137,843687,839449,817196,823814,829266	81	90	7	10
4550	0.6611	1	823899,821051,824770,841033,844245,829834	81	90	6	10
3017	0.6429	1	828608,843687,839449,840144,817196,823814,829266	70	79	7	10
3930	0.6414	1	839449,843687,844245,821137,823814,828608	76	86	6	11
5676	0.6364	2	839449,843687,821137,828608,829266,829490	93	103	6	11
4175	0.6333	1	828608,840144,817196,823814,835320,829266	78	87	6	10
4050	0.6273	1	828608,821137,843687,839449,824770,823814,829490,841033,843491,844245,829266	77	86	11	10
4886	0.6212	1	828608,821137,843687,839449,824770,823814,829490,841033,843491,844245,829266	84	93	11	10
4665	0.6208	1	828608,843687,839449,824770,823814,841033,844245,829266	82	91	8	10
4696	0.6154	2	839449,841033,843687,844245,828608,829266	82	94	6	13
4792	0.6147	1	839449,841033,843687,844245,821137,828608,829266	83	93	7	11
3645	0.6083	1	828608,843687,839449,824770,823814,841033,844245,829266	74	83	8	10
3338	0.6074	1	828608,821137,843687,839449,824770,823814,841033,844245,829266	72	81	9	10
1329	0.5974	2	839449,843687,844245,821137,823814,828608,829266	58	68	7	11
4892	0.596	2	839449,841033,843491,843687,844245,823814,824770,828608,829266	84	94	9	11
5449	0.5944	1	828608,821137,843687,839449,823814,829266	90	99	6	10
1203	0.594	3	839449,843687,844245,823814,828608,829266	57	69	6	13
5620	0.5889	2	839449,843687,821137,828608,829266	92	103	5	12
5863	0.5758	1	839449,843687,821137,828608,829266,829490	96	106	6	11
4990	0.5744	1	814930,828608,818766,843687,839449,824770,840144,817196,823814,841033,843491,844245,829266	85	94	13	10
1849	0.5667	1	828608,843687,839449,824770,823814,841033,844245,829266	62	71	8	10
1986	0.5667	1	814930,828608,821137,821483,840144,817196,823814,829266,838259	63	72	9	10
2282	0.5576	2	838259,840144,817196,823814,828608	65	75	5	11
3339	0.5576	2	844378,821483,829438,829490,834232	72	82	5	11
5525	0.5556	1	828608,839449,840144,817196,823814,829266	91	100	6	10
1173	0.5541	2	839449,843687,844245,823814,824770,828608,829266	57	67	7	11
3335	0.5524	1	814930,818766,834232,821483,829490,844378,829438	72	81	7	10
1310	0.5519	1	828608,821137,843687,839449,824770,823814,844245,829266,838259	58	67	9	10
5188	0.55	1	828608,843687,839449,824770,840144,817196,823814,835320,841033,843491,844245,829266	87	96	12	10
1576	0.5455	1	814930,818766,820665,821483,816394,840144,817196,817467,817176,829438,838259	60	69	11	10
4551	0.5444	1	828697,817176,841467,829490,816692,843110	81	90	6	10
2418	0.5389	1	828608,840144,817196,823814,835320,838259	66	75	6	10
5901	0.5389	1	814930,828608,821137,843687,839449,829266	98	107	6	10
4556	0.5381	1	814930,818766,820665,834232,842103,844378,829438	81	90	7	10
1855	0.5333	2	839449,841033,843687,844245,824770	62	72	5	11
5616	0.5273	2	844245,817196,823814,824770,829490	92	102	5	11
5873	0.5222	2	839449,843687,821137,828608,829266	96	107	5	12
1586	0.5185	3	839449,841033,844245,823814,824770,828608	60	71	6	12
537	0.5167	1	828697,828608,821137,843687,839449,840144,823814,829490,829266,838259	52	61	10	10
2276	0.5167	1	828608,840144,817196,817467,823814,838259	65	74	6	10
5615	0.5152	1	839449,841033,843687,821137,828608,829266	92	102	6	11
305	0.5143	1	814930,821483,816394,840144,817176,823814,838259	50	59	7	10
5603	0.5143	1	824770,840144,817196,823814,835320,829490,844245	92	101	7	10
1579	0.5133	1	828608,843687,839449,824770,842830,823814,841033,843491,844245,829266	60	69	10	10
