wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
1104	11	15	4	7	['AT1G74710', 'AT5G02160', 'AT4G19830', 'AT3G47060', 'AT1G54050', 'AT1G72640', 'AT2G40400']
16032	16	48	32	7	['AT3G47060', 'AT1G27510', 'AT1G14150', 'AT3G01440', 'AT4G37925', 'AT5G35170', 'AT4G23890']
13019	13	32	19	9	['AT1G55370', 'AT5G08540', 'AT1G76760', 'AT4G24750', 'AT1G12250', 'AT5G03455', 'AT1G80030', 'AT1G72640', 'AT2G40400']
3608	36	44	8	4	['AT2G18790', 'AT1G80380', 'AT4G33010', 'AT2G29180']
4012	4	16	12	5	['AT4G24930', 'AT1G06690', 'AT1G50460', 'AT1G30510', 'AT1G79450']
1203	12	15	3	4	['AT1G44575', 'AT1G79040', 'AT3G56040', 'AT1G03600']
1031	1	32	31	4	['AT1G80030', 'AT1G12250', 'AT5G03455', 'AT1G55370']
11015	11	26	15	4	['AT3G47060', 'AT1G74710', 'AT5G02160', 'AT1G54050']
1012	1	13	12	9	['AT2G21160', 'AT1G50450', 'AT5G62720', 'AT1G74070', 'AT1G74880', 'AT1G27510', 'AT1G78915', 'AT4G38100', 'AT1G65260']
1022	1	23	22	11	['AT2G30950', 'AT5G20140', 'AT1G55370', 'AT2G20270', 'AT4G04020', 'AT5G19370', 'AT1G12250', 'AT2G35040', 'AT2G27290', 'AT1G80030', 'AT5G03455']
15011	15	26	11	23	['AT2G01918', 'AT5G02160', 'AT1G14150', 'AT4G39960', 'AT1G74710', 'AT1G54050', 'AT2G27290', 'AT5G23890', 'AT4G18370', 'AT1G18730', 'AT3G01440', 'AT4G37925', 'AT5G52780', 'AT4G23890', 'AT5G42765', 'AT5G20140', 'AT3G47060', 'AT5G13120', 'AT4G04020', 'AT5G15250', 'AT5G35170', 'AT2G41330', 'AT2G26800']
2905	29	34	5	6	['AT2G26340', 'AT3G21055', 'AT5G08050', 'AT1G54780', 'AT5G01220', 'AT5G52440']
4020	4	24	20	15	['AT5G53170', 'AT4G16155', 'AT5G59250', 'AT1G75690', 'AT1G22020', 'AT3G28850', 'AT4G39460', 'AT2G22360', 'AT4G39730', 'AT1G51350', 'AT5G16660', 'AT5G42070', 'AT1G22450', 'AT3G15840', 'AT1G56500']
31017	31	48	17	27	['AT2G17630', 'AT2G01918', 'AT5G02160', 'AT1G27510', 'AT1G14150', 'AT4G39960', 'AT5G39830', 'AT2G40100', 'AT1G80030', 'AT2G37660', 'AT4G18370', 'AT5G19370', 'AT3G01440', 'AT4G37925', 'AT5G52780', 'AT4G23890', 'AT5G01500', 'AT2G30950', 'AT5G20140', 'AT3G47060', 'AT1G76760', 'AT1G12250', 'AT4G04020', 'AT5G15250', 'AT3G15110', 'AT5G35170', 'AT2G26800']
36014	36	50	14	22	['AT3G46780', 'AT5G53170', 'AT1G75690', 'AT2G35040', 'AT2G42975', 'AT2G42220', 'AT4G16155', 'AT3G58010', 'AT4G38380', 'AT1G51350', 'AT5G16660', 'AT4G27700', 'AT5G21430', 'AT1G50460', 'AT5G19500', 'AT3G28850', 'AT1G22020', 'AT2G22360', 'AT1G52220', 'AT5G16150', 'AT5G59250', 'AT1G22450']
