parent	child
409	4010a
409	1012a
409	4010d
409	1012
1503b	1504
1503b	1404
704a	1011c
4103	4105
4103	3905a
4105	4107
4105	3907
4107	4109
4107	3909
4109	39011a
408b	1011b
408b	4011b
15017a	15019
15017a	13019
24010a	24018b
24010a	15019
24010a	24026d
24010a	21013
1019b	1022b
1019a	1022
106a	109d
2105	1709
2105	21010a
1003b	1004a
25010a	15020
25010a	25021
2404b	15013a
2404b	2406
2404a	20014
1607a	1608
1607a	16010
1607a	1508c
1607a	1508
39011	38012
103	1011a
104	109b
105	108
105	106
107	109c
108	1011b
4205	3908
4207	4208a
3906a	3908
2804a	2606
10040a	7043
24024b	16032
24024b	24026
103f	104e
24024a	21029
703b	704a
703b	505b
1703a	1604a
1703a	1706
1504a	1108
1504a	1506
37011	37013a
37011	35013
2203	2207
2203	2104b
2207	2209
2207	13016
2209	13018
16015a	15016
1503a	1107
1503a	1504a
21017a	4034
21017a	21021a
21017a	16022
35011	35013
35011	33013
35013	33015a
35013	35014
35013	35015
35013	33015
35015	33017b
35015	33017
203	104b
204	206
4303	4105
4303	3907a
4303	4305
4303	4006a
208	2010a
208	109c
4305	4107
4305	4307a
4020a	1023
4020a	4022
4307	4208a
28022a	27023
1303	1304
6018a	6025
6018a	4020
2903a	2905a
2903a	2804
25021a	25023
25021a	24022
2903b	2904
2803b	2805
33011	33015a
33011	31013
33013	25021a
33013	33015
33014	31016
33014	33017a
33015	33017b
33015	24024a
33015	25023
33017	31019
2303	15011c
2305	16012
2305	2308
2308	16015
2308	23011a
2308	2309
2308	21010a
2309	21011
2309	23011
1509	6018a
1509	15016
2805	2707
31011	31013
31011	29013
31013	24020a
31013	31017
31017	24024b
31017	31019
31017	29019
31019	24026
31019	29021
4011b	1014a
4011b	4012
1603a	1504b
1603a	1604a
306	307
306	207a
307	208a
307	309
307	308a
309	3012
309	2010
407a	4010
407a	308a
407a	1010
2803a	2704a
2803a	2805b
2103	1608a
1014c	1015
1014c	1019a
29013	28014
29013	29019
15035a	6044a
29019	28020
29019	29021
29021	28022a
29021	28022
2403	15012a
2403	2404b
2403	17010
2404	2305
2404	2407
2406	24018a
2406	24012
2406	15015a
2406	17013
2407	2308
2407	2408
2408	24010a
2408	21011a
2408	24010
2408	2309
11017a	11025
27012	27019
27012	4035
1104b	11012
1104b	807
4503	4505a
4503	4305
27021	27023
27023	24026d
4504	4505
4504	4306
403	106
403	405
404	407
406	109d
406	409
407	408a
407	308
408	4011a
408	309
408	2010a
408	4010c
4505	4307
20020a	20021
20020a	18022
21011a	21014a
21011a	16016a
12017	12019
12017	1028
603a	506a
37013a	32018
37013a	35015
25010	25013
25010	24011
25013	21017b
25013	25015
25013	24014
25013	25015a
25015	25017
25015	24016a
21010a	21011
21010a	20011
25019	24020
25019	25021a
25021	25025
25021	4042
25023	24024
25023	25025b
25025	4046b
404b	4010b
404b	206b
2503	2506
2503	2504a
2503	2206
2503	2404
2506	21010
2506	2407
2506	2507
2506	2509
2507	2408
2507	2509a
2509	23011a
2509	25010a
3205a	3208a
1103	1004a
23011	23012
23011	21013a
23012	21014
23012	23015
15013a	12016
15013a	15015a
23015	21017
23015	23017
23017	21019
23017	23018
23018	23020
23018	20021
3905b	3906a
105c	108a
25015a	24016
25015a	25025a
503	505c
503	404a
504	405
505	406a
505	507
506	1011a
507	408
507	5010a
508	409
508	509a
508	509
509	4010a
509	5011a
25025b	24026b
25025b	21029b
4022a	1025a
4022a	4026
4703d	4505a
1011d	1014c
1011d	1013
1011b	1014a
16032a	16034
16032a	13035
21010	21017b
21010	16015a
21011	21013
21011	20012
21011	16016b
21011	21013a
21013	21029
21013	16018a
21014	21017
21014	20015
4505a	4307a
21017	21019
21017	20018
21019	21021
21019	20020a
21021	21023
21021	18024
21023	21025
21023	18026
21025	21027
21025	18028
21027	21029a
21027	16032a
21029	16034b
11012a	7016b
11012a	11015
403a	404a
403a	106a
2603	2604
2603	2207
2604	2605
2604	2406
2605	26010
2605	2209
3907a	3808
2704a	27012
507b	408b
507b	5010
507a	408a
25017	25019
25017	24018
603	604
603	606a
603	504b
603	504a
604	605
604	606
604	505a
604	505
605	407a
605	608
606	507b
606	608a
606	609
606	507
4703	4505b
608	6017c
608	4010
609	5010a
609	6010
609	6011
609	5010
208a	109a
208a	2010
8015b	8023
8015b	7016
6044c	4046a
1504b	1306
1504b	1505
17010	16011
17010	17013
21021a	21029c
17027	16032
4204	30016
4204	4208
2105a	16010a
2105a	21011a
21014a	21017a
21014a	4031
109	1011c
2704	2705
2704	2506
2705	2707a
2705	2507
1509b	11013
1509b	15013
15011	15017
15011	13013a
15011	15012
15011	11015b
15012	15015
15012	11016
15013	11017
15013	15016a
15015	11019
15015	15033
15016	6025
15016	15020
15017	13019a
15017	15019a
4028a	2030
15019	13021b
15019	15035b
15020	4042
15033	15035
15033	11037
15035	11039
6026a	4028
703	705
704	506a
704	705a
703a	604
703a	705b
1023a	1030
707	608a
707	708a
708	609
708	709
709	7013
709	6010
4203	3906a
4203	4205
13010	13019b
13010	10013b
13011	8016
13011	13013
13012	13016
13012	12013
13013	8018
13013	13019
13016	12017
13016	13018
13018	12019
13018	13027
13019	13021b
13019	8024
13019	13037a
13021	6044a
13035	10040
2803	2805a
2803	2804
2803	2704
2804	2705
2804	2806
404a	206
404a	406
2806	2707a
2806	28020
404c	206a
404c	405b
3607	23020
11011	11013
11011	9013
11012	11014
11012	10013
11012	8015a
11012	11015b
11013	11017
11014	11015a
11014	4021
11016	10017
11016	11019
11019	10020
11019	11037
11025	4032
33017b	25025b
33017b	21029
11037	4044
11037	11039
10032	10036
10032	7035
803	4010b
804	705b
804	705a
804	806
804	807a
806	707
806	807
39011a	37013a
39011a	36014
808	709
808	8011
808	8012
808	4012b
809	8012a
809	6011
10013a	10021
10013a	8015b
3208	32014
3208	25015a
10013b	7016a
10013b	10022
9013	5017
2904	2805a
2904	2905
203c	207a
203c	104d
503b	404c
503b	504a
503c	506
503a	505b
503a	506a
503a	404
7013	6014a
7013	7016a
7013	7016
804a	705
7016	6017b
7016	7031
1703b	1706a
7025	6028
7031	6032
7031	7033
7033	6034
7033	7035
7035	6036
7035	7039
7039	7043
7039	6040
13021b	8026
13021a	13035
13021a	10024
7043	6044b
903	1011c
904	905
904	508
905	907
905	509
13019b	13021a
13019b	10022
907	5011a
907	909
909	9010a
909	5013
4016a	3017
4016a	4019c
4016a	4019a
4016a	1019
5010	4011b
5010	5011
5011	4012
5011	5015
5012	4016b
5013	4014
5013	5014
5014	5017
5014	4015
5015	4016
5015	5018
13013a	11015
13013a	13019a
15012a	15013a
105a	106a
104c	1012a
104a	109
104e	107
104e	105b
104e	105c
104d	105
104d	108b
16010a	15011b
16010a	16016a
3309a	24018b
3309a	33011a
3309a	25017
3005	2906
3009	30016
3009	27012
3012	3017
3012	1014
3017	3020
3017	1019b
3020	1022b
3020	3035
9010a	9013
9010a	5014
3035	3037
3035	1037a
2203b	2104a
3037	1039
3037	3047
4603	4504
4603	4604
3904a	3905b
3904a	3607
3904a	3805
4604	4505
4010c	1013
1005	1009
1006	808
1006	10010
1006	1009a
25025a	24026a
1010	1013a
1011	1014
1012	1015a
1013	1014b
1014	1019b
1015	1019
2406a	2307
1019	1022d
1019	1022a
1022	1023
1023	1025b
1024	1025
1024	1028
1025	1035
4042a	4046d
1030	1049
1033	1049d
1035	1049b
1037	1049c
1037	1049a
2707a	27021
2707a	24010a
15010a	15011b
15010a	13012
506a	507a
506a	407
2905	2907
2905	20014
15011c	12014
1005a	1006
1005a	807a
3103	31012
3105	26010
3105	31011
206a	207
206a	107
7016a	6017a
7016a	7025
1505a	1307
1505a	1508c
1505a	1508a
3203a	31012
3203c	3204
3203c	3005
3203b	25010a
3203b	3206
3203b	25010
21029a	16034
21029a	18032
21029c	13037a
1104	708a
1104	11012a
1105	907
1105	1107
1107	909
1107	1108
1108	11011
1108	9010a
103d	104
103d	104c
4022b	4032
4022b	1025
2905a	2806
2905a	29013
4307a	4109
4307a	38012a
2805a	2509
2805a	20014
38012	34016
13010b	11012a
13010b	13013a
13010b	8015
13010b	13011
13010a	13012
13010a	12011a
3605	23018
3605	3607
3203	3204a
3204	3105
3204	3205a
3205	3207
3206	3208
3206	25013
3207	3009
1022d	1033
1608a	16012
1608a	1509b
1022a	1023a
1022a	1037
1022b	1037a
1022c	1024
1022c	1025a
3004b	3005
21017b	21029b
15011b	15017a
15011b	15012a
15011b	13013
15011b	12014a
15011a	13019b
4505b	4208
4505b	39011
1303a	1304a
1303a	1307
1303a	1006
36014	32018a
15019a	15035a
15019a	13021
405b	207
405b	306
405b	406a
405a	108
405a	408b
405a	108a
1207	9010
1207	12014
4703e	4604
1012a	1013b
207	208
34013	34016
34013	33014
11015b	10016
11015b	11016
11015a	11017a
11015a	4022b
3303	3204
3303	3309
5010a	5012
5010a	4011a
3305	3206
3305	3307
3307	3309a
3307	25015
3309	31011
3309	33011
3604b	36010a
3604b	3208
509a	4010d
108b	109a
903b	4010b
4306	4307
4306	4207
6014a	5015
6014a	4016a
6014a	6017b
6014a	6017a
32010	26016
32010	32018
32014	25021
32014	32018a
24026d	15035a
24026d	15035b
32018	26024
4046d	1049c
4046d	3047
4046c	1049b
24026a	8042
24026b	21029a
24026b	21029c
1304	809
1304	1307a
1305	1207
1306	1207a
1306	13010a
1307	10010
1307	13010
903c	904a
903c	804a
2604a	2406a
2604a	2606
16022	13037a
13019a	13037
13019a	13021
13019a	6026
1004	10013
1004	608
32018a	25025
32018a	25025a
30016	27019
34016	33017a
18026	18028
2503a	2504
2503a	2404a
2104b	2105a
2104b	1609
4034a	1037
4034a	4046
4034a	4036
4034a	3035
903a	606a
1508c	13010
1508c	15011a
1508b	15010
1508b	12011
1508a	10013a
1508a	1509
12014a	11015a
12014a	12016
3208a	32010
3208a	26014
103a	105a
103a	104d
28014	24018a
28014	28022
103e	104a
28020	27021
28020	28022a
28022	24026c
1203b	1207
1203a	1005
1203a	1104b
1203a	1207a
1403	1304a
1403	1405
1404	1305
1405	14026
1405	1306a
33011a	25019
33011a	33013
15015a	12024
3604a	3608
16018a	15019a
16018a	16034b
1604	1605
26010	26014
26010	24012
4016b	2018
4016b	4019b
26014	26016
26014	13027
1604a	1505a
1604a	1607
1604a	1607a
1604a	1505
26016	26024
3607a	3608a
3607a	33010
3607a	31012
3607a	36010
26024	12038
3905c	3907a
3905c	3806
3905a	3707
3905a	3907
3503	3305
3503	3505
3505	3307
3505	3507
3507	3309
