threshold	term	GeneSize	WindowSize	key	value
1.0	183	5	5	AT3G15360,AT1G29920,AT2G40760,AT3G24590,AT1G07510	3,4,5,6,7
1.0	184	7	5	AT5G39830,AT4G19830,AT1G66670,AT5G13120,AT1G12250,AT5G35170,AT1G80030	3,4,5,6,7
0.99	185	17	4	AT2G17630,AT2G30950,AT3G10130,AT5G42765,AT1G79230,AT1G76760,AT3G10470,AT4G04020,AT5G19370,AT5G42270,AT4G39960,AT5G03455,AT5G42070,AT1G67280,AT2G27290,AT5G01500,AT5G15250	3,4,5,6
0.99	186	5	3	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	3,4,5
0.99	187	25	4	AT2G17630,AT4G13670,AT5G13120,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT1G66670,AT1G54050,AT2G27290,AT2G35040,AT4G19830,AT2G37660,AT5G19370,AT3G10130,AT1G80030,AT5G01500,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT3G15110,AT5G35170,AT2G26800	3,4,5,6
0.99	188	11	4	AT1G29920,AT5G19500,AT1G07510,AT4G20820,AT1G51110,AT2G40760,AT5G20140,AT3G57680,AT3G24590,AT3G15360,AT2G37230	3,4,5,6
0.99	189	5	4	AT1G20810,AT2G37400,AT1G27510,AT2G21160,AT1G65260	3,4,5,6
0.98	190	36	4	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT1G66670,AT1G54050,AT5G15250,AT5G42270,AT2G27290,AT2G35040,AT5G42765,AT4G19830,AT3G28850,AT2G37660,AT5G19370,AT3G10130,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT1G52220,AT1G79230,AT1G76760,AT4G39960,AT4G04020,AT5G03455,AT3G15110,AT5G35170,AT5G52440,AT2G26800	3,4,5,6
0.98	191	36	4	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT3G10130,AT1G66670,AT1G54050,AT5G42270,AT2G27290,AT2G35040,AT5G42765,AT4G19830,AT3G28850,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT1G52220,AT1G79230,AT1G76760,AT4G39960,AT4G04020,AT5G15250,AT3G15110,AT5G35170,AT5G52440,AT2G26800	3,4,5,6
0.97	192	42	4	AT2G17630,AT3G10470,AT5G13120,AT5G53170,AT5G52970,AT4G13670,AT1G12250,AT5G42070,AT5G39830,AT3G10130,AT2G20270,AT1G66670,AT3G60370,AT5G59250,AT5G12470,AT5G21430,AT2G27290,AT1G17850,AT2G35040,AT4G19830,AT3G28850,AT1G15820,AT5G42765,AT2G22360,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT3G55330,AT1G52220,AT1G79230,AT1G76760,AT4G39960,AT4G04020,AT5G42270,AT5G15250,AT1G22450,AT5G35170,AT4G35770	3,4,5,6
0.97	193	34	4	AT2G17630,AT3G10470,AT5G13120,AT5G53170,AT4G13670,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT1G54050,AT2G27290,AT1G17850,AT2G35040,AT5G42765,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT3G10130,AT1G80030,AT5G01500,AT2G30950,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT3G15110,AT5G35170,AT5G52440,AT2G26800	3,4,5,6
0.97	194	6	4	AT1G20810,AT2G21160,AT1G50450,AT1G27510,AT1G65260,AT2G37400	3,4,5,6
0.97	195	5	4	AT1G20810,AT2G37400,AT1G54580,AT2G21160,AT1G65260	3,4,5,6
