threshold	clique	clique>4	windowGraph.edges()
1	15	5	2564
0.99	16	6	3518
0.98	18	8	3916
0.97	20	9	4076
0.96	22	9	4324
0.95	21	9	4567
0.94	22	8	4670
0.93	23	9	4767
0.92	20	10	4944
0.91	21	10	4973
0.9	21	12	4991
0.89	23	14	5117
0.88	21	13	5175
0.87	23	14	5331
0.86	26	14	5410
0.85	25	15	5508
0.84	27	15	5587
0.83	22	13	5611
0.82	21	13	5638
0.81	21	13	5651
0.8	19	10	5668
0.79	21	11	5675
0.78	22	11	5684
0.77	19	10	5691
0.76	21	11	5700
0.75	22	12	5716
0.74	22	14	5762
0.73	20	13	5846
0.72	22	16	5938
0.71	25	20	6014
0.7	24	19	6109
0.69	23	18	6184
0.68	22	16	6201
0.67	22	17	6206
0.66	23	17	6217
0.65	23	17	6236
0.64	22	16	6244
0.63	23	17	6257
0.62	23	17	6342
0.61	21	15	6356
0.6	22	14	6401
0.59	21	14	6430
0.58	23	16	6446
0.57	24	18	6484
0.56	22	17	6495
0.55	22	17	6506
0.54	23	17	6545
0.53	19	15	6632
0.52	20	16	6638
0.51	20	16	6663
0.5	21	17	6684
0.49	18	16	6761
0.48	17	16	6778
0.47	18	17	6783
0.46	20	19	6790
0.45	20	19	6801
0.44	20	19	6808
0.43	21	21	6901
0.42	17	17	6921
0.41	17	17	6931
0.4	17	17	7019
0.39	16	16	7031
0.38	16	16	7035
0.37	16	16	7042
0.36	19	19	7061
0.35	20	19	7080
0.34	20	19	7104
0.33	19	19	7217
0.32	19	19	7246
0.31	17	17	7282
0.3	16	16	7311
0.29	17	16	7387
0.28	14	14	7753
0.27	15	15	7837
0.26	16	16	7942
0.25	16	16	7960
0.24	16	16	7966
0.23	14	14	7976
0.22	14	14	8226
0.21	15	15	8239
0.2	16	16	8242
0.19	14	14	8251
0.17	16	15	8257
0.16	15	15	8263
0.15	21	21	8471
0.14	19	19	8486
0.13	17	17	8503
0.12	19	19	8609
0.11	24	24	8721
0.1	17	17	8744
0.09	19	19	8760
0.08	18	18	8814
0.07	22	22	9071
0.06	18	18	9093
0.05	18	18	9136
0.04	19	19	9347
0.03	28	28	9387
0.02	42	42	9776
0.01	61	61	10735
0.0	1	1	16471
