term_id	annotation_genes	my_method	dhac
88001	['837996', '844378', '816394', '817467', '829438', '834232']	[19, 20, 21, 22, 23, 24]	[20, 21, 22, 23, 24]
11823	['824770', '817196', '844245', '843491', '841033', '842830']	[5]	[5]
162873	['839433', '838259', '817620', '819107', '820041', '830754']	[35, 36, 37, 38, 39, 40]	[36, 37, 38, 40]
77463	['838851', '841558', '843903', '820827', '822517', '827307', '828884']	[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	[18, 19, 22, 23, 24]
23520	['838362', '841467', '841892', '843110', '843827', '816692', '829966']	[8, 9, 10, 11]	[8, 9]
163287	['839433', '838259', '843095', '817499', '817620', '819107', '820041']	[35, 36, 37, 38, 39, 40, 41, 42]	[38, 40, 41]
23688	['843095', '821143', '820041', '828884', '3770591']	[8, 9, 10, 11, 12]	[10]
160956	['839433', '838259', '816545', '817499', '819107', '820041']	[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[40, 41, 42, 43, 45]
164066	['839433', '838259', '843095', '817499', '819107', '820041']	[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[38, 40, 41, 42, 43, 45]
162216	['842833', '843110', '843827', '814643', '816692', '827727', '829966']	[35, 36]	[35]
180024	['841467', '841892', '843110', '843827', '816692', '827727']	[41, 42, 43, 44]	[42, 43]
23466	['837996', '843095', '821143', '820041', '828884', '3770591']	[8, 9, 10, 11]	[10]
162143	['843110', '827727', '843827', '816692', '829966', '838779', '842833', '814643']	[35]	[35]
35613	['816545', '817499', '817620', '821143', '820041']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13, 14]
182355	['839433', '839566', '838259', '816545', '817499']	[42, 43, 44, 45, 46, 47, 48]	[43, 44, 45]
34860	['837996', '843095', '817620', '821143', '820041']	[10, 11, 12, 13, 14, 15, 16, 17, 18]	[12]
23362	['838362', '841467', '842833', '843110', '843827', '816692', '829966']	[8, 9, 10]	[8, 9]
45369	['839566', '837974', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '834232']	[12, 13, 14, 15, 16, 17, 18]	[13]
34859	['839566', '843095', '816545', '817499', '817620', '821143', '820041']	[10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13, 14]
34695	['837996', '843095', '817620', '821143', '820041', '3770591']	[10, 11, 12, 13, 14, 15, 16, 17]	[12]
35132	['843095', '816545', '817499', '817620', '821143', '820041']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13, 14]
35125	['816545', '817499', '817620', '821143', '820041', '3770591']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13]
34620	['839566', '843095', '816545', '817499', '817620', '821143', '820041', '3770591']	[10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
183766	['839433', '839566', '837996', '838259', '816545', '817499']	[43, 44, 45, 46, 47, 48]	[43, 44, 45]
183438	['839433', '839566', '837996', '838259', '843095', '816545', '817499', '819107', '820041']	[43, 44, 45, 46]	[43, 45]
40123	['839566', '837974', '843095', '816545', '817499', '817620', '818343', '821143', '820741', '834232']	[11, 12, 13, 14, 15, 16, 17, 18]	[13]
45097	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '3770591', '833471', '834232']	[12, 13, 14, 15, 16, 17]	[13]
40393	['843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741']	[11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13, 14]
40120	['839566', '837974', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741']	[11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
186258	['838250', '838672', '844230', '818316', '820827']	[45, 46, 47, 48, 49, 50]	[46, 47, 49]
33577	['839566', '837996', '843095', '816545', '817499', '817620', '821143', '820041', '3770591']	[10, 11, 12]	[12]
34875	['843095', '816545', '817499', '817620', '821143', '820041', '3770591']	[10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
28558	['839566', '837974', '838455', '816545', '817499', '817620', '818343', '820741', '828884', '833471']	[9, 10, 11, 12]	[11]
40865	['837974', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '833471']	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13]
33480	['838362', '841892', '842833', '814643', '816692', '829966']	[10, 11]	[10]
187568	['839392', '837040', '839930', '841920', '814643', '816651', '824524', '829966', '830128', '830699', '836393']	[47, 48, 49]	[49]
23051	['843110', '841467', '843827', '838362', '816692', '829966', '844230', '842833', '816651', '839642']	[8]	[8]
24620	['837996', '843095', '821143', '820041', '3770591']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[10, 11, 12]
